00001000 000010D2 _RtlEnterCriticalSection@4
0001524C 0001529E _RtlpFindFirstActivationContextSection@16
000152A3 00015363 _RtlpFindNextActivationContextSection@16
00015368 0001544F _RtlpLocateActivationContextSection@20
00015454 00015471 _RtlpCompareActivationContextStringSectionEntryByPseudoKey
000154F1 000155E5 _RtlFindActivationContextSectionString@20
0001563D 000156C3 _RtlHashUnicodeString@16
000156C8 0001572F _RtlFindNextActivationContextSection@16
00015734 00015830 _RtlpFindUnicodeStringInSection@32
0001597B 00015C41 _RtlDosApplyFileIsolationRedirection_Ustr@36
00015D41 00015E45 _RtlFindCharInUnicodeString@16
00015E4A 00015EAB _RtlValidateUnicodeString@8
00015EB0 00016085 _LdrpCheckForLoadedDll@20
000163A3 000164F1 _LdrLoadDll@16
00016509 000165A9 _LdrpLoadDll@24
000165D9 000165E6 _RtlpDphDisableFaultInjection@0
00016626 00016633 _RtlpDphEnableFaultInjection@0
00016680 0001669C _LdrGetDllHandle@16
000166A1 000168B9 _LdrGetDllHandleEx@20
000168F5 000169A4 _RtlMultiAppendUnicodeStringBuffer@12
00016A3D 00016A8C _LdrpUpdateLoadCount2@8
00016A91 00016B74 _LdrpUpdateLoadCount3@12
00016B8B 00016BB5 _LdrpClearLoadInProgress@0
00016E45 00016EC8 _RtlDoesFileExists_UstrEx@8
00016EEC 00016F17 _RtlDoesFileExists_UEx@8
00016F1C 00016FC8 _RtlGetFullPathName_UstrEx@32
00016FD9 0001730F _RtlDosSearchPath_U@24
0001736B 000175B7 _LdrUnloadDll@4
00017643 00017658 _RtlpMapSpecialValuesToBuiltInActivationContexts@4
0001765D 00017735 _RtlActivateActivationContextEx@16
0001773A 000177DE _RtlpAllocateActivationContextStackFrame@12
000177E3 0001781F _RtlActivateActivationContext@12
00017824 000178BA _RtlpFreeActivationContextStackFrame@4
000178BF 00017983 _RtlDeactivateActivationContext@8
00017988 00017A71 _RtlCompareUnicodeString@12
00017B26 00017B8D _RtlpFindActivationContextSection_FillOutReturnedData@32
00017BD1 00017CAE _LdrpSnapThunk@32
00017CB3 00017DEC _LdrpGetProcedureAddress@20
00017E88 00017EA4 _LdrGetProcedureAddress@16
00017EDD 00017F5C _LdrpNameToOrdinal@20
00018112 00018140 _wcscat
00018179 000181C4 _RtlAnsiCharToUnicodeChar@4
000181CD 00018227 __wcsnicmp
0001822C 00018253 _RtlEqualSid@8
00018258 0001826B _RtlSubAuthoritySid@8
00018275 000182A2 _RtlInitializeSid@12
000183A9 000183E3 _mbtowc
000184BB 00018516 _swprintf
000185AD 0001861C _RtlValidAcl@4
00018631 0001865A _RtlCreateSecurityDescriptorRelative@8
0001865F 000186B5 _RtlSetDaclSecurityDescriptor@16
000186BA 000186F0 _RtlFirstFreeAce@8
000186F5 000187C4 _RtlpAddKnownAce@24
000187C9 00018816 _RtlCreateAcl@12
0001881B 00018839 _RtlAddAccessAllowedAce@16
0001883E 00018866 _RtlFreeSid@4
0001886B 000188F6 _RtlAllocateAndInitializeSid@44
000189C8 00018A0D _RtlSetOwnerSecurityDescriptor@12
00018A12 00018A57 _RtlSetGroupSecurityDescriptor@12
00018A5C 00018A73 _RtlInitializeBitMap@12
00018A78 00018A89 _RtlEncodeSystemPointer@4
00018AB9 00018B1F _RtlOpenCurrentUser@8
00018B24 00018B63 _wcsncat
00018B7A 00018B9C _RtlInitializeHandleTable@12
00018BF1 00018D57 _RtlDosSearchPath_Ustr@36
00018DC6 00018DED _RtlpComputeBackupIndex@4
00018F15 000192F2 _RtlAllocateHeapSlowly@12
00019374 000193B1 _RtlAllocateHandle@8
000193C9 00019440 _RtlSetUserValueHeap@16
0001964B 00019733 _RtlGetVersion@4
00019738 0001975D _RtlGetNtProductType@4
00019762 00019878 _RtlpInitializeHeapSegment@28
0001987D 0001988D __strnicmp
0001988D 000198E7 ___ascii_strnicmp
000198EC 00019920 _LdrpFreeUnicodeString@4
00019931 00019977 _LdrUnloadAlternateResourceModule@4
000199B8 000199CB _RtlDoesFileExists_U@4
000199D7 00019A29 ___security_init_cookie_ex
00019AC0 00019ADB _RtlPopFrame@4
00019AE0 00019AFE _RtlPushFrame@4
00019B03 00019B4E _LdrpValidateImageForMp@4
00019B80 00019D8D _RtlReAllocateHeap@16
00019DD3 0001A1E6 _RtlpGrowBlockInPlace@20
0001A1EB 0001A32F _RtlpFindAndCommitPages@16
0001A334 0001A401 _RtlpExtendHeap@8
0001A41D 0001A467 _RtlpInsertUnCommittedPages@12
0001A46C 0001A495 _RtlpCreateUnCommittedRange@4
0001A49A 0001A4CC _RtlpSecMemFreeVirtualMemory@16
0001A4D1 0001A4F6 _RtlpDestroyUnCommittedRange@8
0001A7BC 0001A83C _RtlpFlushLargestCacheBlock@4
0001A887 0001A8CF _RtlpFlushCacheContents@4
0001AB19 0001ACA3 _RtlTimeFieldsToTime@8
0001ACA8 0001ACE3 _DaysAndFractionToTime@12
0001ACE8 0001AE09 _RtlIntegerToChar@16
0001AE0E 0001AE6C _RtlIntegerToUnicodeString@12
0001AE71 0001AF71 _RtlUnicodeStringToInteger@12
0001AF76 0001B00D __LdrpInitialize@12
0001B02D 0001B052 _LdrpAllocateTls@0
0001B057 0001B06F _LdrpInitialize@12
0001B08A 0001B096 _CsrNewThread@0
0001B0AA 0001B19A _LdrpInitializeThread@4
0001B19F 0001B262 _RtlpWaitForCriticalSection@4
0001B267 0001B296 _RtlpUnWaitCriticalSection@4
0001B2AC 0001B2C4 _RtlpCheckDeferedCriticalSection@4
0001B2C9 0001B308 _RtlpCreateCriticalSectionSem@4
0001B9E6 0001BAE9 __woutput
0001BB5F 0001BB7F _fputwc
0001BBCA 0001BC26 __snwprintf
0001BC98 0001BCA6 _LdrpEnsureLoaderLockIsHeld@0
0001BE68 0001BEE4 _LdrpMapDll@24
0001BEF9 0001BF6A _LdrpAllocateUnicodeString@8
0001BF6F 0001BFBF _LdrpAllocateDataTableEntry@4
0001BFC4 0001C02C _LdrpInsertMemoryTableEntry@4
0001C031 0001C050 _LdrpFetchAddressOfEntryPoint@4
0001C055 0001C09F _LdrpSendDllLoadedNotifications@8
0001C0B1 0001C20F _LdrpWalkImportDescriptor@8
0001C24D 0001C269 _LdrFindResourceDirectory_U@16
0001C26E 0001C2D0 _RtlpStkMarkDllRange@4
0001C2D5 0001C524 _LdrpRunInitializeRoutines@4
0001C5AB 0001C5DC _RtlGetActiveActivationContext@4
0001C673 0001C810 _LdrpResolveDllName@24
0001C815 0001C8C3 _LdrpResolveDllNameForAppPrivateRedirection@8
0001C923 0001C9F8 _LdrpCreateDllSection@20
0001CA0B 0001CA9E _LdrpCodeAuthzCheckDllAllowed@8
0001CABA 0001CBBE _LdrpOpenImageFileOptionsKey@8
0001CC83 0001CCA6 _LdrQueryImageFileExecutionOptions@24
0001CCAB 0001CD00 _LdrpCheckSafeDiscDll@4
0001CD11 0001CD72 _LdrpCheckNXCompatibility@4
0001CD77 0001CDDB _LdrpCheckAppDatabase@4
0001CE01 0001CEBF _LdrpCheckNxIncompatibleDllSection@4
0001CEE3 0001D001 _LdrpSnapIAT@16
0001D025 0001D164 _LdrpLoadImportModule@20
0001D1A1 0001D1D5 _LdrpInitSecurityCookie@4
0001D1DA 0001D241 _LdrpFetchAddressOfSecurityCookie@8
0001D246 0001D27C _LdrpHandleOldFormatImportDescriptors@16
0001D281 0001D31C _LdrpHandleOneOldFormatImportDescriptor@16
0001D328 0001D4AE _LdrpCheckForKnownDll@16
0001D4BD 0001D66D _RtlAppendPathElement@12
0001D6DB 0001D742 _LdrDisableThreadCalloutsForDll@4
0001D99F 0001D9C0 _LdrRelocateImage@20
0001D9C5 0001DA69 _LdrRelocateImageWithBias@28
0001DA6E 0001DACD _LdrProcessRelocationBlockLongLong@20
0001DAD2 0001DB86 _LdrpSetProtection@12
0001DE5D 0001DF05 _LdrpRecordUnloadEvent@4
0001DF0A 0001DF54 _LdrpSendDllUnloadedNotifications@8
0001E05C 0001E07D _RtlpCheckForCriticalSectionsInMemoryRange@12
0001E146 0001E192 _LdrpFinalizeAndDeallocateDataTableEntry@4
0001E197 0001E1B6 _LdrpDeallocateDataTableEntry@4
0001E215 0001E262 _RtlpUninitializeAssemblyStorageMap@4
0001E267 0001E2EF _RtlpEnsureBufferSize@12
0001E2F4 0001E326 _RtlEnumerateGenericTableWithoutSplaying@8
0001E32B 0001E35C _RtlRealSuccessor@4
0001E36C 0001E37F _RtlIsGenericTableEmpty@4
0001E3AF 0001E3D3 _CsrCaptureMessageBuffer@16
0001E40F 0001E446 _wcsncmp
0001E44B 0001E481 _LdrpHandleNewFormatImportDescriptors@16
0001E486 0001E620 _LdrpHandleOneNewFormatImportDescriptor@20
0001E6DF 0001E789 _RtlInitializeResource@4
0001E78E 0001E958 _RtlSetCurrentDirectory_U@4
0001E9E9 0001EA56 _LdrpCopyUnicodeString@8
0001EA5B 0001EAB8 _vDbgPrintExWithPrefix@20
0001EAD5 0001EAF3 _DbgPrintEx
0001EAFF 0001EB18 _CsrFreeCaptureBuffer@4
0001EB58 0001EBB4 _CsrAllocateCaptureBuffer@8
0001EBB9 0001EBFA _CsrAllocateMessagePointer@12
0001EE87 0001EF69 _RtlGetAssemblyStorageRoot@24
0001EF6E 0001F26F _RtlpResolveAssemblyStorageMapEntry@20
0001F405 0001F55E _RtlpGetActivationContextDataStorageMapAndRosterHeader@24
0001F563 0001F5B2 _RtlpInitializeAssemblyStorageMap@12
0001F5C2 0001F6CC _RtlpInsertAssemblyStorageMapEntry@16
0001F6E8 0001F7DD _RtlpAssemblyStorageMapResolutionDefaultCallback@12
0001F92B 0001FC5F _RtlpProbeAssemblyStorageRootForAssembly@28
0001FE05 0002019E _LdrFindCreateProcessManifest@20
000201A3 000202B8 _LdrCreateOutOfProcessImage@16
000202BD 000202FF _LdrDestroyOutOfProcessImage@4
00020304 00020323 _vDbgPrintEx@16
0002032F 00020350 _RtlReleaseMemoryStream@4
000203B8 00020421 _qsort
00020481 0002048E _RtlGetFrame@0
000204B6 0002051A _RtlpApplyLengthFunction@16
0002051F 0002057C _RtlReadOutOfProcessMemoryStream@16
00020581 00020598 _RtlAddRefMemoryStream@4
0002059D 000205F5 _RtlQueryInterfaceMemoryStream@12
0002062D 0002069E _CsrCaptureMessageMultiUnicodeStringsInPlace@12
000206A3 000206E9 _CsrCaptureMessageUnicodeStringInPlace@8
000206EE 00020749 _CsrCaptureMessageString@20
00020759 00020772 _RtlGetLengthWithoutLastFullDosOrNtPathElement@12
00020777 00020872 _RtlpGetLengthWithoutLastPathElement@16
00020877 00020928 _RtlpDetermineDosPathNameType4@16
00020998 000209CD _LdrAccessOutOfProcessResource@20
000209D2 000209F7 _RtlInitOutOfProcessMemoryStream@4
00020A35 00020A9D _RtlStatMemoryStream@12
00020AB5 00020BD7 _RtlCreateActivationContext@24
00020CA5 00020D71 _RtlpValidateActivationContextData@12
00020E1E 00020E3D _RtlFinalReleaseOutOfProcessMemoryStream@4
00020EB8 00020ECC _RtlSplay@4
00020F1B 0002100A _RtlDuplicateUnicodeString@12
0002100F 0002102B _RtlLookupElementGenericTable@8
00021030 0002106C _RtlLookupElementGenericTableFull@16
000211E7 0002130A _CsrClientConnectToServer@20
0002130F 00021341 _RtlGetNtVersionNumbers@12
000213E5 00021479 _LdrEnumerateLoadedModules@12
00021491 000214CA _RtlInitializeGenericTable@20
000214CF 0002150F _RtlReadMemoryStream@16
00021514 00021532 _RtlInitMemoryStream@4
00021571 00021E68 _LdrpInitializeProcess@20
0002208E 00022106 _LdrpInitializeTls@0
000221FF 00022210 _LdrSetDllManifestProber@4
0002221C 0002222F _RtlInitializeAtomPackage@4
00022234 00022262 _RtlCreateTagHeap@16
00022279 00022294 _RtlSetThreadPoolStartFunc@8
000222AB 000222DA _CsrOneTimeInitialize@0
000222E9 00022311 ___security_init_cookie
00022316 0002239E _RtlNormalizeProcessParams@4
000223A3 000223CA _RtlpInitUpcaseTable@8
000223CF 00022403 _RtlInitializeHeapManager@0
000224DB 000225BF _RtlResetRtlTranslations@4
000225C4 000225E4 _RtlSetBit@8
000225E9 00022620 _WmipInitializeDll@0
00022625 00022651 _RtlInitNlsTables@16
00022656 000226ED _RtlInitCodePageTable@8
000226FC 00022727 _InitSecurityCookie@0
0002272C 0002277E _RtlpInitDeferedCriticalSection@0
00022783 000227B5 _RtlpChainDebugInfo@8
0002280E 00022869 _LdrpInitializeExecutionOptions@8
00022883 00022A84 _CsrpConnectToServer@4
00022AD9 00022B17 _xProtectHandle@4
00022B74 00022BCD _LdrpCheckForNXEntryAddress@4
00022BD2 00022C93 _LdrpCheckForSafeDiscImage@4
00022CC9 00022D9F _LdrpCheckForSecuROMImage@4
00022DA4 00022DC6 _RtlDestroyProcessParameters@4
00022DCB 00022E53 _RtlDeNormalizeProcessParams@4
00022E79 000231F1 _RtlCreateProcessParameters@40
00023211 00023269 _RtlpCopyProcString@16
00023708 000237BE _LdrQueryApplicationCompatibilityGoo@8
0002380F 00023930 _wcsstr
00023942 0002396B _RtlDestroyEnvironment@4
00023B25 00023B54 _RtlDestroyHandleTable@4
00023B59 00023B68 _RtlNumberGenericTableElements@4
00023B6D 00023BA0 _RtlpHeapIsLocked@4
00023BA5 00023BB3 _RtlDetectHeapLeaks@0
00023BB8 00023C63 _LdrShutdownProcess@0
00023C91 00023CD6 _WmipDeinitializeDll@0
00023CDB 00023D0E _RtlDeleteResource@4
00023D13 00023D5A _toupper_0
000241BD 000243F7 _RtlUpcaseUnicodeToMultiByteN@20
000243FC 00024520 _RtlNtPathNameToDosPathName@16
0002463F 00024690 _LdrpLoadShimEngine@12
00024695 000247CD _LdrpGetShimEngineInterface@0
00024849 00024878 __wcslwr
00024889 00024891 _atoi
00024896 00024907 _atol
0002490C 00024965 _mbstowcs
0002496A 0002498E __mbstrlen
00024A1F 00024A4C _RtlInsertElementGenericTable@16
00024A51 00024B75 _RtlInsertElementGenericTableFull@24
00024C3D 00024C5B _RtlSubtreePredecessor@4
00024C60 00024CB3 _RtlDeleteElementGenericTable@8
00024CC1 00024D22 _RtlDelete@4
00024D27 00024DAB _SwapSplayLinks@8
00024E85 00025189 _RtlConsoleMultiByteToUnicodeN@24
0002587F 00025B47 __output
00025BA4 00025BF3 _sprintf
00025C62 00026093 _RtlCreateHeap@24
000260A9 00026112 _RtlpAddHeapToProcessList@4
0002633D 00026400 _RtlFindClearBits@12
00026405 00026433 _RtlFindClearBitsAndSet@12
00026438 00026477 _RtlSetBits@12
000264AF 000264C9 _RtlpDestroyTags@4
000264CE 000265B2 _RtlDestroyHeap@4
000265B7 000265EC _RtlpDestroyHeapSegment@4
000265F1 00026680 _RtlpRemoveHeapFromProcessList@4
000266A1 000266E2 _RtlClearBits@12
000266E7 00026747 _RtlAreBitsSet@12
00026789 000267C1 _RtlpUpdateHeapListIndex@8
000269D1 00026A02 _iswctype
00026A75 00026A88 _iswdigit
00026B63 00026BD8 _RtlUpcaseUnicodeString@12
00026C80 00026CFE _RtlGUIDFromString@8
000270C8 000271E5 _RtlUnicodeToOemN@20
000271EA 00027264 _RtlUnicodeStringToOemString@12
0002733C 00027460 _RtlOemToUnicodeN@20
00027465 000274E2 _RtlOemStringToUnicodeString@12
0002755D 00027767 _RtlFreeHeapSlowly@12
00027798 0002796E _RtlSetEnvironmentVariable@12
000279C3 000279EB _RtlpCaptureImpersonation@8
000279F0 00027A38 _RtlpThreadPoolGetActiveActivationContext@4
00027A3D 00027AB3 _RtlpWorkerCallout@16
00027AC9 00027AE3 _RtlpExecuteWorkerRequest@12
00027B94 00027BA9 _RtlpApcCallout@16
00027BD0 00027C0A _RtlpWorkerThreadCancelTimer@0
00027C38 00027D5A _RtlQueueWorkItem@12
00027D5F 00027E04 _RtlpQueueWorkerRequest@16
00027E09 00027E82 _RtlpWaitOrTimerCallout@20
00027EBB 00027F04 _RtlpTimerThread@4
00027F09 00027FA2 _RtlpResetTimer@12
00027FA7 00027FD7 _RtlpGet64BitTickCount@4
00027FDC 00027FF2 _RtlpResync64BitTickCount@0
00027FF7 00028079 _RtlpInsertInDeltaList@16
0002807E 000280FE _RtlpFireTimers@4
00028103 0002819E _RtlpFireTimersAndReorder@12
000281A3 000282B8 _RtlpServiceTimer@12
000282BD 00028304 _RtlpInsertTimersIntoDeltaList@16
00028309 0002833A _RtlpAsyncTimerCallbackCompletion@4
0002834C 00028373 _RtlpLockAtomTable@4
00028378 0002838D _RtlpUnlockAtomTable@4
00028392 00028435 _RtlpHashStringToAtom@16
0002843A 00028460 _RtlpGetIntegerAtom@8
0002848A 00028516 _RtlLookupAtomInAtomTable@12
00028529 00028553 _RtlpAtomMapAtomToHandleEntry@8
00028558 000285AA _LdrpCallTlsInitializers@8
00028CEE 00028DCB _RtlFindActivationContextSectionGuid@20
00028DD0 00028E6D _RtlpFindGuidInSection@12
00028E72 00028E91 _RtlpCompareActivationContextGuidSectionEntryByGuid
00028E96 00028F09 _RtlStringFromGUID@8
00028FAA 00029046 _RtlpWin32NTNameToNtPathName_U@16
0002904B 00029375 _RtlIsTextUnicode@12
0002937A 0002939D _RtlMultiByteToUnicodeSize@12
000293A2 000293BF _RtlUpperChar@4
000293C4 0002966D _RtlFormatMessage@36
0002968A 00029710 _RtlpStartThreadpoolThread@12
00029721 00029764 _RtlpStartWorkerThread@0
00029786 00029842 _RtlpNtQueryValueKey@20
00029847 00029867 _RtlpNtOpenKey@16
0002987B 0002992A _RtlpQuerySecurityDescriptor@36
0002992F 000299F4 _RtlMakeSelfRelativeSD@12
000299F9 00029A1B _RtlAbsoluteToSelfRelativeSD@12
00029A29 00029A48 _RtlAddAccessAllowedAceEx@20
00029A4D 00029AF0 _RtlAdjustPrivilege@16
00029AFA 00029B6A _RtlDowncaseUnicodeString@12
00029B6F 00029CCC _RtlpWaitThread@4
00029CD1 00029D82 _RtlpProcessWaitCompletion@8
00029D87 00029E17 _RtlImpersonateSelf@4
00029F03 00029F1D _wcstol
00029F64 00029F9A _RtlReleaseResource@4
00029F9F 00029FD8 _RtlAcquireResourceShared@8
00029FDD 0002A026 _RtlMapGenericMask@8
0002A02B 0002A042 _RtlAreAllAccessesGranted@8
0002A047 0002A071 _RtlSetCriticalSectionSpinCount@8
0002A076 0002A0BE _RtlAcquireResourceExclusive@8
0002A144 0002A185 _RtlTimeToSecondsSince1980@8
0002A195 0002A1BE _RtlGetControlSecurityDescriptor@12
0002A1C3 0002A1E6 _RtlDeleteSecurityObject@4
0002A24C 0002A25B _RtlIdentifierAuthoritySid@4
0002A826 0002A846 _towlower
0002A914 0002A934 _RtlCallVectoredExceptionHandlers@8
0002A950 0002AA2B _RtlDispatchException@8
0002AA30 0002AA7F _RtlIsValidHandler@4
0002AA84 0002AB28 _RtlLookupFunctionTable@12
0002AB2D 0002ABA0 _RtlCaptureImageExceptionValues@12
0002ABA5 0002ACE1 _RtlUnwind@16
0002AD0B 0002AD72 _RtlpGetTimeRemaining@4
0002AD77 0002AD9A _RtlpGetQueueRelativeTime@4
0002AD9F 0002ADE5 _RtlpRemoveFromDeltaList@16
0002ADEA 0002AE38 _RtlpReOrderDeltaList@20
0002AE3D 0002AED7 _RtlUpdateTimer@16
0002AEDC 0002AF50 _RtlpUpdateTimer@8
0002AFA8 0002AFD8 @RtlInterlockedSetClearBits@12
0002AFDD 0002AFFD _RtlpReleaseWorker@4
0002B04E 0002B088 _RtlpAsyncWaitCallbackCompletion@4
0002B10C 0002B12B _RXactInitializeContext@12
0002B130 0002B17E _RtlStartRXact@4
0002B183 0002B1BE _RtlAbortRXact@4
0002B1C3 0002B204 _RtlTimeToSecondsSince1970@8
0002B29B 0002B32A _RtlLengthSecurityDescriptor@4
0002B3B5 0002B3F2 _RtlGetOwnerSecurityDescriptor@12
0002B3F7 0002B431 _RtlGetGroupSecurityDescriptor@12
0002B436 0002B48E _RtlEqualDomainName@8
0002B493 0002B4AD _RtlFreeOemString@4
0002B4BC 0002B51B _RtlpApplyAclToObject@8
0002B550 0002B61B _RtlAddAce@20
0002B620 0002B64D _RtlpAddData@16
0002B652 0002B7B6 _RtlpInitializeListIndex@4
0002BD75 0002C094 _RtlUpcaseUnicodeToOemN@20
0002C099 0002C137 _RtlUpcaseUnicodeStringToOemString@12
0002C13C 0002C187 _RtlpDidUnicodeToOemWork@8
0002C19B 0002C1C7 _RtlClearAllBits@4
0002C1CC 0002C1EE _RtlSetAllBits@4
0002C3B4 0002C437 _RtlCopySecurityDescriptor@8
0002C46C 0002C48F _RtlSetSecurityObject@20
0002C494 0002C874 _RtlpSetSecurityObject@32
0002C879 0002C89D _isdigit
0002C8A2 0002C8B4 ___isascii
0002C951 0002CA5D _RtlIpv4StringToAddressA@16
0002CA69 0002CAB5 _RtlCreateEnvironment@8
0002CAD5 0002CB75 _LdrAddRefDll@8
0002CB9E 0002CBDB _RtlConvertSharedToExclusive@4
0002CBE0 0002CC16 _RtlConvertExclusiveToShared@4
0002CC94 0002CD2B _RtlpAddTimer@4
0002CD30 0002CE7D _RtlCreateTimer@28
0002CEA5 0002CF11 _RtlQueryInformationAcl@16
0002CF16 0002CF4B _RtlSetSaclSecurityDescriptor@16
0002CFA7 0002D0AA _RtlSelfRelativeToAbsoluteSD@44
0002D1AE 0002D1F4 _RtlCopyString@8
0002D1F9 0002D303 _RtlValidRelativeSecurityDescriptor@12
0002D308 0002D33A _RtlpValidateSDOffsetAndSize@16
0002D5B7 0002D64B _RtlpStartWaitThread@0
0002D664 0002D6C4 _RtlpInitializeWaitThreadPool@0
0002D6E7 0002D760 _RtlpStartIOWorkerThread@0
0002D765 0002D7AE _RtlRunEncodeUnicodeString@8
0002D7B3 0002D7F1 _RtlRunDecodeUnicodeString@8
0002D952 0002D9C5 _RtlIpv4AddressToStringExW@16
0002D9CA 0002DA03 _RtlIpv4AddressToStringW@8
0002DAD3 0002DB91 _RtlCreateTimerQueue@4
0002DBBB 0002DBD9 _RtlAddAccessDeniedAce@16
0002DC25 0002DC7C _RtlPrefixString@12
0002DC81 0002DCA9 __itow
0002DD69 0002DE14 _RtlSetIoCompletionCallback@12
0002DE19 0002DF65 _RtlpCreateStack@20
0002DF6A 0002E097 _RtlCreateUserThread@40
0002E0A9 0002E160 _RtlInitializeContext@20
0002E27A 0002E3D4 _RtlpVerCompare@20
0002E4DA 0002E550 _RtlpWorkerThreadSetTimer@0
0002E571 0002E629 _RtlpNtEnumerateSubKey@16
0002E62E 0002E752 _RtlAddAttributeActionToRXact@32
0002E757 0002E804 _RXactpCommit@4
0002E809 0002E879 _RtlApplyRXact@4
0002E88D 0002E8C0 _RtlAddActionToRXact@24
0002E8C5 0002E922 _RXactpOpenTargetKey@16
0002E927 0002E94C _RtlNewSecurityObject@24
0002E964 0002E98C __itoa
0002EB6C 0002EBBB _RtlSetProcessIsCritical
0002EBC0 0002EBFC _RtlSetThreadIsCritical
0002EC01 0002EC29 _RtlUniform@4
0002ED22 0002ED5B _LdrFlushAlternateResourceModules@0
0002EDC0 0002EDDB _RtlApplyRXactNoFlush@4
0002EDFE 0002EE35 _RtlEraseUnicodeString@4
0002EE41 0002EEB4 _RtlCreateUserSecurityObject@28
0002EEB9 0002F0BE _RtlCreateAndSetSD@20
0002F0C3 0002F0FE _RtlpInitializeAllowedAce@24
0002F2DD 0002F334 _RtlGetLengthWithoutTrailingPathSeperators@12
0002F36E 0002F3C9 _RtlpAllocDeallocQueryBuffer@16
0002F3CE 0002F515 _RtlQueryRegistryValues@20
0002F51A 0002F61F _RtlpCallQueryRegistryRoutine@20
0002F669 0002F789 _RtlpGetRegistryHandle@16
0002FA83 0002FAAB _RtlCheckRegistryKey@8
0002FAB0 0002FAEA _RtlSetControlSecurityDescriptor@12
0002FB3F 0002FB5B _DbgPrint
0002FB67 0002FBB4 __vsnprintf
0002FC9F 0002FCBF _DebugPrint@12
0002FCC4 0002FCEE _DebugService@20
0002FDDA 0002FE15 _RtlpInitializeDeniedAce@24
0002FE1A 0002FF9A _RtlInitializeRXact@12
0002FFFD 0003002F _RtlAddAuditAccessAce@24
00030034 00030054 _RtlEnumerateGenericTableAvl@8
00030059 00030071 _RtlEnumerateGenericTableWithoutSplayingAvl@8
00030161 00030192 _RtlInitializeGenericTableAvl@20
00030197 000301E2 _RtlCheckProcessParameters@16
000302B3 0003038C _RtlLockBootStatusData@4
000303CB 0003040C _RtlUnlockBootStatusData@4
00030411 000304F7 _RtlGetSetBootStatusData@24
000304FC 00030554 _RtlpOpenImageFile@16
0003057B 00030820 _RtlCreateUserProcess@40
00030A0C 00030B35 _LdrVerifyImageMatchesChecksum@16
00030B3A 00030B90 _RtlImageRvaToVa@16
00030BBD 00030C4F _RtlpQueryRegistryDirect@16
00030EA3 00030F55 _RtlDnsHostNameToComputerName@12
00030F70 00030FC7 _RtlWriteRegistryValue@24
00030FCC 00031018 _RtlDeleteRegistryValue@12
00031026 0003109B _RtlpResetDriveEnvironment@4
00031115 0003127D _RtlpCheckRelativeDrive@4
00031282 00031389 _RtlDeregisterWaitEx@8
0003138E 00031405 _RtlpDeregisterWait@12
0003140A 0003146E _RtlpDeleteWait@4
00031473 00031488 _RtlpWaitReleaseWorker@4
00031495 00031506 _RtlpDeactivateWaitWithIndex@12
0003151B 0003154B _RtlpWaitForEvent@8
000315AA 000315BD _RtlDeregisterWait@4
00031623 0003165D _RtlpDeactivateWait@8
00031662 0003167C _RtlpExecuteIOWorkItem@12
0003176B 000318C8 _RtlpQueueIOWorkerRequest@16
00031A4D 00031BB5 _RtlCutoverTimeToSystemTime@16
00031D88 00031FC6 _RtlpGetDefaultsSubjectContext@24
00031FCB 000324AD _RtlpNewSecurityObject@36
000324B2 00032551 _RtlpInheritAcl@68
00032556 000326B6 _RtlpInheritAcl2@72
000326F0 00032728 _RtlNewSecurityObjectEx@32
000327EE 0003292E _RtlpCopyAces@52
00032933 000329E9 _RtlpValidOwnerSubjectContext@16
00032AE8 00032BA0 _RtlpGenerateInheritAcl@52
00032BA5 00032C96 _RtlpGenerateInheritedAce@56
00032C9B 00032D29 _RtlpIsDuplicateAce@8
00032D2E 00032F5F _RtlpCopyEffectiveAce@64
00032F64 00032FD9 _RtlEqualPrefixSid@8
000330B3 000330FE _RtlpCompareAces@16
00033103 0003319E _RtlpCompareKnownAces@16
000331B1 000331FE _RtlpFindWaitThread@4
00033203 00033369 _RtlRegisterWait@24
0003336E 000333BF _RtlpAddWait@12
000333C4 0003342D _RtlpAcquireWorker@4
00033432 00033509 _RtlDeleteTimer@12
0003350E 00033521 _RtlpCancelTimer@4
00033526 0003356E _RtlpCancelTimerEx@8
00033573 000335F5 _RtlpDeleteTimer@4
000335FA 0003360D _RtlpTimerReleaseWorker@4
00033612 000336A1 _RtlpDeactivateTimer@8
0003384C 00033864 _RtlpRestartImpersonation@4
00033A44 00033AB8 _RtlpProcessTimeouts@4
00033B90 00033C3C _RtlCharToInteger@12
00033C41 00033C55 _RtlInterlockedPushEntrySList@8
00033C5A 00033C7E _RtlpGetWaitEvent@0
00033C83 00033CAB _RtlInterlockedPopEntrySList@4
00033CC1 00033CEB _RtlpFreeWaitEvent@4
00033CF0 00033CFB _RtlQueryDepthSList@4
0003404E 00034119 _RtlDeleteAtomFromAtomTable@8
0003411E 0003414E _RtlpFreeHandleForAtom@8
00034363 00034414 _RtlPcToFileHeader@8
0003450F 000345DD _RtlpInitializeWorkerThreadPool@0
000345E2 000346E1 _RtlpInitializeTimerThreadPool@0
000346FA 00034844 _RtlAddAtomToAtomTable@12
00034849 0003486C _RtlpAllocateAtom@8
00034871 000348C2 _RtlpCreateHandleForAtom@8
000348C7 000348E5 _RtlpInitializeHandleTableForAtomTable@4
000348EA 0003496E _RtlCreateAtomTable@8
00034973 00034988 _RtlpInitializeLockAtomTable@4
