000010A0 000010A6 _memset
00012201 00012218 ?SpillForCallFlatFP@Compiler@@QAEXXZ
00012218 0001226C ?rsTrashRegSet@Compiler@@QAEXI@Z
0001226C 0001228F ?gcMarkRegPtrVal@Compiler@@QAEXPAUGenTree@@@Z
0001228F 000122BC ?lvaLclSize@Compiler@@QAEII@Z
000124BE 0001258D ?fgMarkIntf@Compiler@@QAEX_K0PA_N@Z
0001258D 000125E8 ?rsMarkRegFree@Compiler@@QAEXI@Z
000125F4 00012744 ?genChangeLife@Compiler@@IAEX_K@Z
00012744 000127D1 ?siCheckVarScope@Compiler@@QAEXII@Z
000127D1 0001288B ?siNewScope@Compiler@@IAEPAUsiScope@1@II_N@Z
0001288B 000128CF ?siEndTrackedScope@Compiler@@IAEXI@Z
000128CF 0001291E ?siRemoveFromOpenScopeList@Compiler@@IAEXPAUsiScope@1@@Z
00012B84 00012C06 ?emitEncodeCallGCregs@emitter@@KGXIPAUinstrDesc@1@@Z
00012C06 00012CFF ?emitIns_Call@emitter@@QAEXW4EmitCallType@1@PAXHH_KIIW4emitRegs@@3IH_N4@Z
00012CFF 00012D45 ?emitNewInstrCallDir@emitter@@AAEPAUinstrDesc@1@H_KIH@Z
00012D45 00012D7A ?emitNewInstrCns@emitter@@IAEPAUinstrDesc@1@W4emitAttr@@H@Z
00012D7A 00012D8F ?UnspillRegVarsFlatFp@Compiler@@QAEXXZ
00012D8F 000130B7 ?genCodeForCall@Compiler@@IAEIPAUGenTree@@_N@Z
000130B7 000130D4 ?rsTrashRegsForGCInterruptability@Compiler@@QAEXXZ
00013186 00013219 ?raSetRegVarOrder@Compiler@@IAEXPAIII@Z
00013248 000132DA ?fgMarkUseDef@Compiler@@IAEXPAUGenTree@@0@Z
000132E7 00013318 ?genBashLclVar@Compiler@@IAEXPAUGenTree@@IPAULclVarDsc@1@@Z
00013318 0001334F ?lvaTypeIsGC@Compiler@@QAE_NI@Z
00013369 000133A5 ?emitUpdateLiveGCvars@emitter@@QAEX_KPAE@Z
000133AD 0001340B ?emitDecodeCallGCregs@emitter@@KGIPAUinstrDesc@1@@Z
00013494 000134BC ?emitStackPop@emitter@@QAEXPAE_NI@Z
000134BC 000134DE ?emitGetInsCDinfo@emitter@@AAEHPAUinstrDesc@1@@Z
00013644 00013675 ?UpdateGT_LISTFlags@@YGIPAUGenTree@@@Z
00013675 000136F2 ?WtdRefCntCmp@Compiler@@SAHPBX0@Z
0001371C 00013776 ?rpRecordRegIntf@Compiler@@IAEXI_K@Z
00013776 00013780 ?instGen@Compiler@@QAEXE@Z
00013780 000137E1 ?emitIns@emitter@@QAEXE@Z
00013827 00013877 ?genComputeReg@Compiler@@IAEXPAUGenTree@@IW4ExactReg@1@W4KeepReg@1@_N@Z
000138ED 00013963 ?compMap2ILvarNum@Compiler@@QAEII@Z
00013963 000139A7 ?genSetScopeInfo@Compiler@@IAEXIIIII_NAAUsiVarLoc@1@@Z
000139A7 000139FA ?eeSetLVinfo@Compiler@@QAEXIIIIIPBD_NABUsiVarLoc@1@@Z
000139FA 00013A69 ?psiNewPrologScope@Compiler@@IAEPAUpsiScope@1@II@Z
00013B1F 00013C43 ?genFnPrologCalleeRegArgs@Compiler@@IAEXXZ
00013C43 00013C58 ?genRegArgIdx@@YGII@Z
00013C58 00013CCB ?psiEndPrologScope@Compiler@@IAEXPAUpsiScope@1@@Z
00013CCB 00013D6D ?gtSetListOrder@Compiler@@QAEIPAUGenTree@@_N@Z
00013D79 00013DD6 ?rsTrackRegLclVar@Compiler@@QAEXII@Z
00013DD6 00013F67 ?genPushArgList@Compiler@@IAEIPAUGenTree@@0IPAPAU2@@Z
00013F67 00013FC3 ?rsMarkRegUsed@Compiler@@QAEXPAUGenTree@@0@Z
00013FCD 00014025 ?genCodeForTreeLeaf@Compiler@@IAEXPAUGenTree@@II@Z
00014025 00014057 ?genCodeForTree_REG_VAR1@Compiler@@IAEXPAUGenTree@@I@Z
000142E8 00014313 ?gcMarkRegSetGCref@Compiler@@QAEXI@Z
00014313 00014350 ?emitUpdateLiveGCregs@emitter@@QAEXW4GCtype@@IPAE@Z
00014350 000143A5 ?emitGCregLiveUpd@emitter@@QAEXW4GCtype@@W4emitRegs@@PAE@Z
00014667 00014709 ?optCreateAssertion@Compiler@@QAEIPAUGenTree@@0W4optAssertionKind@1@PAUAssertionDsc@1@@Z
0001474A 00014788 ?fgDoNormalizeOnStore@Compiler@@QAEPAUGenTree@@PAU2@@Z
00014B1F 00014B3F ?gcIsWriteBarrierAsgNode@Compiler@@SG_NPAUGenTree@@@Z
00014B3F 00014B74 ?gcIsWriteBarrierCandidate@Compiler@@SG_NPAUGenTree@@0@Z
00014B74 00014BFD ?genCodeForTreeSmpOpAsg_DONE_ASSG@Compiler@@IAEXPAUGenTree@@II_N@Z
00014BFD 00014D72 ?genCodeForTreeSmpOpAsg@Compiler@@IAEXPAUGenTree@@@Z
00014F8D 00014FC1 ?rpCanAsgOperWithoutReg@@YG_NPAUGenTree@@_N@Z
00014FC1 0001501D ?emitNxtIG@emitter@@IAEX_N@Z
0001508E 000150D0 ?rsIconIsInReg@Compiler@@QAEIJPAJ@Z
000150D0 0001514C ?gtHashValue@Compiler@@QAEIPAUGenTree@@@Z
0001514C 00015212 ?optCSEindex@Compiler@@IAEHPAUGenTree@@0@Z
00015223 0001531A ?lvaLclVarRefs@Compiler@@QAE_KPAUGenTree@@PAPAU2@PAW4varRefKinds@@@Z
000153A4 000153D7 ?inst_mov_RV_ST@Compiler@@QAEXIPAUGenTree@@@Z
00015537 0001554F __allshl
0001554F 00015605 ?optAddAssertion@Compiler@@QAEIPAUAssertionDsc@1@@Z
00015610 00015633 ?optGetAssertion@Compiler@@QAEPAUAssertionDsc@1@I@Z
00015800 00015883 ?optAssertionProp@Compiler@@QAEPAUGenTree@@_KQAU2@1@Z
0001591B 000159BE ?emitIns_R@emitter@@QAEXEW4emitAttr@@W4emitRegs@@@Z
00015BFB 00015C9D ?emitIns_R_R@emitter@@QAEXEW4emitAttr@@W4emitRegs@@1@Z
00015C9D 00015CC9 ?inst_RV_RV@Compiler@@QAEXEIIEW4emitAttr@@@Z
00015D15 00015DCB ?optImpliedAssertions@Compiler@@QAE_KI_K@Z
0001609A 000161A1 ?emitOutputRR@emitter@@QAEPAEPAEPAUinstrDesc@1@@Z
000161AF 00016229 ?emitOutputR@emitter@@QAEPAEPAEPAUinstrDesc@1@@Z
00016260 000162C3 ?rsGrabReg@Compiler@@QAEII@Z
000162D4 000162FD ?inst_RV@Compiler@@QAEXEIEW4emitAttr@@@Z
00016324 00016397 ?genCodeForTreeSpecialOp@Compiler@@IAEXPAUGenTree@@II@Z
00016397 0001639A ?clearCache@CILJit@@EAGXXZ
0001645B 000164F7 ?emitIns_R_I@emitter@@QAEXEW4emitAttr@@W4emitRegs@@H@Z
000164F7 0001651C ?inst_RV_IV@Compiler@@QAEXEIHE@Z
0001651C 000165D8 ?emitOutputRI@emitter@@QAEPAEPAEPAUinstrDesc@1@@Z
00016633 000166AE ?inst_RV_TT@Compiler@@QAEXEIPAUGenTree@@IW4emitAttr@@@Z
000166AE 000166D0 ?emitGetInsAmd@emitter@@IAEHPAUinstrDesc@1@@Z
000166D0 00016780 ?emitInsSizeAM@emitter@@QAEIPAUinstrDesc@1@I@Z
00016780 00016808 ?emitIns_R_AR@emitter@@QAEXEW4emitAttr@@W4emitRegs@@1HHPAX@Z
00016808 00016844 ?emitNewInstrAmd@emitter@@AAEPAUinstrDesc@1@W4emitAttr@@H@Z
00016971 00016A6F ?encodeHeaderNext@@YIEABUInfoHdr@@PAU1@@Z
00016A6F 00016B1D ?emitRecordGCcall@emitter@@QAEXPAE@Z
00016C3E 00016DAA ?emitOutputAM@emitter@@QAEPAEPAEPAUinstrDesc@1@IPAUCnsVal@1@@Z
000171AC 000171D2 ?fgMorphStructField@Compiler@@IAE?AW4fgWalkResult@1@PAUGenTree@@@Z
000171DF 00017306 ?fgMorphField@Compiler@@IAEPAUGenTree@@PAU2@@Z
00017447 0001745E ?gtEffectiveVal@GenTree@@QAEPAU1@XZ
0001745E 000174DD ?optAssertionIsNonNull@Compiler@@QAE_NI_K@Z
0001754A 00017574 ?gceEncodeCalleeSavedRegs@@YGII@Z
000178A8 000178CE ?impPopStack@Compiler@@IAEPAUGenTree@@AAVtypeInfo@@@Z
000178F3 0001791D ??0InlineInfo@@QAE@XZ
0001791D 00017935 ?fgIsUnboundedInlineRecursion@Compiler@@KG_NPAUinlExpLst@@PAE@Z
00017935 00017944 __SEH_epilog4_GS
00017944 00017AA2 ?impInlineInitVars@Compiler@@IAE?AVJitInlineResult@@PAUInlineInfo@@@Z
00017AA2 00017D5C ?fgInvokeInlineeCompiler@Compiler@@IAE?AVJitInlineResult@@PAUGenTree@@@Z
00017D7C 00017E24 ?fgMorphCallInline@Compiler@@IAEPAUGenTree@@PAU2@@Z
00017E57 00017F07 ?impInlineRecordArgInfo@Compiler@@IAE?AVJitInlineResult@@PAUInlineInfo@@PAUGenTree@@I@Z
00017F33 00018026 ?fgInsertInlineeBlocks@Compiler@@IAEXPAUInlineInfo@@@Z
00018026 00018100 ?fgInlinePrependStatements@Compiler@@IAEPAUGenTree@@PAUInlineInfo@@@Z
00018140 000183C0 ?impCheckCanInline@Compiler@@IAE?AVJitInlineResult@@PAUGenTree@@PAUCORINFO_METHOD_STRUCT_@@I1PAPAUInlineCandidateInfo@@@Z
000183F4 0001843C __SEH_prolog4_GS
00018458 0001847F ?gtNewHelperCallNode@Compiler@@QAEPAUGenTree@@IEIPAU2@@Z
00018489 000184F2 ?rsPickReg@Compiler@@QAEIIIE@Z
000184F2 0001858A ?genCodeForTreeConst@Compiler@@IAEXPAUGenTree@@II@Z
0001858A 000185B8 ?rsTrackRegIntCns@Compiler@@QAEXIJ@Z
000185B8 0001862B ?genSetRegToIcon@Compiler@@IAEXIJE@Z
0001862B 00018659 ?rsIconIsInReg@Compiler@@QAE_NJI@Z
000186BF 000186C2 ?psiMoveToReg@Compiler@@QAEXIII@Z
000186D0 000186E7 ?fgIsThrow@Compiler@@IAE_NPAUGenTree@@@Z
000186E7 00018776 ?fgMorphBlockStmt@Compiler@@QAE_NPAUBasicBlock@@PAUGenTree@@@Z
00018AA8 00018B37 ?gtWalkOp@Compiler@@QAEXPAPAUGenTree@@0PAU2@_NPA_N@Z
00018C3F 00018D42 ?genCreateAddrMode@Compiler@@QAE_NPAUGenTree@@H_NIPA_NPAPAU2@3PAI41@Z
00018D99 00018E65 ?rpPredictAddressMode@Compiler@@IAEIPAUGenTree@@II0@Z
00018E65 00018FCF ?genMakeIndAddrMode@Compiler@@IAE_NPAUGenTree@@0_NIW4KeepReg@1@PAI1@Z
00018FEB 00019056 ?instGetAddrMode@Compiler@@QAEXPAUGenTree@@PAI111@Z
00019056 000190DE ?sched_AM@Compiler@@QAEXEW4emitAttr@@I_NPAUGenTree@@I1H@Z
000190DE 0001910B ?inst_RV_AT@Compiler@@QAEXEW4emitAttr@@EIPAUGenTree@@I@Z
0001913B 0001915C ?GetSlopFraction@BasicBlock@@SGIPAU1@0@Z
0001915C 00019185 ?setEdgeWeightMaxChecked@flowList@@QAE_NIIPA_N@Z
00019185 000191AE ?setEdgeWeightMinChecked@flowList@@QAE_NIIPA_N@Z
000191D4 000191F3 ?fgGetPredForBlock@Compiler@@QAEPAUflowList@@PAUBasicBlock@@0@Z
000191F3 00019275 ?fgAddRefPred@Compiler@@QAEPAUflowList@@PAUBasicBlock@@0PAU2@@Z
0001943B 00019468 ?fgOptimizeBranch@Compiler@@QAE_NPAUBasicBlock@@@Z
00019468 0001949C ?fgRelocateEHRegions@Compiler@@QAE_NXZ
000194CE 00019587 ?fgExpandRarelyRunBlocks@Compiler@@QAE_NXZ
00019652 00019693 ?genRegMaskFromLivenessFlatFP@Compiler@@QAEI_K@Z
00019693 000196B9 ?genCodeForTransitionFromMask@Compiler@@QAEXPAUFlatFPStateX87@@I_N@Z
000196B9 0001978E ?emitIns_J@emitter@@QAEXEPAUBasicBlock@@@Z
0001978E 000197AC ?inst_JMP@Compiler@@QAEXW4emitJumpKind@@PAUBasicBlock@@@Z
00019808 00019864 ?genCodeForBBTransitionFlatFP@Compiler@@QAEXPAUBasicBlock@@@Z
0001986F 0001988F ?emitInstCodeSz@emitter@@IAEIPAUinstrDesc@1@@Z
00019BB4 00019BCF ?emitOffsetToPtr@emitter@@IAEPAEI@Z
00019BCF 00019D50 ?emitOutputLJ@emitter@@QAEPAEPAEPAUinstrDesc@1@@Z
00019D94 00019DCD ?emitFindOffset@emitter@@IAEIPAUinsGroup@1@I@Z
00019E1B 00019E7D ?genCodeForTransitionFlatFP@Compiler@@QAEXPAUFlatFPStateX87@@0@Z
0001A033 0001A065 ?WriteBarrier@Compiler@@IAEIPAUGenTree@@0I@Z
0001A0CD 0001A0F5 ?gtTokenToIconFlags@Compiler@@QAEII@Z
0001A0F5 0001A16E ?impTokenToHandle@Compiler@@IAEPAUGenTree@@IPAPAUCORINFO_GENERIC_STRUCT_@@PAHHW4CorInfoTokenKind@@@Z
0001A16E 0001A1AD ?impLookupToTree@Compiler@@IAEPAUGenTree@@PAUCORINFO_LOOKUP@@IPAX@Z
0001A1AD 0001A1DF ?gtNewIconEmbHndNode@Compiler@@QAEPAUGenTree@@PAX0II00@Z
0001A1DF 0001A1F5 ?verIsTypeToken@Compiler@@IAEXI@Z
0001A1F5 0001A220 ?impTypeTokenToHandle@Compiler@@IAEPAUGenTree@@IPAPAUCORINFO_CLASS_STRUCT_@@PAHHW4CorInfoTokenKind@@@Z
0001A220 0001A2AB ?genEmitHelperCall@Compiler@@IAEXIHH@Z
0001A2BA 0001A2EE ?rpPredictRefAssign@Compiler@@IAEXI@Z
0001A44C 0001A470 ?gtNewArgList@Compiler@@QAEPAUGenTree@@PAU2@0@Z
0001A53C 0001A5B2 ?push@fgStack@@AAEXI@Z
0001A764 0001A77B ?addPrefReg@LclVarDsc@Compiler@@QAEXIPAV2@@Z
0001A8B7 0001A8CC ?GetNodeSize@GenTree@@QAEIXZ
0001A916 0001A999 ?gtNewTempAssign@Compiler@@QAEPAUGenTree@@IPAU2@@Z
0001AAA8 0001AAD0 ?impBashVarAddrsToI@Compiler@@KGXPAUGenTree@@0@Z
0001AAF7 0001AB45 ?rpMustCreateEBPFrame@Compiler@@IAE_NXZ
0001AC89 0001AD27 ?lvaInitVarDsc@Compiler@@QAEXPAULclVarDsc@1@IW4CorInfoType@@PAUCORINFO_CLASS_STRUCT_@@PAUCORINFO_ARG_LIST_STRUCT_@@PAUCORINFO_SIG_INFO@@@Z
0001AD27 0001AD3C PtFuncCompare
0001AD53 0001AD9E ?eeGetArgSize@Compiler@@QAEIPAUCORINFO_ARG_LIST_STRUCT_@@PAUCORINFO_SIG_INFO@@@Z
0001AF66 0001AF72 ?IsBoxedValue@GenTree@@QAE_NXZ
0001AF98 0001AFCA ?fgIsForwardBranch@Compiler@@QAE_NPAUBasicBlock@@0@Z
0001B035 0001B066 ?genMakeRvalueAddressable@Compiler@@IAEIPAUGenTree@@IW4KeepReg@1@_N@Z
0001B066 0001B093 ?rsTrackRegClrPtr@Compiler@@QAEXXZ
0001B13F 0001B167 ?gtNewZeroConNode@Compiler@@QAEPAUGenTree@@E@Z
0001B24C 0001B2C9 ?verParseArgSigToTypeInfo@Compiler@@QAE?AVtypeInfo@@PAUCORINFO_SIG_INFO@@PAUCORINFO_ARG_LIST_STRUCT_@@@Z
0001B2C9 0001B2FB ?eeGetArgType@Compiler@@QAEEPAUCORINFO_ARG_LIST_STRUCT_@@PAUCORINFO_SIG_INFO@@@Z
0001B5A6 0001B5D1 ?fgInsertStmtListAfter@Compiler@@IAEPAUGenTree@@PAUBasicBlock@@PAU2@1@Z
0001B69D 0001B701 ?impInlineFetchArg@Compiler@@IAEPAUGenTree@@IPAUInlArgInfo@@PAUInlLclVarInfo@@@Z
0001B812 0001B84C ?rsTrackRegCopy@Compiler@@QAEXII@Z
0001B8B5 0001B8FA ?gtGetThisArg@Compiler@@QAEPAUGenTree@@PAU2@@Z
0001BA02 0001BA24 ?CopyFrom@GenTree@@QAEXPAU1@@Z
0001BAA0 0001BAB8 ?fgCalculateNumOfReturnBlocks@Compiler@@QAEIXZ
0001BAB8 0001BADE ?emitSizeOfInsDsc@emitter@@IAEIPAUinstrDescDspCns@1@@Z
0001BAFB 0001BB19 ?gtNewInlineCandidateReturnExpr@Compiler@@QAIPAUGenTree@@PAU2@E@Z
0001BB49 0001BBE0 ?emitIns_AR_R@emitter@@QAEXEW4emitAttr@@W4emitRegs@@1HHPAX@Z
0001BBFA 0001BC4B ?impAssignTempGen@Compiler@@IAEXIPAUGenTree@@PAUCORINFO_CLASS_STRUCT_@@IPAPAU2@IPAUBasicBlock@@@Z
0001BC72 0001BC9B ?fgInsertStmtAfter@Compiler@@IAEPAUGenTree@@PAUBasicBlock@@PAU2@1@Z
0001BCB5 0001BD1A ?impInlineIsGuaranteedThisDerefBeforeAnySideEffects@Compiler@@IAEHPAUGenTree@@0PAUInlArgInfo@@@Z
0001BD1A 0001BD3D ?impInlineIsThis@Compiler@@IAEHPAUGenTree@@PAUInlArgInfo@@@Z
0001BF07 0001BF7B ?emitNewInstrCallInd@emitter@@AAEPAUinstrDesc@1@HH_KIH@Z
0001BF85 0001BF9E ?emitGetInsCIdisp@emitter@@IAEHPAUinstrDesc@1@@Z
0001BFC4 0001C0E9 ?emitGetInsCIargs@emitter@@IAEIPAUinstrDesc@1@@Z
0001C0F9 0001C137 ?fgKillDependentAssertions@Compiler@@IAEXI@Z
0001C1B9 0001C243 ?inst_TT_RV@Compiler@@QAEXEPAUGenTree@@II@Z
0001C243 0001C265 ?instEmit_RM_RV@Compiler@@QAEXEW4emitAttr@@PAUGenTree@@II@Z
0001CAD6 0001CC2D ?genCondSetFlags@Compiler@@IAE?AW4emitJumpKind@@PAUGenTree@@@Z
0001CC2D 0001CCA2 ?genCondJump@Compiler@@IAEXPAUGenTree@@PAUBasicBlock@@1_N@Z
0001CD09 0001CD2F ?FlatFPSameRegisters@Compiler@@QAE_NPAUFlatFPStateX87@@I@Z
0001CD2F 0001CD90 ?genCondJmpInsFlatFP@Compiler@@QAEXW4emitJumpKind@@PAUBasicBlock@@1_N@Z
0001CE37 0001CEBC ?inst_TT_IV@Compiler@@QAEXEPAUGenTree@@JIW4emitAttr@@@Z
0001D4FF 0001D543 ?impAssignTempGen@Compiler@@IAEXIPAUGenTree@@IPAPAU2@IPAUBasicBlock@@@Z
0001E6A8 0001E6D4 ?GetDestState@CodeSeqSM@@QAEEEW4smopcode_t@@@Z
0001E6D4 0001E745 ?Run@CodeSeqSM@@QAEXW4smopcode_t@@@Z
0001E745 0001E758 ?MapToSMOpcode@CodeSeqSM@@SG?AW4smopcode_t@@W4opcode_t@@@Z
0001EC01 0001EC20 ?End@CodeSeqSM@@QAEXXZ
0001EC89 0001ED14 ?impEstimateCallsiteNativeSize@Compiler@@IAEHPAUCORINFO_METHOD_INFO@@@Z
0001ED14 0001ED21 __ftol2_sse
0001ED21 0001ED34 __ftol2_pentium4
0001ED34 0001EE6E ?impCanInlineNative@Compiler@@IAE?AVJitInlineResult@@HHW4InlInlineHints@@PAUInlineInfo@@@Z
0001EE8B 0001EEB9 ?Start@CodeSeqSM@@QAEXPAVCompiler@@@Z
0001EECF 0001EF99 ?gtCloneExpr@Compiler@@QAEPAUGenTree@@PAU2@IIJ@Z
0001EF99 0001EFC0 ?genReleaseReg@Compiler@@IAEXPAUGenTree@@@Z
0001F583 0001F5D9 ?emitStackPush@emitter@@QAEXPAEW4GCtype@@@Z
0001F638 0001F6A9 ?inst_TT@Compiler@@QAEXEPAUGenTree@@IHW4emitAttr@@@Z
0001F837 0001F85E ?emitInsModeFormat@emitter@@AAEEEEEE@Z
0001F8CA 0001F908 ?instEmit_RM@Compiler@@QAEXEPAUGenTree@@0I@Z
0001F908 0001FAC6 ?Compare@GenTree@@SG_NPAU1@0_N@Z
0001FEC7 0001FEE5 ?optCallInterf@Compiler@@KG?AW4callInterf@1@PAUGenTree@@@Z
00020114 00020195 ?optCSEstop@Compiler@@IAEXXZ
00020497 000204D6 ?genRecoverReg@Compiler@@IAEXPAUGenTree@@IW4KeepReg@1@@Z
0002077A 000207A9 ?optCSEcostCmpEx@Compiler@@KAHPBX0@Z
000207D9 000207F3 ?bbFallsThrough@BasicBlock@@QAE_NXZ
00020808 00020916 ?fgNewBBafter@Compiler@@QAEPAUBasicBlock@@EPAU2@_N@Z
00020922 00020936 ?impNoteBranchOffs@Compiler@@IAEXXZ
00020A73 00020B0A ?emitIns_I@emitter@@QAEXEW4emitAttr@@H@Z
00020B0A 00020B22 ?inst_IV@Compiler@@QAEXEH@Z
00020B30 00020B99 ?emitOutputIV@emitter@@QAEPAEPAEPAUinstrDesc@1@@Z
00020D0A 00020D43 ?inheritWeight@BasicBlock@@QAEXPAU1@@Z
00020DF0 00020E23 ?impCloneExpr@Compiler@@IAEPAUGenTree@@PAU2@PAPAU2@PAUCORINFO_CLASS_STRUCT_@@I1@Z
00020EB7 00020F0F ?optCheckForNewAssignAssertion@Compiler@@QAEIPAUGenTree@@@Z
00020F0F 00020F9A ?impSpillStackEntry@Compiler@@IAE_NII@Z
00021180 000211EF ?decRefCnts@LclVarDsc@Compiler@@QAEXIPAV2@_N@Z
000212B4 000212E7 ?lvaDecRefCnts@Compiler@@QAEXPAUGenTree@@@Z
000212E7 000212FF ?lvaDecRefCntsCB@Compiler@@SG?AW4fgWalkResult@1@PAPAUGenTree@@PAX@Z
000213AB 000213F7 ?emitEncodeCallGCregs@emitter@@KGII@Z
00021405 00021452 ?emitDecodeCallGCregs@emitter@@KGII@Z
0002154F 000215C2 ?emitInsSizeAM@emitter@@QAEIPAUinstrDesc@1@IH@Z
000215C2 00021655 ?emitIns_I_AR@emitter@@QAEXEW4emitAttr@@HW4emitRegs@@HHPAX@Z
00021655 000216B3 ?emitNewInstrAmdCns@emitter@@AAEPAUinstrDesc@1@W4emitAttr@@HH@Z
00021741 00021782 ?emitGetInsAmdCns@emitter@@AAEHPAUinstrDesc@1@PAUCnsVal@1@@Z
00021802 00021852 ?gtClone@Compiler@@QAEPAUGenTree@@PAU2@_N@Z
00021852 00021A20 ?optImpliedByCopyAssertion@Compiler@@QAE_KPAUAssertionDsc@1@0@Z
00021A20 00021A6D ?fgRemoveRefPred@Compiler@@QAEPAUflowList@@PAUBasicBlock@@0@Z
00021A6D 00021A86 ?fgUpdateLoopsAfterCompacting@Compiler@@QAEXPAUBasicBlock@@0@Z
00021A86 00021BDF ?fgCompactBlocks@Compiler@@QAEXPAUBasicBlock@@0@Z
00021BDF 00021C05 ?fgReplacePred@Compiler@@QAEXPAUBasicBlock@@00@Z
00021C05 00021CD5 ?gtFoldExprConst@Compiler@@QAEPAUGenTree@@PAU2@@Z
00021E7F 00021ECB ?rsLclIsInReg@Compiler@@QAEII@Z
00021F6C 00021F8A ?genNumberTemps@Compiler@@QAEHXZ
00021F8A 0002201F ?genEvalSideEffects@Compiler@@IAEXPAUGenTree@@@Z
00023022 000230F2 ?genCodeForTreeSmpOp_GT_ADDR@Compiler@@IAEXPAUGenTree@@II@Z
00023194 000231E7 ?impGetByRefResultType@Compiler@@IAEEEPAUGenTree@@0@Z
00023510 00023581 ?emitDataGenBeg@emitter@@QAEII_N0@Z
00023597 0002361E ?emitOutputDataSec@emitter@@QAEXPAUdataSecDsc@1@PAE@Z
0002374C 0002376C ?lvaSetVarAddrTaken@Compiler@@QAEXI@Z
0002378A 000237C8 ?initLclVarAddr@emitLclVarAddr@emitter@@QAEXHII@Z
000237C8 000237F3 ?lvaFrameAddress@Compiler@@QAEHHPA_N@Z
000237F3 00023885 ?emitInsSizeSV@emitter@@QAEIIHH@Z
00023885 000238A4 ?lvaOffset@emitLclVarAddr@emitter@@QAEIXZ
000238A4 000239C2 ?emitOutputSV@emitter@@QAEPAEPAEPAUinstrDesc@1@IPAUCnsVal@1@@Z
000239C2 000239E0 ?lvaVarNum@emitLclVarAddr@emitter@@QAEHXZ
00023A8D 00023B22 ?emitIns_R_S@emitter@@QAEXEW4emitAttr@@W4emitRegs@@HH@Z
00023B5C 00023B8A ?lvaIncrementFrameSize@Compiler@@QAEXI@Z
00023D48 00023D65 ?bbSetRunRarely@BasicBlock@@QAEXXZ
00023D71 00023DA0 ?gtReverseCond@Compiler@@QAIPAUGenTree@@PAU2@@Z
00023DF8 00023E9D ?optAssertionIsEqualOrNotEqual@Compiler@@QAE_NEIEH_KPAI@Z
00023F61 00023FE9 ?optFindComplementary@Compiler@@QAEII@Z
00023FE9 00024005 ?genFlagsAreReg@Compiler@@IAE_NI@Z
0002404F 0002406B ?genFlagsAreVar@Compiler@@IAE_NI@Z
000240BC 000240E2 ?siEndScope@Compiler@@IAEXI@Z
000240EA 0002412C ?fgCastNeeded@Compiler@@QAE_NPAUGenTree@@E@Z
0002413E 000241D3 ?emitIns_S_R@emitter@@QAEXEW4emitAttr@@W4emitRegs@@HH@Z
00024597 000245B7 ?emitGenEpilogLst@emitter@@QAEIP6GIPAXI@Z0@Z
000245B7 000245F7 ?gcRecordEpilog@Compiler@@KGIPAXI@Z
00024652 00024686 ?gtFoldExprCompare@Compiler@@QAEPAUGenTree@@PAU2@@Z
000248F0 00024925 ?rsTrashLcl@Compiler@@QAEXI@Z
000249BB 00024A00 ?emitGCvarLiveUpd@emitter@@QAEXHHW4GCtype@@PAE@Z
00024AC0 00024B0A ?gtExtractSideEffList@Compiler@@QAEXPAUGenTree@@PAPAU2@@Z
00024BE7 00024D82 ?impCastClassOrIsInstToTree@Compiler@@IAEPAUGenTree@@PAU2@0H_N@Z
00025069 000250A8 ?emitGCvarDeadUpd@emitter@@QAEXHPAE@Z
000250A8 000250E5 ?emitGCvarDeadSet@emitter@@QAEXHPAEH@Z
00025147 00025173 ?emitSetFrameRangeGCRs@emitter@@QAEXHH@Z
00025185 00025213 ?emitGCvarLiveSet@emitter@@QAEXHW4GCtype@@PAEH@Z
00025213 000252FB ?optImpliedByConstAssertion@Compiler@@QAE_KPAUAssertionDsc@1@@Z
000254E7 00025514 ?gtUnusedValNode@Compiler@@QAEPAUGenTree@@PAU2@@Z
000256DF 0002576F ?optIsBoolCond@Compiler@@AAEPAUGenTree@@PAU2@PAPAU2@PA_N@Z
0002590B 0002592C ?impPushNullObjRefOnStack@Compiler@@IAEXXZ
0002598A 000259C6 ?rpRecordVarIntf@Compiler@@IAEXH_K@Z
00025A23 00025A4A ?inst_RV_ST@Compiler@@QAEXEW4emitAttr@@IPAUGenTree@@@Z
00025E6C 00025F04 ?emitInsSizeSV@emitter@@QAEIPAUinstrDesc@1@HHH@Z
00025F04 00025F97 ?emitIns_S_I@emitter@@QAEXEW4emitAttr@@HHJ@Z
00026016 00026043 ?emitGetInsCns@emitter@@AAEXPAUinstrDesc@1@PAUCnsVal@1@@Z
00026073 000260B3 ?impRestoreStackState@Compiler@@IAEXPAUSavedStack@1@@Z
000260B3 00026184 ?impSaveStackState@Compiler@@IAEXPAUSavedStack@1@_N@Z
00026184 000261A6 ?verSetThisInit@Compiler@@QAEXPAUBasicBlock@@H@Z
0002641D 00026466 ?lvaGrabTemps@Compiler@@QAEII@Z
0002675A 00026819 ?fgRemoveBlock@Compiler@@QAEXPAUBasicBlock@@0_N@Z
00026819 00026839 ?optUpdateLoopsBeforeRemoveBlock@Compiler@@IAEXPAUBasicBlock@@0_N@Z
00026839 00026883 ?fgRemoveBlockAsPred@Compiler@@QAEXPAUBasicBlock@@@Z
00026899 000268DC ?fgUnreachableBlock@Compiler@@QAEXPAUBasicBlock@@0@Z
