00014F25 00014F90 _smm_16@8
000419EA 00041AD2 _Convert_422SPK_MMX@0
00041AD2 00041BBB _PutMacroBlock_422SPK_MMX@0
00041BBB 00041C52 _bi_c_get_avgmb_h_MMX@0
00041C52 00041D3F _bi_c_get_avgmb_hv_MMX@0
00041D3F 00041DD9 _bi_c_get_avgmb_v_MMX@0
00041DD9 00041E50 _bi_c_getmb_h_MMX@0
00041E50 00041F0F _bi_c_getmb_hv_MMX@0
00041F0F 00041F89 _bi_c_getmb_v_MMX@0
00041F89 0004206E _bi_get_avgmb_hv_MMX@0
0004206E 0004217C _copymb_MMX@0
0004217C 000421E1 _c_copymb_MMX@0
000421E1 0004237A _getmb_h_MMX@0
0004237A 00042522 _c_getmb_h_MMX@0
00042522 000426AB _getmb_v_MMX@0
000426AB 00042843 _c_getmb_v_MMX@0
00042843 00042945 _getmb_hv_MMX@0
00042945 00042A50 _c_getmb_hv_MMX@0
00042A50 00042B4D _bi_copymb_MMX@0
00042B4D 00042BA6 _bi_c_copymb_MMX@0
00042BA6 00042D31 _bi_getmb_h_MMX@0
00042D31 00042EA4 _bi_getmb_v_MMX@0
00042EA4 00042F18 _bi_getmb_hv_MMX@0
00042F18 0004301F _avgmb_MMX@0
0004301F 0004308E _c_avgmb_MMX@0
0004308E 0004311D _bi_get_avgmb_h_MMX@0
0004311D 000431B9 _bi_get_avgmb_v_MMX@0
000431B9 0004325E _lamm_mmx_16@12
0004325E 00043332 _hiq_lamm_mmx_16@12
00043332 00043531 _intra_sat_b_MMX@0
00043531 0004371B _bi_intra_sat_b_MMX@0
0004371B 00043A22 _bi_inter_sat_b_MMX@0
00043A22 00043D3E _inter_sat_b_MMX@0
00043D3E 00043D77 @GetBits@4
00043D77 00043DAA @NextBits@4
00043DAA 00043EB8 _hiq_copymb_MMX@0
00043EB8 00043F1D _hiq_c_copymb_MMX@0
00043F1D 00043FBB _hiq_getmb_h_MMX@0
00043FBB 0004405F _hiq_c_getmb_h_MMX@0
0004405F 00044103 _hiq_getmb_v_MMX@0
00044103 000441AA _hiq_c_getmb_v_MMX@0
000441AA 000442AC _hiq_getmb_hv_MMX@0
000442AC 000443B7 _hiq_c_getmb_hv_MMX@0
000443B7 000444B4 _hiq_bi_copymb_MMX@0
000444B4 0004450D _hiq_bi_c_copymb_MMX@0
0004450D 000445A5 _hiq_bi_getmb_h_MMX@0
000445A5 00044643 _hiq_bi_c_getmb_h_MMX@0
00044643 000446E1 _hiq_bi_getmb_v_MMX@0
000446E1 00044782 _hiq_bi_c_getmb_v_MMX@0
00044782 0004487E _hiq_bi_getmb_hv_MMX@0
0004487E 0004497D _hiq_bi_c_getmb_hv_MMX@0
0004497D 00044A14 _hiq_avgmb_MMX@0
00044A14 00044AB0 _hiq_c_avgmb_MMX@0
00044AB0 00044B99 _hiq_bi_get_avgmb_h_MMX@0
00044B99 00044C8A _hiq_bi_c_get_avgmb_h_MMX@0
00044C8A 00044D79 _hiq_bi_get_avgmb_v_MMX@0
00044D79 00044E6D _hiq_bi_c_get_avgmb_v_MMX@0
00044E6D 00044FFC _hiq_bi_get_avgmb_hv_MMX@0
00044FFC 00045191 _hiq_bi_c_get_avgmb_hv_MMX@0
0004519B 0004527A __alldvrm
0004527A 0004532C __allrem
00047062 00047063 nullsub_1
0004F7B9 0004F7BA nullsub_2
00057FF9 00058075 ?SetupFilterRegistration@@YGJXZ
0005807A 000580CA ?UnregisterMjpegEncoder@@YGJXZ
000580CF 000580F7 _DllUnregisterServer@0
000581FC 00058342 _DllRegisterServer@0
000583E4 000584DC ___report_gsfailure
000584E1 00058529 ?GetSyncSource@CBaseFilter@@UAGJPAPAUIReferenceClock@@@Z
0005852E 00058588 ?ReconnectPin@CBaseFilter@@QAEJPAUIPin@@PBU_AMMediaType@@@Z
0005858D 00058598 ?IncrementPinVersion@CBaseFilter@@QAEXXZ
0005859D 000585EC ?QueryInterface@CEnumPins@@UAGJABU_GUID@@PAPAX@Z
000585F1 00058607 ?AddRef@CEnumPins@@UAGKXZ
0005860C 00058636 ?Refresh@CEnumPins@@AAGJXZ
0005863B 0005868A ?QueryInterface@CEnumMediaTypes@@UAGJABU_GUID@@PAPAX@Z
0005868F 000586A5 ?AddRef@CEnumMediaTypes@@UAGKXZ
000586AA 000586D4 ?SetSink@CBasePin@@UAGJPAUIQualityControl@@@Z
000586D9 000586E4 ?InitAllocator@CBaseOutputPin@@UAEJPAPAUIMemAllocator@@@Z
000586E9 000587A9 ?DecideAllocator@CBaseOutputPin@@UAEJPAUIMemInputPin@@PAPAUIMemAllocator@@@Z
000587AE 000587C4 ?DeliverEndOfStream@CBaseOutputPin@@UAEJXZ
000587C9 000587D1 ?KsRenegotiateAllocator@CVPMInputPin@@UAGJXZ
000587D6 0005881B ?ReceiveMultiple@CBaseInputPin@@UAGJPAPAUIMediaSample@@JPAJ@Z
00058820 000588C5 ?ReceiveCanBlock@CBaseInputPin@@UAGJXZ
000588CA 000588E4 ?Notify@CBaseInputPin@@UAGJPAUIBaseFilter@@UtagQuality@@@Z
000588E9 00058936 ?SetNotify@CBaseAllocator@@UAGJPAUIMemAllocatorNotifyCallbackTemp@@@Z
0005893B 00058977 ?GetFreeCount@CBaseAllocator@@UAGJPAJ@Z
0005897C 000589AD ?Remove@CSampleList@CBaseAllocator@@QAEXPAVCMediaSample@@@Z
000589B2 00058AF8 _AMovieSetupRegisterFilter@12
00058AFD 00058B62 ?Register@CBaseFilter@@UAGJXZ
00058B67 00058BDD ?Unregister@CBaseFilter@@UAGJXZ
00058BE2 00058C1E ?Skip@CEnumPins@@UAGJK@Z
00058C23 00058C6F ??0CBaseFilter@@QAE@PAGPAUIUnknown@@PAVCCritSec@@ABU_GUID@@PAJ@Z
00058C74 00058CD3 ?Clone@CEnumPins@@UAGJPAPAUIEnumPins@@@Z
00058CD8 00058D37 ?Clone@CEnumMediaTypes@@UAGJPAPAUIEnumMediaTypes@@@Z
00058D3C 00058D62 ?GetClassID@CSystemClock@@UAGJPAU_GUID@@@Z
00058D67 00058D80 ?SetClockDelta@CSystemClock@@UAGJ_J@Z
00058D85 00058DA4 ?LockServer@CClassFactory@@UAGJH@Z
00058DA9 00058DFD ?QueryInterface@CClassFactory@@UAGJABU_GUID@@PAPAX@Z
00058E02 00058E87 ?PerflogCallback@@YGKW4WMIDPREQUESTCODE@@PAXPAK1@Z
00058E8C 00058EB3 ?PerflogTraceEvent@@YGXPAU_EVENT_TRACE_HEADER@@@Z
00058EB8 00058FA8 ?PerflogInitialize@@YGHPAU_PERFLOG_LOGGING_PARAMS@@@Z
00058FAD 0005907E _EliminateSubKey@8
00059083 0005927F _AMovieSetupRegisterServer@32
00059284 000592F3 _AMovieSetupUnregisterServer@16
000592F8 00059366 _AMovieSetupRegisterFilter2@12
0005936B 000593D8 _RegisterAllServers@8
000593DD 0005955C _AMovieDllRegisterServer2@4
00059561 0005957B ?LoadOLEAut32@@YGPAUHINSTANCE__@@XZ
0005959B 000595A4 ?RemoveTailI@CBaseList@@IAEPAXXZ
000595A9 000595C7 ?ResetFormatBuffer@CMediaType@@QAEXXZ
000595CC 00059662 ?MatchesPartial@CMediaType@@QBEHPBV1@@Z
00059667 00059730 _CreateAudioMediaType@12
00059735 00059752 ?IntToWstr@@YGXHPAG@Z
00059757 000597A8 _memmoveInternal@12
000597AD 0005995B ?Int64x32Div32@@YG_J_JJJJ@Z
00059960 00059985 _WriteBSTR@8
0005998A 000599A8 _FreeBSTR@4
000599AD 000599CA ?AmGetLastErrorToHResult@@YGJXZ
000599CF 00059A1F ?TimeKillSynchronousFlagAvailable@@YG_NXZ
00059A24 00059A57 ?CompatibleTimeSetEvent@@YGIIIP6GXIIKKK@ZKI@Z
00059A5C 00059A7B ?GetTypeInfoCount@CBaseDispatch@@QAGJPAI@Z
00059A80 00059B46 ?GetTypeInfo@CBaseDispatch@@QAGJABU_GUID@@IKPAPAUITypeInfo@@@Z
00059B4B 00059C23 ?GetIDsOfNames@CBaseDispatch@@QAGJABU_GUID@@PAPAGIKPAJ@Z
00059C28 00059C5B ?NonDelegatingQueryInterface@CMediaControl@@UAGJABU_GUID@@PAPAX@Z
00059C60 00059C83 ?GetTypeInfo@CMediaControl@@UAGJIKPAPAUITypeInfo@@@Z
00059C88 00059CAE ?GetIDsOfNames@CMediaControl@@UAGJABU_GUID@@PAPAGIKPAJ@Z
00059CB3 00059CD9 ??0CRefTime@@QAE@J@Z
00059CDE 00059D01 ?GetTypeInfo@CMediaEvent@@UAGJIKPAPAUITypeInfo@@@Z
00059D06 00059D2C ?GetIDsOfNames@CMediaEvent@@UAGJABU_GUID@@PAPAGIKPAJ@Z
00059D31 00059D64 ?NonDelegatingQueryInterface@CMediaPosition@@UAGJABU_GUID@@PAPAX@Z
00059D69 00059D8C ?GetTypeInfo@CMediaPosition@@UAGJIKPAPAUITypeInfo@@@Z
00059D91 00059DB7 ?GetIDsOfNames@CMediaPosition@@UAGJABU_GUID@@PAPAGIKPAJ@Z
00059DBC 00059E0F ?GetPeer@CPosPassThru@@AAEJPAPAUIMediaPosition@@@Z
00059E14 00059E47 ?CheckCapabilities@CPosPassThru@@UAGJPAK@Z
00059E4C 00059E7F ?QueryPreferredFormat@CPosPassThru@@UAGJPAU_GUID@@@Z
00059E84 00059EB7 ?SetTimeFormat@CPosPassThru@@UAGJPBU_GUID@@@Z
00059EBC 00059EEF ?GetTimeFormatW@CPosPassThru@@UAGJPAU_GUID@@@Z
00059EF4 00059F33 ?ConvertTimeFormat@CPosPassThru@@UAGJPA_JPBU_GUID@@_J1@Z
00059F38 00059F6E ?GetPositions@CPosPassThru@@UAGJPA_J0@Z
00059F73 00059FA9 ?GetAvailable@CPosPassThru@@UAGJPA_J0@Z
00059FAE 00059FE4 ?get_Duration@CPosPassThru@@UAGJPAN@Z
00059FE9 0005A01F ?get_CurrentPosition@CPosPassThru@@UAGJPAN@Z
0005A024 0005A05F ?put_CurrentPosition@CPosPassThru@@UAGJN@Z
0005A064 0005A09A ?get_StopTime@CPosPassThru@@UAGJPAN@Z
0005A09F 0005A0DA ?put_StopTime@CPosPassThru@@UAGJN@Z
0005A0DF 0005A115 ?get_PrerollTime@CPosPassThru@@UAGJPAN@Z
0005A11A 0005A155 ?put_PrerollTime@CPosPassThru@@UAGJN@Z
0005A15A 0005A190 ?get_Rate@CPosPassThru@@UAGJPAN@Z
0005A195 0005A1B7 ??0COARefTime@@QAE@N@Z
0005A1BC 0005A210 ?put_Rate@CPosPassThru@@UAGJN@Z
0005A215 0005A239 ??4COARefTime@@QAEAAV0@ABN@Z
0005A23E 0005A274 ?CanSeekForward@CPosPassThru@@UAGJPAJ@Z
0005A279 0005A2AF ?CanSeekBackward@CPosPassThru@@UAGJPAJ@Z
0005A2B4 0005A31D ?GetMediaTime@CRendererPosPassThru@@UAEJPA_J0@Z
0005A322 0005A378 ?EOS@CRendererPosPassThru@@QAEJXZ
0005A37D 0005A3AD ?SetTimeFormat@CSourceSeeking@@UAGJPBU_GUID@@@Z
0005A3B2 0005A3DC ?IsUsingTimeFormat@CSourceSeeking@@UAGJPBU_GUID@@@Z
0005A3E1 0005A420 ?GetDuration@CSourceSeeking@@UAGJPA_J@Z
0005A425 0005A464 ?GetStopPosition@CSourceSeeking@@UAGJPA_J@Z
0005A469 0005A4BF ?CheckTime@CCmdQueue@@QAEHVCRefTime@@H@Z
0005A4C4 0005A4E5 ?GetCapabilities@CSourceSeeking@@UAGJPAK@Z
0005A4EA 0005A511 ?CheckCapabilities@CSourceSeeking@@UAGJPAK@Z
0005A516 0005A570 ?ConvertTimeFormat@CSourceSeeking@@UAGJPA_JPBU_GUID@@_J1@Z
0005A575 0005A663 ?SetPositions@CSourceSeeking@@UAGJPA_JK0K@Z
0005A668 0005A69A ?GetPositions@CSourceSeeking@@UAGJPA_J0@Z
0005A69F 0005A6E5 ?GetAvailable@CSourceSeeking@@UAGJPA_J0@Z
0005A6EA 0005A719 ?SetRate@CSourceSeeking@@UAGJN@Z
0005A71E 0005A757 ?GetRate@CSourceSeeking@@UAGJPAN@Z
0005A75C 0005A77C ?GetPreroll@CSourceSeeking@@UAGJPA_J@Z
0005A781 0005A7C0 ?get_Duration@CSourcePosition@@UAGJPAN@Z
0005A7C5 0005A7F8 ?put_CurrentPosition@CSourcePosition@@UAGJN@Z
0005A7FD 0005A83C ?get_StopTime@CSourcePosition@@UAGJPAN@Z
0005A841 0005A874 ?put_StopTime@CSourcePosition@@UAGJN@Z
0005A879 0005A891 ?get_PrerollTime@CSourcePosition@@UAGJPAN@Z
0005A896 0005A8CF ?get_Rate@CSourcePosition@@UAGJPAN@Z
0005A8D4 0005A901 ?put_Rate@CSourcePosition@@UAGJN@Z
0005A906 0005A929 ?GetTypeInfo@CBasicAudio@@UAGJIKPAPAUITypeInfo@@@Z
0005A92E 0005A954 ?GetIDsOfNames@CBasicAudio@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0005A959 0005A9BD ?Invoke@CPinInfo@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0005A9C2 0005A9F5 ?NonDelegatingQueryInterface@CBaseVideoWindow@@UAGJABU_GUID@@PAPAX@Z
0005A9FA 0005AA1D ?GetTypeInfo@CBaseVideoWindow@@UAGJIKPAPAUITypeInfo@@@Z
0005AA22 0005AA48 ?GetIDsOfNames@CBaseVideoWindow@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0005AA4D 0005AA93 ?NonDelegatingQueryInterface@CBaseBasicVideo@@UAGJABU_GUID@@PAPAX@Z
0005AA98 0005AABB ?GetTypeInfo@CBaseBasicVideo@@UAGJIKPAPAUITypeInfo@@@Z
0005AAC0 0005AAE6 ?GetIDsOfNames@CBaseBasicVideo@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0005AAEB 0005AC3F ??0CDispParams@@QAE@IPAUtagVARIANT@@PAJ@Z
0005AC84 0005ACD9 ??1CDispParams@@QAE@XZ
0005ACDE 0005AD19 ?NonDelegatingQueryInterface@CDeferredCommand@@UAGJABU_GUID@@PAPAX@Z
0005AD1E 0005AD4D ?Cancel@CDeferredCommand@@UAGJXZ
0005AD52 0005AD80 ?GetHResult@CDeferredCommand@@UAGJPAJ@Z
0005AD85 0005ADE6 ?Postpone@CDeferredCommand@@UAGJN@Z
0005ADEB 0005AF21 ?Invoke@CDeferredCommand@@QAEJXZ
0005AF26 0005AF2F ??_9@$BDA@AG
0005AF34 0005AF65 ?GetCurrentPosition@CPosPassThru@@UAGJPA_J@Z
0005AF6A 0005AFC9 ??0CSourceSeeking@@IAE@PBGPAUIUnknown@@PAJPAVCCritSec@@@Z
0005AFCE 0005B15D ??0CDeferredCommand@@QAE@PAVCCmdQueue@@PAUIUnknown@@PAJ1NPAU_GUID@@JFJPAUtagVARIANT@@4PAFH@Z
0005B162 0005B183 ??_ECDeferredCommand@@UAEPAXI@Z
0005B188 0005B1AE ??1CDeferredCommand@@UAE@XZ
0005B1B3 0005B236 ?New@CCmdQueue@@UAEJPAPAVCDeferredCommand@@PAUIUnknown@@NPAU_GUID@@JFJPAUtagVARIANT@@3PAFH@Z
0005B23B 0005B2F7 ?GetDueCommand@CCmdQueue@@UAEJPAPAVCDeferredCommand@@J@Z
0005B2FC 0005B3C8 ?GetCommandDueFor@CCmdQueue@@UAEJ_JPAPAVCDeferredCommand@@@Z
0005B3CD 0005B3D7 ?QueryInterface@CPosPassThru@@W3AGJABU_GUID@@PAPAX@Z
0005B3DC 0005B3E6 ?AddRef@CACMPosPassThru@@W3AGKXZ
0005B3EB 0005B431 ??0CSourcePosition@@QAE@PBGPAUIUnknown@@PAJPAVCCritSec@@@Z
0005B436 0005B4D0 ?Insert@CCmdQueue@@UAEJPAVCDeferredCommand@@@Z
0005B4D5 0005B565 ?Remove@CCmdQueue@@UAEJPAVCDeferredCommand@@@Z
0005B56A 0005B5DD ?AdvisePeriodic@CBaseReferenceClock@@UAGJ_J0KPAK@Z
0005B5E2 0005B639 ?ShuntHead@CAMSchedule@@AAEXXZ
0005B63E 0005B669 _GetProxyDllInfo@8
0005B66E 0005B6A5 _StreamPSDllGetClassObject@12
0005B6AA 0005B6C0 _CStdStubBuffer_Release@4
0005B6C5 0005B6DB _CStdStubBuffer2_Release@4
0005B6E0 0005B707 _StreamPSDllRegisterServer@0
0005B70C 0005B733 _StreamPSDllUnregisterServer@0
0005B738 0005B75A _ICaptureGraphBuilder_RemoteFindInterface_Proxy@20
0005B75F 0005B781 _ICaptureGraphBuilder2_RemoteFindInterface_Proxy@24
0005B786 0005B7A8 _IKsPropertySet_RemoteSet_Proxy@28
0005B7AD 0005B7CF _IKsPropertySet_RemoteGet_Proxy@32
0005B7D4 0005B7FB _ICaptureGraphBuilder_RemoteFindInterface_Thunk@4
0005B800 0005B82A _ICaptureGraphBuilder2_RemoteFindInterface_Thunk@4
0005B82F 0005B85C _IKsPropertySet_RemoteSet_Thunk@4
0005B861 0005B891 _IKsPropertySet_RemoteGet_Thunk@4
0005B896 0005B8C4 _DBToAmpFactor@4
0005B8C9 0005B904 _AmpFactorToDB@4
0005B909 0005B982 _AMGetErrorTextW@12
0005B987 0005BA00 _AMGetErrorTextA@12
0005BA05 0005BA61 ?ReadGUID@@YGHPAUHKEY__@@PBGPAU_GUID@@@Z
0005BA66 0005BAC0 ?WriteGUID@@YGHPAUHKEY__@@PBGPBU_GUID@@@Z
0005BAC5 0005BB2D ?GetMediaTypePath@@YGJPBU_GUID@@0PAG@Z
0005BB32 0005BBFF _DeleteMediaTypeFile@8
0005BC04 0005BCFE ?RegisterExtension@@YGJPBGPBU_GUID@@@Z
0005BD03 0005BD4A ?AddProtocol@@YGJPBGPBU_GUID@@@Z
0005BD4F 0005BE8E _SetMediaTypeFile@20
0005BE93 0005BEAF ??0ConGen@CFilterGraph@@QAE@XZ
0005BEB4 0005BEDE ??1ConGen@CFilterGraph@@QAE@XZ
0005BEE3 0005BF3A ?OnCreateFilter@CFilterGraph@@QAEXPBUAwmCreateFilterArg@@PAPAUIBaseFilter@@@Z
0005BF3F 0005BF4A ?OnDeleteSpareList@CFilterGraph@@QAEXI@Z
0005BF4F 0005BFA0 ?CreateFilterHelper@CFilterGraph@@AAEJPBUAwmCreateFilterArg@@PAPAUIBaseFilter@@@Z
0005BFA5 0005BFC6 ??_GConGen@CFilterGraph@@QAEPAXI@Z
0005BFCB 0005BFEC ??_GCDistributorManager@@QAEPAXI@Z
0005BFF1 0005C04F ?RenderEx@CFilterGraph@@UAGJPAUIPin@@KPAK@Z
0005C054 0005C08B ?GetSyncSource@CFilterGraph@@UAGJPAPAUIReferenceClock@@@Z
0005C090 0005C0B0 ?BackUpOneChar@@YGJPAUIStream@@@Z
0005C0B5 0005C15D ?ReadInt@@YGJPAUIStream@@AAH@Z
0005C162 0005C1C8 ?ConsumeBlanks@@YGJPAUIStream@@AAG@Z
0005C1CD 0005C221 ?Consume@@YGJPAUIStream@@PBG@Z
0005C226 0005C295 ?ReadNonBlank@@YGJPAUIStream@@PAGH@Z
0005C29A 0005C301 ?ReadString@@YGJPAUIStream@@PAGH@Z
0005C306 0005C36E ?ReadMediaType@CFilterGraph@@AAEJPAUIStream@@AAVCMediaType@@@Z
0005C373 0005C417 ?MakeConnection@CFilterGraph@@AAEJPAVConGen@1@@Z
0005C41C 0005C4E1 ?SaveFilterPrivateData@CFilterGraph@@AAEJPAUIStream@@PAUIPersistStream@@H@Z
0005C4E6 0005C560 ?WritePinId@CFilterGraph@@AAEJPAUIStream@@PAUIPin@@@Z
0005C565 0005C688 ?SaveConnection@CFilterGraph@@AAEJPAUIStream@@HPAUIPin@@H1AAVCMediaType@@@Z
0005C68D 0005C6F3 ??0CEnumFilters@@AAE@PAVCFilterGraph@@PAU__POSITION@@H@Z
0005C6F8 0005C76F ?Clone@CEnumFilters@@UAGJPAPAUIEnumFilters@@@Z
0005C774 0005C78C ?Abort@CFilterGraph@@UAGJXZ
0005C791 0005C7A8 ?ShouldOperationContinue@CFilterGraph@@UAGJXZ
0005C7AD 0005C817 ?PostCallBack@CFilterGraph@@EAGJPAX0@Z
0005C81C 0005C823 ?GetStartTimeInternal@CFilterGraph@@QAE_JXZ
0005C828 0005C839 ?IsRenderer@CFilterGraph@@QAEJPAUIBaseFilter@@@Z
0005C83E 0005C84F ?UpdateEC_COMPLETEState@CFilterGraph@@QAEJPAUIBaseFilter@@W4_FilterState@@@Z
0005C854 0005C86B ?FrameSkippingOperationInProgress@CFilterGraph@@AAE_NXZ
0005C870 0005C91D ?SetStreamOffset@CFilterGraph@@AAEJXZ
0005C922 0005C9AD ?IsDirty@CFilterGraph@@UAGJXZ
0005C9B2 0005C9EA ?FindPersistOffset@CFilterGraph@@AAEHXZ
0005C9EF 0005CDDB ?SaveFilters@CFilterGraph@@AAEJPAUIStream@@H@Z
0005CDE0 0005CF29 ?GetMaxConnectionsSize@CFilterGraph@@AAEJAAH@Z
0005CF2E 0005D0B6 ?GetSizeMax@CFilterGraph@@UAGJPAT_ULARGE_INTEGER@@@Z
0005D0BB 0005D0ED ?GetByPersistNumber@CFilGenList@CFilterGraph@@QAEPAVFilGen@2@H@Z
0005D0F2 0005D10F ?FilterNumber@CFilGenList@CFilterGraph@@QAEHPAUIBaseFilter@@@Z
0005D114 0005D131 ?SetInternalFilterFlags@CFilterGraph@@QAEXPAUIBaseFilter@@K@Z
0005D136 0005D150 ?GetInternalFilterFlags@CFilterGraph@@QAEKPAUIBaseFilter@@@Z
0005D155 0005D1E3 ?Skip@CEnumFilters@@UAGJK@Z
0005D1E8 0005D253 ?AbortOperation@CFilterGraph@@UAGJXZ
0005D258 0005D30A ?QueryService@CServiceProvider@@UAGJABU_GUID@@0PAPAX@Z
0005D30F 0005D37F ?FindFilterByCLSID@CFilterGraph@@IAEPAUIBaseFilter@@ABU_GUID@@@Z
0005D384 0005D3AD ??_GProviderEntry@CServiceProvider@@QAEPAXI@Z
0005D3B2 0005D4C7 ?AddSourceFilterForMoniker@CFilterGraph@@UAGJPAUIMoniker@@PAUIBindCtx@@PBGPAPAUIBaseFilter@@@Z
0005D4CC 0005D984 ?LoadFilter@CFilterGraph@@AAEJPAUIStream@@H@Z
0005D989 0005D9DA ?LoadFilters@CFilterGraph@@AAEJPAUIStream@@H@Z
0005D9DF 0005DB1B ?LoadClock@CFilterGraph@@AAEJPAUIStream@@H@Z
0005DB20 0005DCE0 ?SaveConnections@CFilterGraph@@AAEJPAUIStream@@@Z
0005DCE5 0005DDFD ?SaveClock@CFilterGraph@@AAEJPAUIStream@@@Z
0005DE02 0005DEB4 ?Save@CFilterGraph@@UAGJPAUIStream@@H@Z
0005DEB9 0005DF6F ?StepInternal@CFilterGraph@@AAEJKPAUIUnknown@@PAUIFrameSkipResultCallback@@W4FRAME_STEP_TYPE@@@Z
0005DF74 0005DF88 ?GetTypeInfoCount@?$IDispatchImpl@UIAMStats@@$1?IID_IAMStats@@3U_GUID@@B$1?LIBID_QuartzTypeLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJPAI@Z
0005DF8D 0005DFA9 ?GetTypeInfo@?$IDispatchImpl@UIAMStats@@$1?IID_IAMStats@@3U_GUID@@B$1?LIBID_QuartzTypeLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJIKPAPAUITypeInfo@@@Z
0005DFAE 0005DFD0 ?GetIDsOfNames@?$IDispatchImpl@UIAMStats@@$1?IID_IAMStats@@3U_GUID@@B$1?LIBID_QuartzTypeLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0005DFD5 0005DFE5 ?Invoke@?$IDispatchImpl@UIAMStats@@$1?IID_IAMStats@@3U_GUID@@B$1?LIBID_QuartzTypeLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0005DFEA 0005E097 ?RegisterService@CServiceProvider@@UAGJABU_GUID@@PAUIUnknown@@@Z
0005E09C 0005E124 ?RemoveFilterEx@CFilterGraph@@IAGJPAUIBaseFilter@@K@Z
0005E129 0005E3E4 ?LoadConnection@CFilterGraph@@AAEJPAUIStream@@H@Z
0005E3E9 0005E45D ?LoadConnections@CFilterGraph@@AAEJPAUIStream@@H@Z
0005E462 0005E5CC ?LoadInternal@CFilterGraph@@AAEJPAUIStream@@@Z
0005E5D1 0005E649 ?Load@CFilterGraph@@UAGJPAUIStream@@@Z
0005E64E 0005E6B3 ?SkipFrames@CFilterGraph@@QAEJKPAUIUnknown@@PAUIFrameSkipResultCallback@@@Z
0005E6B8 0005E6D6 ?Step@CFilterGraph@@UAGJKPAUIUnknown@@@Z
0005E6DB 0005E6F0 ?AddRef@?$CComContainedObject@VCStatContainer@@@ATL@@UAGKXZ
0005E6F5 0005E70A ?Release@?$CComContainedObject@VCStatContainer@@@ATL@@UAGKXZ
0005E70F 0005E729 ?QueryInterface@?$CComContainedObject@VCStatContainer@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0005E72E 0005E752 ?GetMainThread@CFilterGraph@@EAGJPAK@Z
0005E757 0005E77D ?GetClassID@CFilterGraph@@UAGJPAU_GUID@@@Z
0005E782 0005E7A9 ?SetLogFile@CFilterGraph@@UAGJK@Z
0005E7AE 0005E7C2 ?FindPin@CFilterGraph@@UAGJPBGPAPAUIPin@@@Z
0005E7C7 0005E7EB ?QueryVersion@CFilterGraph@@UAGJPAJ@Z
0005E7F0 0005E7FA ?QueryInterface@CFilterGraph@@W3AGJABU_GUID@@PAPAX@Z
0005E7FF 0005E809 ?AddRef@CFilterGraph@@W3AGKXZ
0005E80E 0005E818 ?Release@CFilterGraph@@W3AGKXZ
0005E81D 0005E827 ?QueryInterface@CFilterGraph@@W7AGJABU_GUID@@PAPAX@Z
0005E82C 0005E836 ?AddRef@CFilterGraph@@W7AGKXZ
0005E83B 0005E845 ?Release@CFilterGraph@@W7AGKXZ
0005E84A 0005E854 ?QueryInterface@CFilterGraph@@WM@AGJABU_GUID@@PAPAX@Z
0005E859 0005E863 ?QueryInterface@CFilterGraph@@WBA@AGJABU_GUID@@PAPAX@Z
0005E868 0005E872 ?AddRef@CFilterGraph@@WBA@AGKXZ
0005E877 0005E881 ?Release@CFilterGraph@@WBA@AGKXZ
0005E886 0005E890 ?QueryInterface@CFilterGraph@@WBE@AGJABU_GUID@@PAPAX@Z
0005E895 0005E89F ?QueryInterface@CFilterGraph@@WBI@AGJABU_GUID@@PAPAX@Z
0005E8A4 0005E8AE ?QueryInterface@CFilterGraph@@WBM@AGJABU_GUID@@PAPAX@Z
0005E8B3 0005E8BD ?QueryInterface@CFilterGraph@@WCA@AGJABU_GUID@@PAPAX@Z
0005E8C2 0005E8CC ?AddRef@CFilterGraph@@WCA@AGKXZ
0005E8D1 0005E8DB ?Release@CFilterGraph@@WCA@AGKXZ
0005E8E0 0005E8EA ?QueryInterface@CFilterGraph@@WCE@AGJABU_GUID@@PAPAX@Z
0005E8EF 0005E8F9 ?AddRef@CFilterGraph@@WCE@AGKXZ
0005E8FE 0005E908 ?Release@CFilterGraph@@WCE@AGKXZ
0005E90D 0005E917 ?QueryInterface@CFilterGraph@@WFE@AGJABU_GUID@@PAPAX@Z
0005E91C 0005E926 ?AddRef@CFilterGraph@@WFE@AGKXZ
0005E92B 0005E935 ?Release@CFilterGraph@@WFE@AGKXZ
0005E93A 0005E944 ?GetClassID@CFilterGraph@@WEM@AGJPAU_GUID@@@Z
0005E949 0005E953 ?QueryInterface@CFilterGraph@@WFI@AGJABU_GUID@@PAPAX@Z
