000017B4 000017C8 __EH_epilog3
001DB7A4 001DB7EA ?Validate@MdaSchemaBase@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@@Z
001DB7EA 001DB7F8 ?ValidatePattern@MdaSchemaGroupRef@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@PAI@Z
001DB7F8 001DB815 ?Validate@MdaSchemaElementRefType@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@@Z
001DB815 001DB82F ?GetName@MdaXmlElement@@QAEPBGXZ
001DB82F 001DB846 ?GetName@MdaXmlAttribute@@QAEPBGXZ
001DB846 001DB86E ??0?$MdaFactory@VMdaXPathElement@MdaXPath@@@@QAE@XZ
001DB86E 001DB88D ??0?$MdaFactory@VMdaXPathLogicalOp@MdaXPath@@@@QAE@XZ
001DB898 001DB8DA ??0?$MdaFactory@VSString@@@@QAE@XZ
001DB8DA 001DB91F ??1?$MdaFactory@VSString@@@@QAE@XZ
001DB91F 001DB95C ??0MdaXmlAttribute@@QAE@XZ
001DB95C 001DB97D ??1MdaXPathAttribute@MdaXPath@@QAE@XZ
001DB97D 001DB9BF ?GetNext@?$MdaFactory@VMdaXPathElement@MdaXPath@@@@QAEPAV1@XZ
001DB9BF 001DBA01 ?GetNext@?$MdaFactory@VMdaXPathLogicalOp@MdaXPath@@@@QAEPAV1@XZ
001DBA01 001DBA43 ?GetNext@?$MdaFactory@VSString@@@@QAEPAV1@XZ
001DBA43 001DBA81 ??0MdaXPathAttribute@MdaXPath@@QAE@XZ
001DBA8C 001DBAAA ??1?$MdaHashtable@PAVMdaXmlElement@@@@QAE@XZ
001DBAAA 001DBB14 ?Find@MdaXPath@@AAEXAAV?$SArray@UMdaXPathVariable@MdaXPath@@$00@@PAVSString@@PAD@Z
001DBB14 001DBB53 ?Validate@MdaSchemaComplexContent@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@@Z
001DBB53 001DBBBD ?Validate@MdaSchemaComplexType@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@@Z
001DBBBD 001DBC27 ?Validate@MdaSchemaComplexTypeDef@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@@Z
001DBC27 001DBC69 ?ValidatePattern@MdaSchemaGroup@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@PAI@Z
001DBC69 001DBC92 ?SetAnyType@CompiledQuery@MdaQuery@@QAEXXZ
001DBC92 001DBCC5 ?GetChild@MdaXmlElement@@QAEPAV1@W4MdaElemDeclDef@@@Z
001DBCC5 001DBCF9 ?GetAttribute@MdaXmlElement@@QAEPAVMdaXmlAttribute@@W4MdaAttrDeclDef@@@Z
001DBCF9 001DBD0B ?GetAttributeValueAsBool@MdaXmlElement@@QAEHW4MdaAttrDeclDef@@@Z
001DBD0B 001DBD4D ??0?$MdaFactory@VMdaXmlAttribute@@@@QAE@XZ
001DBD4D 001DBD8F ??0?$MdaFactory@VMdaXPathAttribute@MdaXPath@@@@QAE@XZ
001DBD8F 001DBDD4 ??1?$MdaFactory@VMdaXPathAttribute@MdaXPath@@@@QAE@XZ
001DBDD4 001DBE15 ??1?$MdaFactory@V?$InlineSString@$0CAA@@@@@QAE@XZ
001DBE15 001DBE59 ??0?$MdaHashtable@PAVMdaXmlElement@@@@AAE@XZ
001DBECE 001DBF10 ?GetNext@?$MdaFactory@VMdaXmlAttribute@@@@QAEPAV1@XZ
001DBF10 001DBF52 ?GetNext@?$MdaFactory@VMdaXPathAttribute@MdaXPath@@@@QAEPAV1@XZ
001DBF52 001DBF73 ??1MdaXPathCompiler@MdaXPath@@QAE@XZ
001DBF73 001DBF99 ?Initialize@MdaModuloObjectHashcode@@QAEXPAVMdaXmlElement@@@Z
001DBF99 001DBFF9 ?Initialize@MdaCallbackOnCollectedDelegate@@QAEXPAVMdaXmlElement@@@Z
001DBFF9 001DC018 ??_GSString@@QAEPAXI@Z
001DC018 001DC05F ??0SString@@QAE@ABV0@ABVCIterator@0@1@Z
001DC05F 001DC088 ?Initialize@MdaAssistant@@AAEXPAVMdaXmlElement@@@Z
001DC088 001DC0A9 ??1MdaConfigFactory@@QAE@XZ
001DC0A9 001DC0EE ??0?$MdaFactory@V?$InlineSString@$0CAA@@@@@QAE@XZ
001DC0EE 001DC11E ??E?$Indexer@PAVMdaXmlElement@@VIterator@?$SArray@PAVMdaXmlElement@@$00@@@@QAE?AVIterator@?$SArray@PAVMdaXmlElement@@$00@@H@Z
001DC16C 001DC194 ??0?$InlineSArray@PAVMdaXmlElement@@$0HJ@$00@@QAE@XZ
001DC194 001DC1D6 ?GetNext@?$MdaFactory@V?$InlineSString@$0CAA@@@@@QAEPAV1@XZ
001DC1E4 001DC22C ??0MdaXmlElement@@AAE@XZ
001DC22C 001DC28B ??1MdaXPath@@QAE@XZ
001DC28B 001DC2B6 ??0MdaSchemaBase@MdaSchema@@QAE@XZ
001DC2D0 001DC2DC ?GetSchemaDeclDef@MdaSchemaBase@MdaSchema@@UAE?AW4MdaElemDeclDef@@XZ
001DC2F4 001DC3A4 ?FindElements@MdaXPath@@QAAPAV?$SArray@PAVMdaXmlElement@@$00@@PAVMdaXmlElement@@PAV2@ZZ
001DC3A4 001DC3D0 ??0MdaSchemaSequence@MdaSchema@@QAE@XZ
001DC3E8 001DC421 ??0?$InlineSString@$0CAA@@@QAE@ABV0@@Z
001DC421 001DC455 ??0Compiler@MdaQuery@@QAE@XZ
001DC455 001DC4C3 ??0CompiledQuery@MdaQuery@@QAE@XZ
001DC4C3 001DC5B3 ?StartsWith@@YGHPAVSString@@0@Z
001DC5B3 001DC603 ?SetName@CompiledQuery@MdaQuery@@QAEXPBG@Z
001DC603 001DC641 ?SetNestedTypeName@CompiledQuery@MdaQuery@@QAEXPBG@Z
001DC641 001DC7A9 ?LexAToken@Compiler@MdaQuery@@AAE?AW4Token@12@XZ
001DC7A9 001DC7EE ??0?$MdaFactory@VMdaXmlElement@@@@QAE@XZ
001DC7EE 001DC830 ??0?$MdaFactory@VMdaSchemaSequence@MdaSchema@@@@QAE@XZ
001DC830 001DC875 ??1?$MdaFactory@VMdaSchemaSequence@MdaSchema@@@@QAE@XZ
001DC875 001DC8A1 ??0MdaSchemaRoot@MdaSchema@@QAE@XZ
001DC8BC 001DC8F0 ??0MdaSchemaAttribute@MdaSchema@@QAE@XZ
001DC908 001DC936 ??1MdaSchemaAttribute@MdaSchema@@QAE@XZ
001DC936 001DC962 ??0MdaSchemaChoice@MdaSchema@@QAE@XZ
001DC97C 001DC99A ??1MdaSchemaSequence@MdaSchema@@QAE@XZ
001DC99A 001DC9B8 ??1MdaSchemaElementAny@MdaSchema@@QAE@XZ
001DC9B8 001DC9E6 ??1MdaSchemaComplexTypeDef@MdaSchema@@QAE@XZ
001DC9E6 001DCA1A ??0MdaSchemaComplexType@MdaSchema@@QAE@XZ
001DCA34 001DCA38 ?GetCurrentEHClauseInfo@ThreadExceptionState@@QAEPAVEHClauseInfo@@XZ
001DCA38 001DCA66 ??1MdaSchemaComplexType@MdaSchema@@QAE@XZ
001DCA66 001DCA92 ??0MdaSchemaComplexContent@MdaSchema@@QAE@XZ
001DCAC1 001DCB6C ?DeleteValue@?$EEHashTableBase@PAVEEStringData@@VEEUnicodeHashTableHelper@@$00@@QAEHPAVEEStringData@@@Z
001DCB96 001DCBD8 ?GetNext@?$MdaFactory@VMdaXmlElement@@@@QAEPAV1@XZ
001DCBD8 001DCC1A ?GetNext@?$MdaFactory@VMdaSchemaSequence@MdaSchema@@@@QAEPAV1@XZ
001DCC1A 001DCC5C ?GetNext@?$MdaFactory@VCompiledQuery@MdaQuery@@@@QAEPAV1@XZ
001DCC5C 001DCCAD ?Initialize@MdaSchemaAttribute@MdaSchema@@QAEPAV12@W4MdaAttrDeclDef@@W4MdaSchemaPrimitive@@HPBG@Z
001DCCAD 001DCCE4 ??0MdaSchemaDeclDefRef@MdaSchema@@QAE@XZ
001DCCFC 001DCD30 ??0MdaSchemaExtension@MdaSchema@@QAE@XZ
001DCD48 001DCD4C ?GetAttributes@MdaSchemaExtension@MdaSchema@@UAEAAV?$InlineSArray@PAVMdaSchemaAttribute@MdaSchema@@$0BA@$00@@XZ
001DCD4C 001DCD7D ??0MdaXmlIndustry@@QAE@XZ
001DCD7D 001DCDBD ?ToLowerFirstChar@@YGPBGPBGPAV?$MdaFactory@VSString@@@@@Z
001DCDBD 001DCEDB ?MdaXmlEscape@@YGAAVSString@@AAV1@ABV1@H@Z
001DCEEC 001DD3CE ?WrapString@@YGPAVSString@@AAV1@0HHH@Z
001DD3CE 001DD407 ?ToUpperFirstChar@@YGPBGAAVSString@@PBG@Z
001DD407 001DD63A ?LexAToken@MdaXPathCompiler@MdaXPath@@AAE?AW4MdaXPathTokens@12@XZ
001DD63A 001DD64F ?ToLowerFirstChar@MdaSchema@@CGPBGPBG@Z
001DD64F 001DD69D ?MEMBERNAME@Compiler@MdaQuery@@AAEHPAVCompiledQuery@2@@Z
001DD69D 001DD7CC ?ToXml@MdaXmlAttribute@@AAEPAVSString@@PAV2@@Z
001DD7CC 001DD80E ??0?$MdaFactory@VMdaSchemaRoot@MdaSchema@@@@QAE@XZ
001DD80E 001DD850 ??0?$MdaFactory@VMdaSchemaAttribute@MdaSchema@@@@QAE@XZ
001DD850 001DD895 ??1?$MdaFactory@VMdaSchemaAttribute@MdaSchema@@@@QAE@XZ
001DD895 001DD8D7 ??0?$MdaFactory@VMdaSchemaChoice@MdaSchema@@@@QAE@XZ
001DD8D7 001DD91C ??1?$MdaFactory@VMdaSchemaRoot@MdaSchema@@@@QAE@XZ
001DD91C 001DD961 ??1?$MdaFactory@VMdaSchemaElementAny@MdaSchema@@@@QAE@XZ
001DD961 001DD9A9 ??1?$MdaFactory@VMdaSchemaExtension@MdaSchema@@@@QAE@XZ
001DD9A9 001DD9EE ??0?$MdaFactory@VMdaSchemaComplexType@MdaSchema@@@@QAE@XZ
001DD9EE 001DDA36 ??1?$MdaFactory@VMdaSchemaComplexType@MdaSchema@@@@QAE@XZ
001DDA36 001DDA78 ??0?$MdaFactory@VMdaSchemaComplexContent@MdaSchema@@@@QAE@XZ
001DDA78 001DDABD ??0?$MdaFactory@VMdaSchemaExtension@MdaSchema@@@@QAE@XZ
001DDABD 001DDB51 ?DeleteValue@?$MdaHashtable@PAVMdaXmlElement@@@@QAEXPBG@Z
001DDB51 001DDB96 ??0?$MdaFactory@V?$StackSArray@W4MdaElemDeclDef@@$00@@@@QAE@XZ
001DDB96 001DDBDE ??1?$MdaFactory@V?$StackSArray@W4MdaElemDeclDef@@$00@@@@QAE@XZ
001DDBDE 001DDC0A ??0MdaSchemaGroup@MdaSchema@@QAE@XZ
001DDC24 001DDC50 ??0MdaSchemaGroupRef@MdaSchema@@QAE@XZ
001DDC68 001DDC9C ??0MdaSchemaComplexTypeDef@MdaSchema@@QAE@XZ
001DDCB4 001DDCE0 ??0MdaSchemaElement@MdaSchema@@QAE@XZ
001DDCF8 001DDD24 ??0MdaSchemaElementRef@MdaSchema@@QAE@XZ
001DDD3C 001DDD68 ??0MdaSchemaElementRefType@MdaSchema@@QAE@XZ
001DDD80 001DDD84 ?GetSchemaType@MdaSchemaElementRefType@MdaSchema@@UAE?AW4MdaSchemaType@2@XZ
001DDD84 001DDDB0 ??0MdaSchemaElementAny@MdaSchema@@QAE@XZ
001DDDC8 001DDE07 ?Set@?$MdaHashtable@W4MdaElemDeclDef@@@@QAE?AW4MdaElemDeclDef@@PBVSString@@W42@@Z
001DDE82 001DDEC4 ?GetNext@?$MdaFactory@VMdaSchemaRoot@MdaSchema@@@@QAEPAV1@XZ
001DDEC4 001DDF06 ?GetNext@?$MdaFactory@VMdaSchemaAttribute@MdaSchema@@@@QAEPAV1@XZ
001DDF06 001DDF48 ?GetNext@?$MdaFactory@VMdaSchemaChoice@MdaSchema@@@@QAEPAV1@XZ
001DDF48 001DDF8A ?GetNext@?$MdaFactory@VMdaSchemaComplexType@MdaSchema@@@@QAEPAV1@XZ
001DDF8A 001DDFCC ?GetNext@?$MdaFactory@VMdaSchemaComplexContent@MdaSchema@@@@QAEPAV1@XZ
001DDFCC 001DE00E ?GetNext@?$MdaFactory@VMdaSchemaExtension@MdaSchema@@@@QAEPAV1@XZ
001DE00E 001DE050 ?GetNext@?$MdaFactory@V?$StackSArray@W4MdaElemDeclDef@@$00@@@@QAEPAV1@XZ
001DE050 001DE0EC ?FILTER_EXPR@MdaXPathCompiler@MdaXPath@@AAEPAVMdaXPathBase@2@XZ
001DE0EC 001DE1E4 ??1MdaSchema@@QAE@XZ
001DE1E4 001DE259 ?NESTNAME@Compiler@MdaQuery@@AAEHPAVCompiledQuery@2@@Z
001DE259 001DE41A ?ToXml@MdaXmlElement@@AAEPAVSString@@PAV2@PBGH@Z
001DE42A 001DE498 ?DebugToString@MdaXmlElement@@QAEPBGPAVSString@@@Z
001DE4A8 001DE4EA ??0?$MdaFactory@VMdaSchemaGroup@MdaSchema@@@@QAE@XZ
001DE4EA 001DE52C ??0?$MdaFactory@VMdaSchemaGroupRef@MdaSchema@@@@QAE@XZ
001DE52C 001DE571 ??0?$MdaFactory@VMdaSchemaComplexTypeDef@MdaSchema@@@@QAE@XZ
001DE571 001DE5B3 ??0?$MdaFactory@VMdaSchemaElement@MdaSchema@@@@QAE@XZ
001DE5B3 001DE5F5 ??0?$MdaFactory@VMdaSchemaElementRef@MdaSchema@@@@QAE@XZ
001DE5F5 001DE637 ??0?$MdaFactory@VMdaSchemaElementRefType@MdaSchema@@@@QAE@XZ
001DE637 001DE679 ??0?$MdaFactory@VMdaSchemaElementAny@MdaSchema@@@@QAE@XZ
001DE679 001DE6E7 ?Set@?$MdaHashtable@PAVMdaXmlElement@@@@QAEPAVMdaXmlElement@@PBGPAV2@@Z
001DE6E7 001DE721 ?Get@?$MdaHashtable@PAVMdaXmlElement@@@@QAEHPBVSString@@PAPAVMdaXmlElement@@@Z
001DE83B 001DE87D ?GetNext@?$MdaFactory@VMdaSchemaGroupRef@MdaSchema@@@@QAEPAV1@XZ
001DE87D 001DE8BF ?GetNext@?$MdaFactory@VMdaSchemaElementRef@MdaSchema@@@@QAEPAV1@XZ
001DE8BF 001DE901 ?GetNext@?$MdaFactory@VMdaSchemaGroup@MdaSchema@@@@QAEPAV1@XZ
001DE901 001DE943 ?GetNext@?$MdaFactory@VMdaSchemaComplexTypeDef@MdaSchema@@@@QAEPAV1@XZ
001DE943 001DE985 ?GetNext@?$MdaFactory@VMdaSchemaElement@MdaSchema@@@@QAEPAV1@XZ
001DE985 001DE9C7 ?GetNext@?$MdaFactory@VMdaSchemaElementRefType@MdaSchema@@@@QAEPAV1@XZ
001DE9C7 001DE9FC ?AddAttribute@MdaXmlElement@@AAEPAVMdaXmlAttribute@@PAV2@@Z
001DE9FC 001DEA18 ?AddMatch@MdaXPathResult@MdaXPath@@QAEXPAVMdaXmlElement@@@Z
001DEA18 001DEA2B ?DefineSchema@MdaSchema@@AAEXXZ
001DEA2B 001DEA47 ?Pop@MdaSchema@@AAEPAVMdaSchemaBase@1@XZ
001DEA47 001DEA93 ??0MdaConfigFactory@@AAE@PAVMdaXmlElement@@H@Z
001DEAB4 001DEB7C ?IsJustMyCode@@YGHPAVMethodDesc@@@Z
001DEC5F 001DED59 ?SendHostEvent@MdaXmlMessage@@AAEXXZ
001DEE43 001DF074 ?SendDebugEvent@MdaXmlMessage@@AAEXXZ
001DF190 001DF202 ?RunOnChild@MdaXPathElement@MdaXPath@@QAEHPAVMdaXmlElement@@PAVMdaXPathResult@2@@Z
001DF202 001DF2D9 ?Run@MdaXPathAttribute@MdaXPath@@UAEHPAVMdaXmlElement@@PAVMdaXPathResult@2@@Z
001DF2D9 001E1B1F ?Initialize@MdaSchema@@CGXXZ
001E1B1F 001E1C2F ??0MdaSchema@@AAE@XZ
001E1C2F 001E1C86 ?AddChild@MdaSchemaBase@MdaSchema@@QAEXPAV12@@Z
001E1C86 001E1D42 ?Validate@MdaSchemaElement@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@@Z
001E1D42 001E1ECE ?ValidatePattern@MdaSchemaSequence@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@PAI@Z
001E1ECE 001E2027 ?ValidatePattern@MdaSchemaChoice@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@PAI@Z
001E2027 001E2158 ?Validate@MdaSchemaExtension@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@@Z
001E2158 001E21D9 ?Validate@MdaSchemaElementAny@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@@Z
001E21D9 001E228D ?NAME@Compiler@MdaQuery@@AAEHPAVCompiledQuery@2@@Z
001E228D 001E22B2 ?AddAttribute@MdaXmlElement@@AAEPAVMdaXmlAttribute@@W4MdaAttrDeclDef@@@Z
001E22B2 001E22E1 ?AddDefaultAttribute@MdaXmlElement@@AAEPAVMdaXmlAttribute@@W4MdaAttrDeclDef@@PBG@Z
001E22E1 001E2316 ?AddChild@MdaXmlElement@@AAEPAV1@PAV1@@Z
001E2316 001E233C ?AddChild@MdaXmlElement@@QAEPAV1@W4MdaElemDeclDef@@@Z
001E233C 001E2555 ?ParseXmlStream@MdaConfigFactory@@CGPAVMdaXmlElement@@PAVMdaXmlIndustry@@PBG@Z
001E266B 001E2682 ?BeginChildren@MdaConfigFactory@@UAGJPAUIXMLNodeSource@@PAU_XML_NODE_INFO@@@Z
001E2682 001E269C ?EndChildren@MdaConfigFactory@@UAGJPAUIXMLNodeSource@@HPAU_XML_NODE_INFO@@@Z
001E269C 001E270B ?Get@?$MdaHashtable@PAVMdaXmlElement@@@@QAEHPBGPAPAVMdaXmlElement@@@Z
001E2759 001E279F ??$AddAttributeSz@VSString@@@MdaXmlElement@@QAEPAVMdaXmlAttribute@@W4MdaAttrDeclDef@@VSString@@@Z
001E279F 001E27E5 ??$AddAttributeSz@V?$InlineSString@$0CAA@@@@MdaXmlElement@@QAEPAVMdaXmlAttribute@@W4MdaAttrDeclDef@@V?$InlineSString@$0CAA@@@@Z
001E2884 001E28A2 ?AddChildComment@MdaXmlElement@@QAEXPBG@Z
001E2C94 001E2D63 ?GetSwitchActivationXml@ManagedDebuggingAssistants@@AAEPAVMdaXmlElement@@W4MdaElemDeclDef@@@Z
001E2D63 001E2E66 ?ActivateGroup@ManagedDebuggingAssistants@@AAEXPBGPAV?$SArray@W4MdaElemDeclDef@@$00@@PAV?$MdaHashtable@PAVMdaXmlElement@@@@@Z
001E2E66 001E2E9C ?GetRootElement@ManagedDebuggingAssistants@@AAEPAVMdaXmlElement@@PAV2@@Z
001E2E9C 001E2ED3 ?SendEvent@MdaXmlMessage@@AAEXXZ
001E2ED3 001E2FCC ?SendMessage@MdaXmlMessage@@QAEXXZ
001E2FD4 001E302E ?Run@MdaXPathElement@MdaXPath@@UAEHPAVMdaXmlElement@@PAVMdaXPathResult@2@@Z
001E302E 001E3053 ?GetElementType@MdaSchema@@SG?AW4MdaElemDeclDef@@PBGH@Z
001E3053 001E3078 ?GetAttributeType@MdaSchema@@SG?AW4MdaAttrDeclDef@@PBGH@Z
001E3078 001E30D1 ?SetRootAttributes@MdaSchemaSchema@@EAEPBGPAVMdaXmlElement@@@Z
001E3122 001E33BA ?Validate@MdaSchema@@CGHPAVMdaSchemaAttribute@1@PAVMdaXmlElement@@PAVValidationResult@1@@Z
001E33BA 001E3473 ?SetAttributes@MdaSchemaSequence@MdaSchema@@UAEXPAVMdaXmlElement@@@Z
001E3473 001E3572 ?SetAttributes@MdaSchemaAttribute@MdaSchema@@UAEXPAVMdaXmlElement@@@Z
001E3596 001E3652 ?SetAttributes@MdaSchemaDeclDefRef@MdaSchema@@UAEXPAVMdaXmlElement@@@Z
001E3652 001E3685 ?GetRootElement@MdaAssistant@@AAEPAVMdaXmlElement@@PAV2@H@Z
001E3685 001E36B1 ?OutputThread@MdaAssistant@@SGPAVMdaXmlElement@@PAVThread@@PAV2@@Z
001E36B1 001E385E ?ToString@MdaAssistant@@SGXVTypeHandle@@PAVSString@@1@Z
001E385E 001E3879 ?AddQuery@CompiledQueries@MdaQuery@@AAEPAVCompiledQuery@2@XZ
001E3879 001E3992 ?Test@CompiledQuery@MdaQuery@@QAEHPAVMethodTable@@@Z
001E3992 001E39EA ?Compile@Compiler@MdaQuery@@AAEHPAVSString@@PAVCompiledQuery@2@@Z
001E39EA 001E3A17 ?SetName@MdaXmlElement@@QAEPAV1@PBGH@Z
001E3A17 001E3A44 ?AddChild@MdaXmlElement@@QAEPAV1@PBGH@Z
001E3A44 001E3A7F ?Initialize@MdaXmlAttribute@@AAEPAV1@PBG0@Z
001E3A7F 001E3AA4 ??$CreateDeclDef@VMdaSchemaElement@MdaSchema@@@MdaSchema@@AAEPAVMdaSchemaElement@0@W4MdaElemDeclDef@@PAV?$MdaFactory@VMdaSchemaElement@MdaSchema@@@@@Z
001E3AA4 001E3AC9 ??$CreateDeclDef@VMdaSchemaElementRefType@MdaSchema@@@MdaSchema@@AAEPAVMdaSchemaElementRefType@0@W4MdaElemDeclDef@@PAV?$MdaFactory@VMdaSchemaElementRefType@MdaSchema@@@@@Z
001E3AC9 001E3AEE ??$CreateDeclDef@VMdaSchemaComplexTypeDef@MdaSchema@@@MdaSchema@@AAEPAVMdaSchemaComplexTypeDef@0@W4MdaElemDeclDef@@PAV?$MdaFactory@VMdaSchemaComplexTypeDef@MdaSchema@@@@@Z
001E3AEE 001E3B13 ??$CreateDeclDef@VMdaSchemaGroup@MdaSchema@@@MdaSchema@@AAEPAVMdaSchemaGroup@0@W4MdaElemDeclDef@@PAV?$MdaFactory@VMdaSchemaGroup@MdaSchema@@@@@Z
001E3B13 001E3B44 ??$Push@VMdaSchemaGroup@MdaSchema@@@MdaSchema@@AAEPAVMdaSchemaGroup@0@PAV10@@Z
001E3B44 001E3B57 ?Validate@MdaSchemaAttribute@MdaSchema@@UAEHPAVMdaXmlElement@@PAVValidationResult@2@@Z
001E3B57 001E3B8C ?AddElement@MdaSchema@@AAEXW4MdaElemDeclDef@@@Z
001E3B8C 001E3BBF ?AddElementRefType@MdaSchema@@AAEXW4MdaElemDeclDef@@0@Z
001E3BBF 001E3BE1 ?AddComplexType@MdaSchema@@AAEXW4MdaElemDeclDef@@@Z
001E3BE1 001E3C1F ?AddExtension@MdaSchema@@AAEXW4MdaElemDeclDef@@@Z
001E3C1F 001E3C4E ?RefElement@MdaSchema@@AAEXW4MdaElemDeclDef@@@Z
001E3C4E 001E3C7D ?RefGroup@MdaSchema@@AAEXW4MdaElemDeclDef@@@Z
001E3C7D 001E3C95 ?AddChoice@MdaSchema@@AAEXXZ
001E3C95 001E3CB7 ?AddGroup@MdaSchema@@AAEXW4MdaElemDeclDef@@@Z
001E3CB7 001E3CE1 ?AddSequence@MdaSchema@@AAEXII@Z
001E3CE1 001E3D16 ?AddAttribute@MdaSchema@@AAEXW4MdaAttrDeclDef@@W4MdaSchemaPrimitive@@HPBG@Z
001E3D16 001E3D37 ?AddExtendElementEnd@MdaSchema@@AAEXW4MdaElemDeclDef@@0@Z
001E3D37 001E3DC9 ??0MdaXmlMessage@@QAE@PAVMdaAssistant@@HPAPAVMdaXmlElement@@@Z
001E3DC9 001E3E96 ?SendMessagef@MdaXmlMessage@@QAAXHZZ
001E3E96 001E3EA8 ?SendMessage@MdaXmlMessage@@QAEXH@Z
001E3EA8 001E3ED0 ?SendMessage@MdaXmlMessage@@QAEXPBG@Z
001E3ED0 001E3F6A ?ATTRIBUTE@MdaXPathCompiler@MdaXPath@@AAEPAVMdaXPathAttribute@2@XZ
001E3F6A 001E3FF2 ?ELEMENT@MdaXPathCompiler@MdaXPath@@AAEPAVMdaXPathElement@2@XZ
001E3FF2 001E4097 ?ATTRIBUTE_FILTER@MdaXPathCompiler@MdaXPath@@AAEPAVMdaXPathAttribute@2@XZ
001E4097 001E4170 ?Compile@MdaQuery@@SGXPAVMdaXmlElement@@PAVCompiledQueries@1@@Z
001E4170 001E41CF ?Test@CompiledQuery@MdaQuery@@AAEHPAVSString@@PAVMethodTable@@@Z
001E41CF 001E41FC ?AddAttribute@MdaXmlElement@@AAEPAVMdaXmlAttribute@@PBG0@Z
001E41FC 001E4381 ?CreateNode@MdaConfigFactory@@UAGJPAUIXMLNodeSource@@PAXGPAPAU_XML_NODE_INFO@@@Z
001E4381 001E439E ?AddExtendElement@MdaSchema@@AAEXW4MdaElemDeclDef@@0@Z
001E439E 001E43DB ?ELEMENT_EXPR@MdaXPathCompiler@MdaXPath@@AAEPAVMdaXPathElement@2@XZ
001E43DB 001E4412 ?FILTER@MdaXPathCompiler@MdaXPath@@AAEPAVMdaXPathBase@2@XZ
001E4412 001E476B ??0MdaSchemaSchema@@AAE@XZ
001E4770 001E478E ?ToString@MdaAssistant@@SGAAVSString@@AAV2@PAVModule@@@Z
001E478E 001E4818 ?ToString@MdaAssistant@@SGAAVSString@@AAV2@VTypeHandle@@@Z
001E4818 001E48B0 ?ToString@MdaAssistant@@SGAAVSString@@AAV2@PAVMethodDesc@@@Z
001E48B0 001E4948 ?ToString@MdaAssistant@@SGAAVSString@@AAV2@PAVFieldDesc@@@Z
001E4948 001E49D1 ?OutputMethodDesc@MdaAssistant@@SGPAVMdaXmlElement@@PAVMethodDesc@@PAV2@@Z
001E49D1 001E4A42 ?OutputFieldDesc@MdaAssistant@@SGPAVMdaXmlElement@@PAVFieldDesc@@PAV2@@Z
001E4A42 001E4AC2 ?OutputTypeHandle@MdaAssistant@@SGPAVMdaXmlElement@@VTypeHandle@@PAV2@@Z
001E4AC2 001E4B92 ?OutputCallsite@MdaAssistant@@SGPAVMdaXmlElement@@PAVMethodDesc@@KPAV2@@Z
001E4BA2 001E4C4B ?OutputException@MdaAssistant@@SGPAVMdaXmlElement@@PAPAVObject@@PAV2@@Z
001E4C4B 001E4D03 ?Test@CompiledQuery@MdaQuery@@QAEHPAVMethodDesc@@@Z
001E4D03 001E4D82 ?Test@CompiledQuery@MdaQuery@@QAEHPAVFieldDesc@@@Z
001E4D82 001E4DE0 ?XPATH@MdaXPathCompiler@MdaXPath@@AAEPAVMdaXPathBase@2@XZ
001E4DE0 001E5A6A ??0MdaAssistantSchema@@AAE@XZ
001E5A76 001E661E ??0MdaAssistantMsgSchema@@AAE@XZ
001E661E 001E669F ?OutputParameter@MdaAssistant@@SGPAVMdaXmlElement@@VSString@@GPAVMethodDesc@@PAV2@@Z
001E669F 001E66D9 ?Test@CompiledQueries@MdaQuery@@QAEHPAVMethodDesc@@@Z
001E66D9 001E6713 ?Test@CompiledQueries@MdaQuery@@QAEHPAVFieldDesc@@@Z
001E6713 001E679E ??0MdaXPathCompiler@MdaXPath@@QAE@PAV1@PAPAVMdaXPathBase@1@@Z
001E679E 001E6D4D ?Initialize@ManagedDebuggingAssistants@@AAEXXZ
001E6E13 001E6E5B ?Initialize@MdaXPath@@QAEPAV1@PBG@Z
001E6E5B 001E6ED8 ??0MdaXPath@@QAE@PBG@Z
001E6ED8 001E6F2B ?FindElements@MdaXPath@@SGPAV?$SArray@PAVMdaXmlElement@@$00@@PAVMdaXmlElement@@PBGPAV2@@Z
001E6F2B 001E70BA ?ConfigFileActivation@ManagedDebuggingAssistants@@AAEXPBGPAVMdaXmlIndustry@@PAV?$MdaHashtable@PAVMdaXmlElement@@@@@Z
001E70BA 001E9226 ?EnvironmentActivation@ManagedDebuggingAssistants@@AAEXPAVMdaEnvironment@@@Z
001E9262 001E9289 ?X86EmitPopRegs@StubLinkerCPU@@QAEXI@Z
001E9296 001E92AA ?InitForSave@FixupPrecode@@QAEXH@Z
