000025A7 000025D0 KeQuerySystemTime
0003985C 0003986D InbvInstallDisplayStringFilter
00039D2F 00039D67 KeSetTimeIncrement
00039D6C 00039DD8 KeI386AllocateGdtSelectors
0003A3DF 0003A435 RtlFindLeastSignificantBit
0003A5CE 0003A5E6 VfIsVerificationEnabled
0003A68E 0003A6B0 _strupr
0003A80B 0003A811 VidInitialize
0003A816 0003A81C KdDebuggerInitialize1
0003A821 0003A827 KdSave
0003A82C 0003A832 KdRestore
0003A837 0003A83D KdSendPacket
0003A842 0003A848 KdDebuggerInitialize0
0003A95C 0003A964 atoi
0003A969 0003A9DE atol
0003AD48 0003AD4E VidScreenToBufferBlt
0003B456 0003B47A isupper
0003B47F 0003B4A3 isdigit
0003B4A8 0003B4CC isspace
0003B4D1 0003B501 tolower
0003C31C 0003C32E PsGetProcessCreateTimeQuadPart
0003C333 0003C344 PsGetProcessImageFileName
0003C41C 0003C4F4 RtlFindNextForwardRunClear
0003C6FF 0003C752 RtlDeleteElementGenericTable
0003C757 0003C797 RtlLookupElementGenericTableFull
0003C79C 0003C7B8 RtlLookupElementGenericTable
0003CAF0 0003CC1F IoMakeAssociatedIrp
0003CD25 0003CD77 RtlNumberOfSetBits
0003CE59 0003CE85 RtlClearAllBits
0003D3C1 0003D48A CcFastCopyWrite
0003D761 0003D7E2 RtlDeleteNoSplay
0003DE13 0003DE2A PsIsSystemThread
0003DF3B 0003DF5F KeRemoveQueueDpc
0003DF7C 0003E046 KeSetBasePriorityThread
0003E084 0003E0A1 KeQueryRuntimeThread
0003E0A6 0003E0CB ExSystemTimeToLocalTime
0003E227 0003E25D IoGetAttachedDeviceReference
0003E262 0003E27E RtlLookupElementGenericTableAvl
0003E2AD 0003E309 _snwprintf
0003E30E 0003E337 IoGetRequestorSessionId
0003EB11 0003EB7C FsRtlRemovePerStreamContext
0003EC5B 0003ECAE KePulseEvent
0003ED62 0003EE34 FsRtlPrivateLock
0003F196 0003F1ED FsRtlFastUnlockSingle
0003F522 0003F5F4 FsRtlFastCheckLockForWrite
0003F771 0003F798 FsRtlAllocateFileLock
0004034D 000403FE RtlNtStatusToDosErrorNoTeb
00041469 000414C0 IoCancelIrp
0004152A 00041588 ExExtendZone
0004161C 00041742 IoBuildDeviceIoControlRequest
0004186B 00041898 KeSetAffinityThread
00041B66 00041B86 PoUnregisterSystemState
00041B8B 00041BB9 KeInitializeMutex
00041BBE 00041BEC IoAllocateAdapterChannel
00041C29 00041C89 IoCsqInsertIrp
00041C8E 00041CDF IoCsqRemoveIrp
00041CE4 00041D12 wcscat
00041D61 00041DBD IoBuildSynchronousFsdRequest
000420C8 00042120 ExNotifyCallback
00042125 00042132 PsGetCurrentThreadPreviousMode
0004217A 00042195 RtlMapSecurityErrorToNtStatus
00042289 000422D1 PoRegisterSystemState
000423CF 000423FD RtlInsertElementGenericTableAvl
000425F0 0004274B RtlWalkFrameChain
000427A4 00042817 IoInitializeIrp
0004281C 00042879 KeSetIdealProcessorThread
00042891 000428E3 _stricmp
00043153 00043258 MmUnlockPagableImageSection
0004344D 00043474 PoSetSystemState
00043E54 00043E68 KeAreApcsDisabled
00043F4B 00043F7A KeInsertHeadQueue
000457BA 000457EA IoSetFileOrigin
000492B2 000492B3 nullsub_12
000495C5 000495C6 nullsub_9
000495C6 000495C7 nullsub_8
000495C7 000495C8 nullsub_10
0004A034 0004A035 nullsub_11
0005877D 0005882D CcDeferWrite
0005887D 000588AC CcRepinBcb
00058A1C 00058ADB CcUnpinRepinnedBcb
00058B0F 00058BAE CcIsThereDirtyData
00058BB8 00058C8D CcGetLsnForFileObject
00058CF8 00058D26 CcSetDirtyPageThreshold
00058D31 00058D61 CcGetFileObjectFromSectionPtrs
00058D6F 00058D81 CcGetFileObjectFromBcb
00058EE7 00058F8F CcMdlWriteAbort
00058F9B 000591C8 CcPrepareMdlWrite
000592C9 000593A0 CcWaitForCurrentLazyWriterActivity
00059575 0005958B FsRtlMdlReadCompleteDev
000595A6 000595B3 FsRtlIncrementCcFastReadNoWait
000595BD 000595C4 FsRtlIncrementCcFastReadResourceMiss
000595CE 00059632 FsRtlMdlReadComplete
00059657 00059702 FsRtlLookupLastLargeMcbEntryAndIndex
00059749 00059781 FsRtlLookupLastMcbEntry
0005978F 0005979A FsRtlNumberOfRunsInMcb
000597A4 000597EB FsRtlGetNextMcbEntry
00059813 0005996F FsRtlSplitLargeMcb
0005999C 000599B2 FsRtlTruncateMcb
000599BF 000599DE FsRtlAddMcbEntry
000599E8 00059A23 FsRtlRemoveMcbEntry
00059A4E 00059AA0 FsRtlLookupMcbEntry
00059F07 00059F26 FsRtlFastUnlockAllByKey
00059F43 00059F70 FsRtlAllocatePool
00059F7A 00059FA7 FsRtlAllocatePoolWithQuota
00059FB1 00059FDC FsRtlAllocatePoolWithTag
00059FE6 0005A011 FsRtlAllocatePoolWithQuotaTag
0005A893 0005AA42 FsRtlCreateSectionForDataScan
0005AA5F 0005AAEE FsRtlLookupPerFileObjectContext
0005AAF8 0005AB98 FsRtlRemovePerFileObjectContext
0005ABA3 0005ABAE FsRtlIsPagingFile
0005ABC2 0005AC89 FsRtlInsertPerFileObjectContext
0005AD80 0005AD99 FsRtlPostStackOverflow
0005ADA3 0005ADBC FsRtlPostPagingFileStackOverflow
0005AFB4 0005AFB7 nullsub_16
0005AFDA 0005AFE0 InbvIsBootDriverInstalled
0005AFEB 0005B00A InbvResetDisplay
0005B06F 0005B0EF InbvSolidColorFill
0005B0FB 0005B15B InbvSetTextColor
0005B1B7 0005B1D7 InbvAcquireDisplayOwnership
0005B217 0005B222 InbvSetScrollRegion
0005B2CD 0005B30D IoFreeErrorLogEntry
0005B331 0005B36D IoCheckQuerySetFileInformation
0005B37B 0005B3B7 IoCheckQuerySetVolumeInformation
0005B416 0005B420 IoGetInitialStack
0005B47F 0005B6E5 IoRaiseInformationalHardError
0005B7A9 0005B7E9 IoStartNextPacketByKey
0005B81A 0005B82F IoCallDriver
0005B839 0005B84E IoCompleteRequest
0005B903 0005BA32 IoSetSystemPartition
0005BAD8 0005BB29 IoValidateDeviceIoControlAccess
0005BC88 0005BCAA IoAttachDeviceByPointer
0005C717 0005CC49 KeCapturePersistentThreadState
0005DD9A 0005E037 RtlVolumeDeviceToDosName
0005E7DD 0005E819 IoRequestDeviceEject
0005EF1D 0005EF8C KdDisableDebugger
0005EF96 0005EFE9 KdEnableDebugger
0005EFF3 0005F023 KdPowerTransition
0005F31F 0005F330 KeSetDmaIoCoherency
0005F3FF 0005F424 KeAcquireInterruptSpinLock
0005F42E 0005F44B KeReleaseInterruptSpinLock
0005F823 0005F861 KeEnterKernelDebugger
0005F86F 0005F8C0 KeDeregisterBugCheckCallback
0005F997 0005F9E8 KeDeregisterBugCheckReasonCallback
00060631 00060649 KeBugCheck
00060657 00060676 KeBugCheckEx
00060AB7 00060C27 KeI386GetLid
00060C33 00060CA9 KeI386ReleaseLid
00060CB5 00060D44 KeI386AbiosCall
00060D57 00060DB8 KeI386ReleaseGdtSelectors
00060DC2 00060E71 KeI386FlatToGdtSelector
00060EC7 00060F32 KeRemoveByKeyDeviceQueueIfBusy
00060F3C 00060F7D KeRemoveEntryDeviceQueue
0006103C 0006104C KeQueryPriorityThread
0006137C 00061410 KeRaiseUserException
00061457 0006146E KeSaveStateForHibernate
000636A1 00063964 MmMapLockedPagesWithReservedMapping
0006396E 00063AC1 MmUnmapReservedMapping
00063ACB 00063CFB MmAdvanceMdl
00063D07 00063FAF MmProtectMdlSystemAddress
00064080 00064091 MmFreeContiguousMemorySpecifyCache
000640A0 000640D2 MmGetVirtualForPhysical
0006414D 00064167 MmIsRecursiveIoFault
00064173 0006420B MmMapMemoryDumpMdl
00065F0F 00065F5A MmIsNonPagedSystemAddressValid
00066B67 00066CD9 MmTrimAllSystemPagableMemory
0006A041 0006A052 ObDereferenceObject
0006A0D9 0006A121 ObIsDosDeviceLocallyMapped
0006A158 0006A203 PoCancelDeviceNotify
0006A653 0006A706 PoRegisterDeviceNotify
0006BB6A 0006BBD0 PsGetVersion
0006BBDB 0006BBEA PsGetJobLock
0006BBF4 0006BC06 PsGetJobSessionId
0006BC2B 0006BC3D PsGetProcessExitStatus
0006BC77 0006BC89 PsGetProcessPriorityClass
0006BCD1 0006BCDE PsGetCurrentThreadStackBase
0006BCE8 0006BCF2 PsGetCurrentThreadStackLimit
0006BDC0 0006BE29 DbgPrintReturnControlC
0006BE33 0006BE74 DbgPrompt
0006BE8B 0006BE96 DbgQueryDebugFilterState
0006BEA0 0006BEAB DbgSetDebugFilterState
0006BEB1 0006BECF DbgPrintEx
0006BEDB 0006BEFA vDbgPrintEx
0006BFA1 0006BFC3 RtlClearBit
0006BFD7 0006BFFA RtlTestBit
0006C017 0006C2C3 RtlFindSetBits
0006C2E1 0006C313 RtlFindLongestRunClear
0006C340 0006C3E6 RtlFindMostSignificantBit
0006C3FF 0006C42D RtlFindSetBitsAndClear
0006C439 0006C44F RtlFindFirstRunClear
0006C668 0006C684 RtlAssert
0006C695 0006C720 RtlCaptureStackBackTrace
0006C85D 0006C87B RtlSubtreeSuccessor
0006C897 0006C8D3 RtlRealPredecessor
0006C8FB 0006C90E RtlIsGenericTableEmpty
0006C918 0006C9A2 RtlGetElementGenericTable
0006C9CF 0006CA19 RtlEnumerateGenericTable
0006CA93 0006CB6D RtlGetElementGenericTableAvl
0006CBA3 0006CC6D RtlEnumerateGenericTableLikeADirectory
0006CE11 0006CFE3 RtlIpv6AddressToStringA
0006D040 0006D10A RtlIpv6AddressToStringExA
0006D125 0006D15B RtlIpv4AddressToStringA
0006D173 0006D20A RtlIpv4AddressToStringExA
0006D21A 0006D3EF RtlIpv6AddressToStringW
0006D485 0006D554 RtlIpv6AddressToStringExW
0006D57A 0006D5B3 RtlIpv4AddressToStringW
0006D5D8 0006D667 RtlIpv4AddressToStringExW
0006D680 0006D99C RtlIpv6StringToAddressA
0006D9A6 0006DBDE RtlIpv6StringToAddressExA
0006DBEB 0006DDF4 RtlIpv4StringToAddressA
0006DDFF 0006DF93 RtlIpv4StringToAddressExA
0006DF9F 0006E298 RtlIpv6StringToAddressW
0006E2A2 0006E500 RtlIpv6StringToAddressExW
0006E513 0006E68B RtlIpv4StringToAddressExW
0006E697 0006E712 RtlLargeIntegerDivide
0006E727 0006E76D RtlRandomEx
0006E799 0006E7DA RtlTimeToSecondsSince1980
0006E7E4 0006E816 RtlSecondsSince1980ToTime
0006E823 0006E864 RtlTimeToSecondsSince1970
0006EA43 0006EAC8 RtlTraceDatabaseEnumerate
0006EAD2 0006EBBE RtlTraceDatabaseCreate
0006EBC3 0006EC1E RtlTraceDatabaseDestroy
0006EC5C 0006ECA1 RtlTraceDatabaseValidate
0006ECAB 0006ECE1 RtlTraceDatabaseFind
0006EE85 0006EE90 RtlTraceDatabaseLock
0006EE9A 0006EEA5 RtlTraceDatabaseUnlock
0006EEAF 0006EEDF RtlTraceDatabaseAdd
0007078B 000707C2 VfFailDeviceNode
000707CC 00070802 VfFailSystemBIOS
0007080F 00070841 VfFailDriver
0007205C 0007210E WmiGetClock
00072693 00072955 WmiTraceMessageVa
0007296F 0007298E WmiTraceMessage
00072998 00072AF2 NtTraceEvent
00072B23 00072B3F IoWMIDeviceObjectToInstanceName
00072CF2 00072D02 ExGetExclusiveWaiterCount
00072D0D 00072D1D ExGetSharedWaiterCount
0007307F 000730E9 ExQueryPoolBlockSize
00073933 0007394C ExAllocatePoolWithQuota
00073962 000739E0 ExUnregisterCallback
000739FB 00073A46 ExDeleteNPagedLookasideList
00073A50 00073A9B ExDeletePagedLookasideList
00073AB7 00073AEC ExInterlockedExtendZone
00073D5A 00073D97 ExGetCurrentProcessorCpuUsage
00073DA1 00073DD8 ExGetCurrentProcessorCounts
00073ED7 00073EE1 _purecall
00073F4F 00073FA8 XIPDispatch
000740F2 0007411C _itoa
00074182 000741AC _itow
000741CA 000741F2 _strlwr
00074234 000742A5 _vsnwprintf
000742BA 000742EB _wcslwr
000742FC 00074327 _wcsnset
00074332 00074369 _wcsrev
00074481 000744AF islower
000744BF 000744F2 isxdigit
00074502 00074535 isprint
0007455C 000745CD mbstowcs
00074631 00074640 srand
0007464A 0007466D rand
0007471A 00074738 towlower
00074742 00074751 towupper
00074778 000747BE wcscspn
000747E8 00074831 wcsspn
00074844 000748BF wcstombs
00075469 0007546F KeAcquireQueuedSpinLock
0007547B 00075481 KfReleaseSpinLock
0007549F 000754A5 KfRaiseIrql
000754C3 000754C9 KeRaiseIrqlToDpcLevel
000754ED 000754F3 KeLowerIrql
000754FF 00075505 KeReleaseSpinLock
00075511 00075517 KeAcquireSpinLock
00075523 00075529 HalReadDmaCounter
00075535 0007553B IoMapTransfer
00075547 0007554D IoFreeMapRegisters
00075559 0007555F IoFreeAdapterChannel
0007556B 00075571 IoFlushAdapterBuffers
0007557D 00075583 HalFreeCommonBuffer
0007558F 00075595 HalAllocateCommonBuffer
000755A7 000755AD VidResetDisplay
000755D1 000755D7 VidSetTextColor
000755EF 000755F5 VidSetScrollRegion
00075B4B 00075B51 KdD0Transition
00075B5F 00075B65 KdD3Transition
0007A005 0007A199 ExAllocatePoolWithTag
0007A1E6 0007A386 ExFreePoolWithTag
0007A3D4 0007A3E7 ExFreePool
00095241 00095264 ObReleaseObjectSecurity
00095287 000952A0 ObGetObjectSecurity
000952A5 000952C2 PsReferenceImpersonationToken
000952C7 00095397 SeAccessCheck
0009539C 000953CC SeLockSubjectContext
000953D1 0009540E SeUnlockSubjectContext
00095559 00095646 ObReferenceObjectByHandle
00095684 000956EC RtlEqualUnicodeString
00095967 00095992 PsReferencePrimaryToken
00095A6B 00095A97 SeCreateAccessState
00095A9C 00095AC3 SeReleaseSubjectContext
00095AC8 00095AFF SeDeleteAccessState
00096525 000965E9 ObCreateObject
00096963 00096999 ObDereferenceSecurityDescriptor
00096A64 00096B61 ObInsertObject
00096B66 00096C7D NtCreateSection
00096CB2 00096D73 SeOpenObjectAuditAlarm
00096D78 00096E41 ObCheckObjectAccess
00096F62 00097011 NtWaitForSingleObject
0009789F 000978F6 ProbeForWrite
00097F89 00097FA0 RtlAreAllAccessesGranted
00097FB0 00097FD8 RtlUpcaseUnicodeChar
00098163 00098223 KeUserModeCallback
0009824C 000982C1 RtlUpcaseUnicodeString
0009837E 00098405 ExfReleasePushLock
0009841E 00098484 ExfAcquirePushLockExclusive
000984B4 00098530 ExfAcquirePushLockShared
00098AF2 00098B13 NtClose
00098E64 00098E8D RtlCreateSecurityDescriptor
00098FAB 00098FC3 SeTokenIsRestricted
00098FE5 00099042 RtlMapGenericMask
00099047 00099076 RtlCopySid
000990A0 000990B8 FsRtlOplockIsFastIoPossible
00099150 0009916F ExReleaseRundownProtection
00099174 00099197 ExAcquireRundownProtection
00099328 000994F7 ObOpenObjectByName
000997C3 000997D5 SeTokenType
00099928 000999B2 NtSetEvent
00099AF6 00099B95 RtlAddAtomToAtomTable
00099D45 0009A09E NtAllocateVirtualMemory
0009A3DF 0009A959 NtFreeVirtualMemory
0009AEF2 0009AF05 MmUnsecureVirtualMemory
0009AF0A 0009AF23 MmSecureVirtualMemory
0009AFB7 0009B015 PsSetProcessPriorityByClass
0009B065 0009B1DE RtlMultiByteToUnicodeN
0009B1E3 0009B2C6 RtlQueryAtomInAtomTable
0009B5E5 0009B6A8 CcPreparePinWrite
0009B6C6 0009B6EB CcSetBcbOwnerPointer
0009B6F0 0009B729 CcUnpinDataForThread
0009C5DA 0009C83B SeQuerySecurityDescriptorInfo
0009CB1C 0009CB4A SePrivilegeCheck
0009CB5F 0009CB99 RtlEqualSid
0009CBB8 0009CBDB SeCaptureSubjectContext
0009CCC8 0009CD52 NtOpenThreadTokenEx
0009CDCB 0009CDE7 NtOpenThreadToken
0009CEAF 0009CF7B NtQueryInformationProcess
0009CF80 0009CFF8 RtlCompareUnicodeString
0009D5F9 0009D62A SeAssignSecurity
0009D790 0009D7CD RtlValidSid
0009D7DE 0009D86D RtlLengthSecurityDescriptor
0009D872 0009D8BF RtlCreateAcl
0009D948 0009D970 SeReleaseSecurityDescriptor
0009D9BD 0009DA9D ObLogSecurityDescriptor
0009DB8C 0009DBFC ObAssignSecurity
0009DFED 0009E00C ExWaitForRundownProtectionRelease
0009E6BB 0009E6F2 PsCreateSystemThread
0009EC4D 0009EE9B NtQueryInformationThread
0009EEA0 0009EEB6 ObCloseHandle
0009EF34 0009EFA1 IoSetIoCompletion
0009F0F6 000A014B NtQueryInformationToken
000A0150 000A0205 ObOpenObjectByPointer
000A025F 000A0303 NtOpenProcessTokenEx
000A0308 000A0321 NtOpenProcessToken
000A0BD8 000A0BEB SeFreePrivileges
000A1FA7 000A218F NtSetInformationThread
000A2236 000A2249 RtlLengthRequiredSid
000A234E 000A23F8 PsLookupProcessThreadByCid
000A248D 000A2835 NtRequestWaitReplyPort
000A283A 000A28D1 PsAssignImpersonationToken
000A28D6 000A2962 PsRevertThreadToSelf
000A2967 000A2A88 PsImpersonateClient
000A2ECE 000A2EE0 SeTokenImpersonationLevel
000A3072 000A3317 SeCaptureSecurityDescriptor
000A36AE 000A36F9 RtlAnsiCharToUnicodeChar
000A3EC2 000A3EE2 RtlFreeUnicodeString
000A3F64 000A3FB9 SeQueryAuthenticationIdToken
000A400C 000A4030 CcSetLogHandleForFile
000A4451 000A448F FsRtlTeardownPerStreamContexts
000A4682 000A4698 MmUnmapViewOfSection
000A4D90 000A4DAD SeSetAccessStateGenericMapping
000A4DC2 000A4DC8 IoGetFileObjectGenericMapping
000A4DDD 000A4E58 FsRtlAreNamesEqual
000A4E5D 000A4E75 FsRtlCurrentBatchOplock
000A4FB2 000A4FEF SeAuditingFileEventsWithContext
000A52CE 000A532B IoCreateFile
000A5330 000A5364 NtCreateFile
000A537A 000A537D FsRtlInitializeOplock
000A53AB 000A5402 IoRemoveShareAccess
000A5407 000A549F IoSetShareAccess
000A54A4 000A54CF NtOpenFile
000A57EF 000A5A7B NtQueryVolumeInformationFile
000A5D2D 000A5E01 NtCreateEvent
000A5E06 000A5FB1 NtReadFile
000A5FB6 000A5FC3 FsRtlIncrementCcFastReadWait
000A5FC8 000A60E5 NtSetInformationProcess
000A6584 000A65A8 CcUnpinData
000A65D2 000A66AF CcMapData
000A6716 000A672D RtlInitializeBitMap
000A6783 000A6861 CcPinMappedData
000A6889 000A693B FsRtlNotifyFilterReportChange
000A6AF7 000A6C2B FsRtlReleaseFile
000A6C30 000A6C45 FsRtlAcquireFileExclusive
000A6C4A 000A6CB7 FsRtlGetFileSize
000A6F60 000A705E MmMapViewOfSection
000A7371 000A7661 NtMapViewOfSection
000A7690 000A783B NtQueryInformationFile
000A7B3A 000A7D31 CcCopyRead
000A7D36 000A7E27 IoCheckShareAccess
000A7E80 000A7EF0 FsRtlDissectName
000A80F6 000A8154 IoUpdateShareAccess
000A84ED 000A8694 NtSetInformationFile
000A876D 000A8947 NtWriteFile
000A8D4D 000A8E25 CcPinRead
000A8EB0 000A9078 CcFastCopyRead
000A90BD 000A90CF RtlAreAnyAccessesGranted
000A91B9 000A91DC RtlGetDefaultCodePage
000A93F3 000A9421 NtFsControlFile
000A9639 000A9681 SeQuerySessionIdToken
000A97AF 000A97D4 PsTerminateSystemThread
000A98ED 000A99FA RtlFreeHeap
000A9B57 000A9BEB RtlLookupAtomInAtomTable
000A9C04 000A9C1B PsGetThreadSessionId
000A9C20 000A9C97 PsLookupThreadByThreadId
000A9C9C 000A9D20 RtlDeleteAtomFromAtomTable
000A9D25 000A9FF9 RtlAllocateHeap
000AA21E 000AA314 NtDuplicateObject
000AA5FC 000AA661 SeSinglePrivilegeCheck
000AA687 000AA705 PsLookupProcessByProcessId
000AA70A 000AA88C NtOpenProcess
000AAE69 000AAECA NtQueryDirectoryFile
000AAEEF 000AAF23 FsRtlDoesNameContainWildCards
000AAF28 000AAF73 FsRtlIsNameInExpression
000AB5B2 000AB743 NtAddAtom
000ABCD4 000ABE38 RtlUnicodeToMultiByteN
000ABE7D 000ABEFF RtlUnicodeStringToAnsiString
000AC451 000AC57E NtDuplicateToken
000AC601 000AC7B3 LpcRequestPort
000ACB17 000ACB36 PsSetThreadWin32Thread
000ACB3B 000ACBAE ObSetHandleAttributes
000ACCB8 000ACD0E SeCreateClientSecurity
000ACD8F 000ACDCA SeImpersonateClientEx
000AD5E2 000AD6A5 IoCreateStreamFileObjectLite
000ADAB3 000ADAE3 SePrivilegeObjectAuditAlarm
000ADB94 000ADBCB SeAppendPrivileges
000ADC74 000ADCCA IoCreateFileSpecifyDeviceObjectHint
000AE563 000AE58B NtConnectPort
000AEC24 000AEC5B RtlNtStatusToDosError
000AEEFF 000AEF33 ProbeForRead
000AEFF1 000AF697 NtQuerySystemInformation
000B19A6 000B19D4 NtDeviceIoControlFile
000B1DF0 000B1E6D RtlAnsiStringToUnicodeString
000B1F13 000B1F71 RtlIntegerToUnicodeString
000B2575 000B2696 RtlConvertSidToUnicodeString
000B26E3 000B27E0 RtlFormatCurrentUserKeyPath
000B281E 000B28EA RtlIntegerToUnicode
000B324C 000B326B IoQueryFileInformation
000B344F 000B3523 RtlIntegerToChar
000B3539 000B3983 ObQueryNameString
000B3DC1 000B429A SeQueryInformationToken
000B5B75 000B5BC1 RtlRandom
000B6A72 000B6AF5 PsSetProcessWin32Process
000B6DCB 000B6DCC nullsub_15
000B7025 000B703A PsSetProcessWindowStation
000B7068 000B7079 PsDereferencePrimaryToken
000B71F4 000B720C SeTokenIsWriteRestricted
000B73D2 000B73D8 ExRundownCompleted
000B7E7E 000B7F5A RtlInsertUnicodePrefix
000B7F7F 000B7FE8 RtlRemoveUnicodePrefix
000B90A7 000B90FE RtlFindUnicodePrefix
000BA04F 000BA160 ObReferenceObjectByName
000BC92E 000BC934 RtlGetNtGlobalFlags
000BC939 000BCA1F RtlUnicodeStringToInteger
000BDCF5 000BDD70 MmPrefetchPages
000BEAE6 000BEC30 RtlQueryRegistryValues
000BF195 000BF215 IoGetDeviceProperty
000BFBE5 000BFC58 RtlStringFromGUID
000C0242 000C03A0 IoOpenDeviceRegistryKey
000C0475 000C04E4 IoUnregisterPlugPlayNotification
000C04E9 000C050A IoIsWdmVersionAvailable
000C0526 000C0687 IoRegisterPlugPlayNotification
000C068C 000C06B5 IoGetDeviceInterfaces
000C0D9B 000C0E00 RtlGetNextRange
000C0E05 000C0E44 RtlGetFirstRange
000C0F2C 000C0F42 ObReferenceSecurityDescriptor
000C0F71 000C0F81 PsGetProcessExitTime
000C13F2 000C140B LpcRequestWaitReplyPort
000C1410 000C1422 PsGetProcessSecurityPort
000C143B 000C148E IoCheckEaBufferValidity
000C1493 000C14DC FsRtlNotifyInitializeSync
000C204E 000C2153 ObSetSecurityDescriptorInfo
000C3490 000C350E RtlGUIDFromString
000C383D 000C38CE IoOpenDeviceInterfaceRegistryKey
000C48BF 000C4B5C IoCreateDevice
000C533F 000C53A0 IoWMIRegistrationControl
000C6F8F 000C6FAE RtlUpperChar
000CE70E 000CE7AF FsRtlNotifyVolumeEvent
000CED73 000CF148 RtlCreateHeap
000CF640 000CF659 RtlCopyLuid
000D061C 000D0679 KeFlushQueuedDpcs
000D214E 000D21F7 RtlGetAce
000D2369 000D2400 IoRegisterFileSystem
000D259D 000D25DA IoDisconnectInterrupt
000D377D 000D37E2 IoUnregisterFileSystem
000D3812 000D38F5 NtQueryInformationAtom
000D3965 000D3A94 IoConnectInterrupt
000D427E 000D4383 IoWMIOpenBlock
000D461B 000D4699 PsRevertToSelf
000D4917 000D4971 RtlGetDaclSecurityDescriptor
000D4B03 000D4B8D IoWMIQueryAllData
000D4D87 000D4DA6 RtlAddAccessAllowedAceEx
000D4DAB 000D4DD8 IoWMISetNotificationCallback
000D4E14 000D4EAC RtlValidRelativeSecurityDescriptor
000D5776 000D58E2 ExRaiseHardError
000D64FE 000D6701 Ke386CallBios
000D6706 000D679A NtVdmControl
000D6F2A 000D6F5B PoRequestShutdownEvent
000D742F 000D7507 IoQueryDeviceDescription
000D829E 000D84AF IoCreateDriver
000D8912 000D89E9 IoWMIQuerySingleInstance
000D8C0F 000D8C2B LdrFindResourceDirectory_U
000D9387 000D93DE RtlWriteRegistryValue
000D93EF 000D93F5 KeQueryActiveProcessors
000D94D9 000D953A RtlPrefixString
000D9745 000D976D RtlCheckRegistryKey
000D982B 000D9867 IoInitializeRemoveLockEx
000D988D 000D98BB RtlCreateRegistryKey
000D9AC1 000D9B3D ExInitializePagedLookasideList
000D9CC8 000D9D56 IoSynchronousInvalidateDeviceRelations
000D9D5B 000D9DCD IoCreateNotificationEvent
000D9DF8 000D9DF9 nullsub_14
000DB677 000DB698 MmIsVerifierEnabled
000DB7EE 000DB80A LdrFindResource_U
000DBFF1 000DC04E KeAddSystemServiceTable
000DC543 000DC5DD PsEstablishWin32Callouts
000DC65A 000DC670 PsSetLegoNotifyRoutine
000DD71F 000DD80B IoInitializeCrashDump
000DE352 000DE371 IoQueryVolumeInformation
000DEB58 000DEB9C IoRegisterShutdownNotification
000DEFD9 000DF151 ExCreateCallback
000DF156 000DF186 RtlGetSaclSecurityDescriptor
000DF18B 000DF1C8 RtlGetOwnerSecurityDescriptor
000DF1CD 000DF207 RtlGetGroupSecurityDescriptor
000DF238 000DF29E FsRtlBalanceReads
000DF5E8 000DF62A RtlFreeRangeList
000DF6CA 000DF72B RtlCopyRangeList
000DF8CA 000DF923 RtlDeleteOwnersRanges
000E056F 000E05B5 IoReportResourceUsage
000E0E39 000E0E56 RtlInitializeUnicodePrefix
000E0F55 000E0F98 IoReportResourceForDetection
000E1C46 000E1DF6 IoReadPartitionTable
000E1EDB 000E1FF7 RtlSelfRelativeToAbsoluteSD
000E39F5 000E4074 IoAssignDriveLetters
000E40B0 000E41B8 MmGetSystemRoutineAddress
000E46CC 000E46EE RtlAbsoluteToSelfRelativeSD
000E5153 000E51C6 RtlAddRange
000E5590 000E56A5 RtlFindRange
000E5F99 000E5FE5 RtlDeleteRegistryValue
000E6E7D 000E6F98 IoGetDmaAdapter
000E8878 000E88E8 IoForwardIrpSynchronously
000E8BEB 000E8C05 MmMapVideoDisplay
000E8C0A 000E8C15 MmUnmapVideoDisplay
000E8CD5 000E8D90 IoCreateController
000E8D95 000E8E05 MmAllocateMappingAddress
000E8E0A 000E8E59 PoQueueShutdownWorkItem
000E8EFB 000E8F55 RtlDeleteAce
000E8F5A 000E8F97 IoRegisterDriverReinitialization
000E9AF1 000E9B64 IoCreateSynchronizationEvent
000E9B69 000E9BA6 IoRegisterBootDriverReinitialization
000EB2B4 000EB31A RtlIsRangeAvailable
000EB34E 000EB393 RtlUpperString
000EEEA6 000EF208 ObCreateObjectType
000EF925 000EF980 IoReadPartitionTableEx
000EF985 000EFEF2 IoGetBootDiskInformation
000F02DF 000F0376 RtlInitCodePageTable
000F108C 000F158D IoReportDetectedDevice
000F1C3A 000F1D0A IoRegisterFsRegistrationChange
000F293D 000F298D RtlCreateUnicodeString
000F2CEF 000F2D0B RtlInitializeRangeList
000F33EC 000F3428 CallbackRoutine
000F36BB 000F37DE RtlQueryTimeZoneInformation
000F5459 000F5532 RtlUpcaseUnicodeToMultiByteN
000F5EA8 000F5EE4 FsRtlInitializeTunnelCache
000F5F1D 000F5F4F FsRtlDeleteTunnelCache
000F5F54 000F5F6A IoCreateStreamFileObject
000F6152 000F61A9 IoCreateSymbolicLink
000F62CA 000F6316 RtlAppendStringToString
000F635C 000F63D9 RtlPinAtomInAtomTable
000F6409 000F6485 RtlCreateAtomTable
000F65CD 000F6698 RtlAddAce
000F66CF 000F6714 RtlSetGroupSecurityDescriptor
000F6719 000F674E RtlSetSaclSecurityDescriptor
000FA28F 000FA295 IoGetConfigurationInformation
000FA29A 000FA2ED IoCreateUnprotectedSymbolicLink
