0000A066 0000A092 _CcCopyReadExceptionFilter@8
0003CA3A 0003CAE8 _MiAddValidPageToWorkingSet@16
0003CAEE 0003CCB0 _MiGetInPageSupportBlock@8
0003CCB6 0003CD25 _MiFreeInPageSupportBlock@4
0003CD2A 0003CDC1 _MiHandleBankedSection@8
0003CDC6 0003CF77 _MiCheckVirtualAddress@8
0003CF7C 0003D030 @MiCheckPdeForPagedPool@4
0003D036 0003D15E _MiInitializePfn@12
0003D164 0003D28B _MiInitializeReadInProgressSinglePfn@16
0003D290 0003D3EB _MiInitializeReadInProgressPfn@16
0003D3F2 0003D4F8 _MiInitializeTransitionPfn@8
0003D4FE 0003D601 _MiInitializeCopyOnWritePfn@16
0003D606 0003D89E _MiTrimPte@24
0003D8A4 0003DA34 _MiSessionCopyOnWrite@8
0003DA3A 0003DC77 _MiResolveDemandZeroFault@16
0003DC7C 0003E0E9 _MiResolvePageFileFault@16
0003E0EE 0003E39E _MiCompleteProtoPteFault@16
0003E3A4 0003E8FE _MiResolveMappedFileFault@16
0003E904 0003E9A2 _MiFindActualFaultingPte@4
0003E9A8 0003ECEB _MiWaitForInPageComplete@24
0003ECF0 0003F1AF _MiResolveTransitionFault@24
0003F1B4 0003F419 _MiResolveProtoPteFault@28
0003F41E 0003FB88 _MiDispatchFault@24
0003FB8E 0003FBAA @MiIsPteProtectionCompatible@8
0003FBB0 0003FC09 @MiMakeProtectionMask@4
0003FC0E 0003FCCC @MiMakeSystemAddressValidPfnWs@8
0003FCD2 0003FD21 @MiMakeSystemAddressValidPfn@4
0003FD28 0003FDB9 @MiLockPagedAddress@8
0003FDBE 0003FE57 @MiUnlockPagedAddress@8
0003FE5C 0003FF11 _MiGetSubsectionAndProtoFromPte@8
0003FF16 0003FF61 _MmIsNonPagedSystemAddressValid@4
0003FF66 0003FF96 @MiIsProtectionCompatible@8
0003FF9C 00040003 _MiDoesPdeExistAndMakeValid@16
00040008 000400DD _MiMakePdeExistAndMakeValid@12
000400E2 00040206 @MiMakeSystemAddressValidPfnSystemWs@4
0004020C 0004025C @MiZeroPhysicalPage@8
00040262 000403A5 @MiRestoreTransitionPte@4
000403AA 000403AF _MiNonNumaPageToNodeColor@4
000403B4 000403D5 _MiDetermineNode@8
000403DA 000403E0 _MmQuerySystemSize@0
000403E6 000403EC _MmIsThisAnNtAsSystem@0
000403F2 000403F9 @MmSetPageFaultNotifyRoutine@4
000403FE 0004048B _MiNotifyMemoryEvents@0
00040600 000406DE _MiCheckCacheAttributes@12
000406E4 00040708 _MiSetControlAreaSymbolsLoaded@4
0004070E 00040738 _MiDereferenceControlArea@4
0004073E 000407A4 _MiReferenceSubsection@4
000407AA 000409C2 _MiAddViewsForSection@16
000409C8 00040A6A _MiRemoveViewsFromSection@8
00040A70 00040A9C _MiRemoveViewsFromSectionWithPfn@8
00040AA2 00040AF0 _MiConvertStaticSubsections@4
00040AF6 00040C16 _MiCheckPurgeAndUpMapCount@4
00040C1C 00040EAF _MiSetPageModified@8
00040EB4 00040ED8 _MiMarkImageMappedInSystemSpace@4
00040EDE 00041056 _MiFillSystemPageDirectory@8
0004105C 00041566 _MiMapViewOfPhysicalSection@36
0004156C 00041594 _MiAddViewsForSectionWithPfn@8
0004159A 00041629 _MiPfFreeDummyPage@4
0004162E 000416C7 _MiMovePageToEndOfStandbyList@4
000416CC 00041E52 _MiPfPutPagesInTransition@8
00041E58 00041F9C _MiPfCompletePrefetchIos@4
00041FA2 00041FE2 _MiObtainFreePages@0
00041FE8 000420A3 _MiDetachAndUnlockWorkingSet@8
000420A8 00042181 _MiDetermineWsTrimAmount@8
00042186 00042436 _MiAgeAndEstimateAvailableInWorkingSet@20
0004243C 0004250F _MiAdjustClaimParameters@4
00042514 00042690 _MiRearrangeWorkingSetExpansionList@0
00042696 000426E6 _MmEmptyAllWorkingSets@0
000426EC 0004285E _MmTrimAllSystemPagableMemory@4
00042864 000429D9 _MiAttachAndLockWorkingSet@8
000429DE 00042A65 _MiCheckSystemTrimEndCriteria@8
00042A6A 00042BCE _MiAgePagesAndEstimateClaims@4
00042BD4 00042CD4 _MiCheckAndSetSystemTrimCriteria@4
00042CDA 00042EED _MmWorkingSetManager@0
00042EF2 00042F91 _MiDecrementSubsections@8
00042F96 00043218 _MiRemoveMappedView@8
0004321E 000434CC _MiPurgeImageSection@8
000434D2 000435F2 _MiProcessValidPteList@8
000435F8 00043628 _MiDeleteFreeVm@8
0004362E 00043A40 _MiDecommitPages@16
00043A46 00043A5A _KeReadTbFlushTimeStamp@0
00043A60 0004406A _MmCheckCachedPageState@8
00044070 000440A6 _MiMapCacheExceptionFilter@8
000440AC 00044149 _MmUnlockCachedPage@4
0004414E 0004456F _MmUnmapViewInSystemCache@12
00044576 000449CC _MiRemoveMappedPtes@16
000449D2 00045648 _MmCopyToCachedPage@20
0004564E 0004580D _MmMapViewInSystemCache@16
00045812 00045870 @MiGetProtoPteAddressExtended@8
00045876 000458E7 @MiLocateSubsection@8
000458EC 0004595E _MiAppendSubsectionChain@8
00045964 00045BB4 _MmZeroPageThread@0
00045BBA 00045BE6 _MiSessionLeader@4
00045BEC 00045C0D _MiIncrementSessionCount@0
00045C12 00045C44 _MiAttachSession@4
00045C4A 00045C77 _MiDetachSession@0
00045C7C 00045CD4 _MiSessionDeletePde@12
00045CDA 00045D1C _MiUnlinkSessionList@4
00045D22 00045E20 _MiReleaseProcessReferenceToSessionDataPage@4
00045E26 00046148 _MiSessionCommitPageTables@8
0004614E 000461A6 _MiSessionOutSwapProcess@4
000461AC 000461FA _MiSessionInSwapProcess@4
00046200 00046226 _MmGetSessionId@4
0004622C 000462D1 _MmGetNextSession@4
000462D6 00046358 _MmAttachSession@8
0004635E 000463BF _MmDetachSession@8
000463C4 00046444 _MmGetSessionById@4
0004644A 000464A9 _MiAttachToSecureProcessInSession@4
000464AE 0004652F _MiSessionAddProcess@4
00046534 00046765 _MiSessionCommitImagePages@8
0004676A 000467B9 _MiSessionRemoveProcess@0
000467BE 0004680A _MiIsAddressRangeValid@8
00046810 000468B3 _MiRemoveFreePoolMemoryFromDump@4
000468B8 00046984 _MiIsPhysicalMemoryAddress@12
0004698A 000469DC _MiAddPagesWithNoMappings@4
000469E2 00046A6A _MiAddActivePageDirectories@4
00046A70 00046BFC _MiAddRangeToCrashDump@12
00046C02 00046C33 _MmGetKernelDumpRange@4
00046C38 00046C4A _MmSizeOfUnloadedDriverInformation@0
00046C50 00046D0A _MmWriteUnloadedDriverInformation@4
00046D10 00046D14 _MmSizeOfTriageInformation@0
00046D1A 00046DA1 _MmWriteTriageInformation@4
00046DA6 00046E17 _MiProtectFreeNonPagedPool@8
00046E1C 00046EEA _MiTrimSegmentCache@0
00046EF0 00046F28 _MmDeterminePoolType@4
00046F2E 00046F6D _MiSessionPoolAllocated@12
00046F72 00046FB3 _MiSessionPoolFreed@12
00046FB8 000470C5 _MiInitializeAndChargePfn@16
000470CA 00047125 _MiSessionPageTableRelease@4
0004712A 0004714D _MmIsSessionAddress@4
00047152 000471FA _MiUnProtectFreeNonPagedPool@8
00047200 0004728D _MiProtectedPoolInsertList@12
00047292 000472FC _MiProtectedPoolRemoveEntryList@4
00047302 000474B3 _MmResourcesAvailable@12
000474B8 000475F3 _MiFreeNonPagedPool@8
000475F8 000476E2 _MiFreeAllExpansionNonPagedPool@4
000476E8 00047788 @MiChargeCommitmentCantExpand@8
0004778E 000477CE @MiChargeTemporaryCommitmentForReduction@4
000477D4 00047833 _MiCauseOverCommitPopup@0
00047838 000478E7 _MmRaisePoolQuota@12
000478EC 0004790C _MmReturnPoolQuota@8
00047912 00047AA6 @MiChargeCommitment@8
00047AAC 00047B20 _MiRecoverSpecialPtes@4
00047B26 00047B50 _MmQuerySpecialPoolBlockSize@4
00047B56 00047B79 _MmIsSpecialPoolAddress@4
00047B7E 00047BC1 _MmIsSpecialPoolAddressFree@4
00047BC6 00047BFE _MiIsSpecialPoolAddressNonPaged@4
00047C04 00047C45 _MiCheckSingleFilter@8
00047C4A 00047C92 _MmUseSpecialPool@8
00047C98 00047CB3 _MmProtectSpecialPool@8
00047CB8 00047CD2 _MmAllocateSpecialPool@16
00047CD8 00047D21 _MiIssueNoPtesBugcheck@8
00047D28 00047D3A _MiIncrementSystemPtes@4
00047D40 00047DDA _MiGetSystemPteAvailability@8
00047DE0 00047F00 _MiCheckPteReserve@8
00047F06 000480D2 _MiCheckPteRelease@8
000480D8 00048197 _MiReleaseSplitSystemPtes@12
0004819C 000481E4 _MiAddSystemPtes@12
000481EA 00048277 _MiDbgWriteCheck@12
0004827C 000482B5 _MiDbgReleaseAddress@8
000482BA 000482DA _MiDbgUnTranslatePhysicalAddress@0
000482E0 0004844C _MiDbgTranslatePhysicalAddress@12
00048452 0004885F _MmDbgCopyMemory@20
00048864 00048915 _MmDbgIsLowMemOk@12
0004891A 000489BC _MmSetExecuteOptions@4
000489C2 00049BE0 _MmAccessFault@16
00049BE6 00049C11 _MiCheckForConflictingVadExistence@12
00049C16 00049E60 _MiInsertVad@4
00049E66 00049F4E _MiRemoveVad@4
00049F54 00049F8F @MiLocateAddress@4
00049F94 0004A0A2 _MiFindEmptyAddressRange@16
0004A0A8 0004A121 _MmCheckForSafeExecution@16
0004A126 0004A174 _MiCaptureWriteWatchDirtyBit@8
0004A17A 0004A65D _NtGetWriteWatch@28
0004A662 0004A932 _NtResetWriteWatch@12
0004A938 0004A9EF _MiFlushTbAndCapture@16
0004A9F4 0004AA9D _MiSetProtectionOnTransitionPte@8
0004AAA2 0004AADD _MiCaptureSystemPte@8
0004AAE2 0004ABF3 @MiInsertStandbyListAtFront@4
0004ABF8 0004AD79 @MiUnlinkPageFromList@4
0004AE18 0004B0DB @MiEnsureAvailablePageOrWait@8
0004B0E2 0004B10F @MiLogPfnInformation@8
0004B114 0004B3C5 @MiInsertPageInList@8
0004B3CA 0004B50C @MiRemovePageFromList@4
0004B512 0004B67C _MiUnlinkFreeOrZeroedPage@4
0004B682 0004B7C7 @MiRemovePageByColor@8
0004B7CC 0004B845 _MiPurgeTransitionList@0
0004B84A 0004B9F1 @MiInsertPageInFreeList@4
0004B9F6 0004BB51 @MiRemoveZeroPage@4
0004BB56 0004BC42 @MiRemoveAnyPage@4
0004BC48 0004BCCA _MiAllocatePfn@8
0004BCD0 0004BD8C @MiDecrementReferenceCount@4
0004BD92 0004BF34 @MiDecrementShareCount@4
0004BF3A 0004C14C @MiInsertWsleHash@12
0004C152 0004C242 _MiFillWsleHash@4
0004C248 0004C314 @MiLocateWsle@12
0004C31A 0004C3E9 @MiRemoveWsle@8
0004C3EE 0004C442 _MiRepointWsleHashIndex@12
0004C448 0004C4B8 _MiRemoveWsleFromFreeList@12
0004C4BE 0004C690 _MiSwapWslEntries@16
0004C696 0004C6C9 _MiMustFrameBeCached@4
0004C6CE 0004C769 _MiRecoverExtraPtes@0
0004C76E 0004C7D7 @MiDetermineUserGlobalPteMask@4
0004C7DC 0004C841 @MiUpdateModifiedWriterMdls@4
0004C846 0004C8A3 _MiFlushPteList@16
0004C8A8 0004C92A @MiReleasePageFileSpace@8
0004C930 0004C98D @MiReleaseConfirmedPageFileSpace@8
0004C992 0004CE3E _MiDeletePte@24
0004CE44 0004D13C _MiDeleteVirtualAddresses@16
0004D142 0004D360 @MiCopyOnWrite@8
0004D366 0004D3CE _MiSetDirtyBit@12
0004D3D4 0004D564 _MiFreeLowMemory@8
0004D56A 0004D766 _MiAllocateLowMemory@28
0004D76C 0004D8FC @MiRemoveNode@8
0004D902 0004D91C @MiLocateAddressInTree@8
0004D922 0004DA2E _MiFindEmptyAddressRangeDownBasedTree@20
0004DA34 0004DADC _MiMapPageInHyperSpace@12
0004DAE2 0004DB84 _MiMapPageInHyperSpaceAtDpc@8
0004DB8A 0004DC37 _MiMapPageToZeroInHyperSpace@4
0004DC3C 0004DC78 _MiMarkControlAreaInSystemSpace@4
0004DC7E 0004DD62 _MiDoCopyMemory@16
0004DD68 0004DE23 _MiPaeFree@4
0004DE28 0004E094 _MiPaeAllocatePages@0
0004E09A 0004E24F _MiPaeAllocate@4
0004E254 0004E300 _MiWaitForForkToComplete@8
0004E306 0004E339 _MiUpPfnReferenceCount@8
0004E33E 0004E377 _MiDownPfnReferenceCount@8
0004E37C 0004E3EF _MiUpControlAreaRefs@4
0004E3F4 0004E469 _MiDoneWithThisPageGetAnother@12
0004E46E 0004E5E5 _MiHandleForkTransitionPte@12
0004E5EA 0004E621 _MiDownShareCountFlushEntireTb@4
0004E626 0004E649 _MiUpForkPageShareCount@4
0004E64E 0004E70E _MiBuildForkPageTable@24
0004E714 0004E780 _MiRetrievePageDirectoryFrames@8
0004E786 0004E957 _MiDecrementCloneBlockReference@12
0004E95C 0004EB1A _MiAccessCheck@20
0004EB20 0004EC23 @MiCheckForUserStackOverflow@4
0004EC28 0004EC30 _MmMemoryUsage@16
0004EC36 0004F06A @MiIdentifyPfn@8
0004F070 0004F199 _MmIdentifyPhysicalMemory@0
0004F19E 0004F1D5 _ObpGetObjectRefInfo@4
0004F1DA 0004F26A _ObpGetTraceIndex@4
0004F270 0004F2A1 _ObpIsObjectTraced@4
0004F2A6 0004F326 _ObpDeregisterObject@4
0004F358 0004F41D _ObpPushStackInfo@8
0004F422 0004F46A _ObReferenceObjectByPointer@16
0004F470 0004F4A9 _ObpDeferObjectDeletion@4
0004F4AE 0004F4CD @ObfReferenceObject@4
0004F4D2 0004F4DE @ObReferenceObjectEx@8
0004F4E4 0004F500 @ObDereferenceObjectEx@8
0004F506 0004F53B _ObDereferenceObjectDeferDelete@4
0004F574 0004F63B _ObpRegisterObject@4
0004F640 0004F678 @ObReferenceObjectSafe@4
0004F67E 0004F6DA @ObfDereferenceObject@4
0004F6E0 0004F6F1 _ObDereferenceObject@4
0004F6F6 0004F752 _ObpIsUnsecureName@8
0004F758 0004F913 _NtSignalAndWaitForSingleObject@16
0004F918 0004F91E _ObGetSecurityMode@0
0004F924 0004F96C _ObIsDosDeviceLocallyMapped@8
0004F972 0004F989 _PopPassivePowerCall@4
0004F98E 0004F9B7 _PopFindIrpByInrush@0
0004F9BC 0004F9F7 _PopFindIrpByDeviceObject@8
0004F9FC 0004FA9F _PopCompleteRequestIrp@12
0004FAA4 0004FB89 _PopPresentIrp@8
0004FB8E 0004FE7B _PoStartNextPowerIrp@4
0004FE80 00050056 _PoCallDriver@8
0005005C 00050191 _PoRequestPowerIrp@24
00050196 00050241 _PoCancelDeviceNotify@4
00050246 0005032D _PopEnterNotification@28
00050332 000504A1 _PopBuildPowerChannel@12
000504A8 000505F1 _PopFindPowerDependencies@12
000505F6 00050667 _PopPresentNotify@12
0005066C 0005077A _PopRunDownSourceTargetList@4
00050780 00050833 _PoRegisterDeviceNotify@24
00050838 000508F0 _PopStateChangeNotify@8
000508F6 000509AD _PopScanIdleList@16
000509B4 00050A40 _PopGetDope@4
00050A46 00050B73 _PoRegisterDeviceForIdleDetection@16
00050B78 00050C47 _PopApplyAttributeState@8
00050C4C 00050C5F _PopSystemRequiredSet@4
00050C64 00050C82 _PopDisplayRequired@4
00050C88 00050CB5 _PoSetSystemState@4
00050CBA 00050D1E _PoRegisterSystemState@8
00050D24 00050D44 _PoUnregisterSystemState@4
00050D4A 00050DAF _PopUserPresentSet@4
00050DB4 00050DDE _HIBER_GET_TICK_COUNT@4
00050DE4 00050E20 _PopGetRangeCount@4
00050E26 00050E3C _PopResetRangeEnum@4
00050E42 00050EA1 _PopGetNextRange@16
00050EA6 00050F3E _PopSetRange@20
00050F44 00051018 _PoSetPowerState@12
0005101E 00051050 _PopLockGetDoDevicePowerState@4
00051056 00051086 _PopResetActionDefaults@0
0005108C 00051138 _PopActionRetrieveInitialState@16
0005113E 00051179 _PoNotifySystemTimeSet@0
0005117E 0005130C @PopInternalAddToDumpFile@24
00051312 00051323 @_PopInternalError@4
0005132A 00051335 _PoSimpleCheck@12
0005133A 000513DB _PopReadShutdownPolicy@0
000513E0 000514B0 _PopIdleVerifyIdleHandlers@8
000514B6 00051510 _PopConvertUsToPerfCount@4
00051516 0005153E @PopDemoteIdleness@8
00051544 00051575 @PopPromoteIdleness@8
0005157A 000516DB _PopIdleUpdateIdleHandler@12
000516E0 000517B7 @PopProcessorIdle@4
000517BC 00051849 _PopPromoteFromIdle0@8
0005184E 0005189F @PopIdle0@4
000518A4 000519F9 _PopProcessorInformation@12
000519FE 00051AAF _PopIdleSwitchIdleHandler@8
00051AB4 00051B7B _PopIdleSwitchIdleHandlers@8
00051B80 00051C7C _PopIdleUpdateIdleHandlers@0
00051C82 00051D09 _PopVerifyProcessorPowerPolicy@12
00051D0E 00051D3F _PopMapInternalActionToIrpAction@12
00051D44 00051EA5 _PopApplyProcessorPolicy@16
00051EAA 00051F23 _PopCaptureCounts@16
00051F28 00051FEB _PopCalculateBusyPercentage@4
00051FF0 000520A1 _PopCalculateC3Percentage@4
000520A6 000521B1 _PopRoundThrottle@20
000521B6 00052268 _PopSetThrottle@20
0005226E 0005240A _PopUpdateProcessorThrottle@0
00052410 000525A2 _PopPerfIdle@8
000525A8 000525C1 _PopPerfIdleDpc@16
000525C6 0005262A _PopSetPerfFlagAndUpdateThrottle@12
00052630 00052A5E _PopSetPerfLevels@4
00052A64 00052AAF _PopUpdateAllThrottles@4
00052AB4 00052AE5 _PopPerfHandleInrush@4
00052AEA 00052BB6 _PopLogNotifyDevice@12
00052BBC 00052BE7 _PopGetPolicyWorker@4
00052BEC 00052C76 _PopCompletePolicyIrp@12
00052C7C 00052D7F _PopPolicyWorkerThread@4
00052D84 00052E82 _PopEventCalloutDispatch@8
00052E88 00052EAF _PopSetNotificationWork@4
00052EB4 00052F5B _PopCheckForWork@4
00052F70 000530BA _tcpxsum@12
00053142 00053248 _PopCompositeBatteryUpdateThrottleLimit@8
0005324E 0005326D _PopBattWakeDpc@16
00053272 000532A7 _PopIgnoreBatteryStatusChange@0
000532AC 000532DA _PopQueueBatteryStatusTimeout@0
000532E0 0005332C _PopThermalZoneCleanup@12
00053332 0005336D _PopThermalZoneDpc@16
00053372 00053533 _PopApplyThermalThrottle@0
00053538 000536DF _PopThermalUpdateThrottle@12
000536E4 0005374D _PsWatchWorkingSet@12
00053752 000537CD _PspReleaseReturnedQuota@4
000537D2 00053877 _PspExpandQuota@20
0005387C 000538B9 _PspGivebackQuota@8
000538BE 000539C6 _PsReturnPoolQuota@12
000539CC 00053AAC _PsReturnProcessNonPagedPoolQuota@8
00053AB2 00053B94 _PsReturnProcessPagedPoolQuota@8
00053B9A 00053C11 _PsReturnProcessPageFileQuota@8
00053C16 00053C57 _PspInsertQuotaBlock@4
00053C5C 00053CCC _PspDereferenceQuotaBlock@4
00053CD2 00053DB9 _PsChargeProcessPoolQuota@12
00053DBE 00053E80 _PsChargeProcessNonPagedPoolQuota@8
00053E86 00053F4B _PsChargeProcessPagedPoolQuota@8
00053F50 00053FE2 _PsChargeProcessPageFileQuota@8
00053FE8 00054009 _PsChargePoolQuota@12
0005400E 0005401B _PsGetCurrentProcessId@0
00054020 0005402D _PsGetCurrentThreadId@0
00054032 00054098 _PsGetVersion@16
0005409E 000540AD _PsGetJobLock@4
000540B2 000540C4 _PsGetJobSessionId@4
000540CA 000540DC _PsGetJobUIRestrictionsClass@4
000540E2 000540F4 _PsGetProcessCreateTimeQuadPart@4
000540FA 0005410C _PsGetProcessDebugPort@4
00054112 00054124 _PsGetProcessExitStatus@4
0005412A 0005413C _PsGetProcessId@4
00054142 00054153 _PsGetProcessImageFileName@4
00054158 0005416A _PsGetProcessInheritedFromUniqueProcessId@4
00054170 00054182 _PsGetProcessJob@4
00054188 00054193 _PsGetProcessSessionId@4
00054198 000541AA _PsGetProcessSectionBaseAddress@4
000541B0 000541C2 _PsGetProcessPeb@4
000541C8 000541DA _PsGetProcessPriorityClass@4
000541E0 000541F2 _PsGetProcessWin32WindowStation@4
000541F8 0005420A _PsGetProcessWin32Process@4
00054210 00054222 _PsGetThreadId@4
00054228 0005423A _PsGetThreadFreezeCount@4
00054240 00054259 _PsGetThreadHardErrorsAreDisabled@4
0005425E 00054270 _PsGetThreadProcessId@4
00054276 00054285 _PsGetThreadTeb@4
0005428A 000542A1 _PsIsSystemThread@4
000542A6 000542CC _PsSetThreadHardErrorsAreDisabled@8
000542D2 000542DC _PsGetCurrentProcess@0
000542E2 000542F1 _PsGetCurrentProcessSessionId@0
000542F6 000542FD _PsGetCurrentThread@0
00054302 0005430F _PsGetCurrentThreadStackBase@0
00054314 0005431E _PsGetCurrentThreadStackLimit@0
00054324 00054331 _PsGetCurrentThreadPreviousMode@0
00054336 000543C0 _PspReaper@4
000543C6 000543DA _PsIsThreadTerminating@4
000543E0 000543EF _PspJobTimeLimitsDpcRoutine@16
000543F4 00054443 _RawCompletionRoutine@12
00054448 000544D6 _RawVerifyVolume@8
000544DC 000545C9 _RawCheckForDismount@8
000545D4 000545D6 _DbgUserBreakPoint@0
000545D8 000545DC _DbgBreakPointWithStatus@4
000545DC 000545E0 _RtlpBreakWithStatusInstruction@0
000545E6 00054707 _vDbgPrintExWithPrefix@20
0005470C 00054775 _DbgPrintReturnControlC
0005477A 000547BB _DbgPrompt@12
000547C0 00054806 _DbgLoadImageSymbols@12
0005480C 0005483A _DbgUnLoadImageSymbols@12
00054840 0005484B _DbgQueryDebugFilterState@8
00054850 0005485B _DbgSetDebugFilterState@12
00054862 0005487E _DbgPrint
00054884 000548A2 _DbgPrintEx
000548A8 000548C7 _vDbgPrintEx@16
000548CC 000548D5 _READ_REGISTER_UCHAR@4
000548D8 000548E2 _READ_REGISTER_USHORT@4
000548E4 000548ED _READ_REGISTER_ULONG@4
000548F0 00054909 _READ_REGISTER_BUFFER_UCHAR@12
0005490C 00054926 _READ_REGISTER_BUFFER_USHORT@12
00054928 00054941 _READ_REGISTER_BUFFER_ULONG@12
00054944 00054956 _WRITE_REGISTER_UCHAR@8
00054958 0005496B _WRITE_REGISTER_USHORT@8
0005496C 0005497E _WRITE_REGISTER_ULONG@8
00054980 0005499E _WRITE_REGISTER_BUFFER_UCHAR@12
000549A0 000549BF _WRITE_REGISTER_BUFFER_USHORT@12
000549C0 000549DE _WRITE_REGISTER_BUFFER_ULONG@12
000549E4 00054A44 _RtlCopyUnicodeString@8
00054A4A 00054ABD _RtlAppendUnicodeToString@8
00054AC2 00054B2A _RtlAppendUnicodeStringToString@8
00054B30 00054B92 _RtlValidateUnicodeString@8
00054B98 00054BDD _RtlCopyString@8
00054BE2 00054C57 _RtlEqualString@12
00054C5C 00054CE1 _RtlMapSecurityErrorToNtStatus@4
00054D48 00054D6A _RtlClearBit@8
00054D70 00054D90 _RtlSetBit@8
00054D96 00054DB9 _RtlTestBit@8
00054DBE 00054DEA _RtlClearAllBits@4
00054DF0 00054E12 _RtlSetAllBits@4
00054E18 00055074 _RtlFindClearBits@12
0005507A 00055326 _RtlFindSetBits@12
0005532C 000553AB _RtlClearBits@12
000553B0 0005542E _RtlSetBits@12
00055434 00055676 _RtlFindClearRuns@16
0005567C 000556AE _RtlFindLongestRunClear@8
000556B4 000556FF _RtlNumberOfClearBits@4
00055704 00055756 _RtlNumberOfSetBits@4
0005575C 000557DA _RtlAreBitsClear@12
000557E0 00055867 _RtlAreBitsSet@12
0005586C 00055961 _RtlFindNextForwardRunClear@12
00055966 00055A31 _RtlFindLastBackwardRunClear@12
00055A36 00055ADC _RtlFindMostSignificantBit@8
00055AE2 00055B86 _RtlFindLeastSignificantBit@8
00055B8C 00055BBA _RtlFindClearBitsAndSet@12
00055BC0 00055BEE _RtlFindSetBitsAndClear@12
00055BF4 00055C0A _RtlFindFirstRunClear@8
00055CEA 00055E13 _RtlAssert2@20
00055E18 00055E34 _RtlAssert@16
00055E3A 00055F66 _RtlWalkFrameChain@12
00055F6C 00055FF7 _RtlCaptureStackBackTrace@16
00055FFC 00056025 _RtlpSysVolSystemSid@4
0005602A 00056113 _RtlpSysVolTakeOwnership@4
00056118 0005627E _RtlSplay@4
00056284 000562A2 _RtlSubtreeSuccessor@4
000562A8 000562C6 _RtlSubtreePredecessor@4
000562CC 00056304 _RtlRealSuccessor@4
0005630A 00056342 _RtlRealPredecessor@4
00056348 00056429 _SwapSplayLinks@8
0005642E 000564A6 _RtlDelete@4
000564AC 00056527 _RtlDeleteNoSplay@8
0005652C 00056565 _RtlInitializeGenericTable@20
0005656A 00056616 _RtlInsertElementGenericTableFull@24
0005661C 0005662F _RtlIsGenericTableEmpty@4
00056634 000566B8 _RtlGetElementGenericTable@8
000566BE 000566CD _RtlNumberGenericTableElements@4
000566D2 0005670F _RtlEnumerateGenericTableWithoutSplaying@8
00056766 00056793 _RtlInsertElementGenericTable@16
00056798 000567EB _RtlDeleteElementGenericTable@8
000567F0 0005682C _RtlLookupElementGenericTableFull@16
00056832 0005687C _RtlEnumerateGenericTable@8
00056882 0005689E _RtlLookupElementGenericTable@8
000568A4 000568EC _PromoteNode@4
000568F2 0005698A _RebalanceNode@4
00056990 00056A82 _DeleteNodeFromTree@8
00056A88 00056ABC _RealPredecessor@4
00056AC2 00056AF3 _RtlInitializeGenericTableAvl@20
00056AF8 00056BD1 _RtlInsertElementGenericTableFullAvl@24
00056BD6 00056BEA _RtlIsGenericTableEmptyAvl@4
00056BF0 00056CC0 _RtlGetElementGenericTableAvl@8
00056CC6 00056CD5 _RtlNumberGenericTableElementsAvl@4
00056CDA 00056D20 _RtlEnumerateGenericTableWithoutSplayingAvl@8
00056D26 00056D7A _FindNodeOrParent@12
00056D80 00056DAE _RtlInsertElementGenericTableAvl@16
00056DB4 00056E07 _RtlDeleteElementGenericTableAvl@8
00056E0C 00056E39 _RtlLookupElementGenericTableFullAvl@16
00056E3E 00056E5E _RtlEnumerateGenericTableAvl@8
00056E64 00056F2E _RtlEnumerateGenericTableLikeADirectory@28
00056F34 00056F50 _RtlLookupElementGenericTableAvl@8
00056F58 00056FF3 _RtlGetCallersAddress@8
00057000 000570CF _RtlpVerCompare@20
000570D4 00057100 _RtlpVerGetConditionMask@12
00057106 0005713F _VerSetConditionMask@16
00057144 00057500 _RtlVerifyVersionInfo@16
00057506 0005754B _RtlImageNtHeader@4
00057550 0005758E _RtlSectionTableFromVirtualAddress@12
00057594 000575C1 _RtlAddressInSectionTable@12
000575C6 00057625 _RtlpImageDirectoryEntryToData32@20
0005762A 00057692 _RtlpImageDirectoryEntryToData64@20
00057698 000576F4 _RtlImageDirectoryEntryToData@16
000576FC 00057734 _RtlInitString@8
00057734 0005776C _RtlInitAnsiString@8
0005776C 000577A8 _RtlInitUnicodeString@8
000577FE 000579CF _RtlIpv6AddressToStringA@8
000579E6 00057AB0 _RtlIpv6AddressToStringExA@20
00057AC2 00057AF8 _RtlIpv4AddressToStringA@8
00057B02 00057B99 _RtlIpv4AddressToStringExA@16
00057C2A 00057DFE _RtlIpv6AddressToStringW@8
00057E1E 00057EED _RtlIpv6AddressToStringExW@20
00057F0C 00057F45 _RtlIpv4AddressToStringW@8
00057F54 00057FE3 _RtlIpv4AddressToStringExW@16
00057FE8 00058303 _RtlIpv6StringToAddressA@12
00058308 00058540 _RtlIpv6StringToAddressExA@16
00058546 0005874E _RtlIpv4StringToAddressA@16
00058754 000588E8 _RtlIpv4StringToAddressExA@16
000588EE 00058BE7 _RtlIpv6StringToAddressW@12
00058BEC 00058E4A _RtlIpv6StringToAddressExW@16
00058E50 00059058 _RtlIpv4StringToAddressW@16
0005905E 000591D6 _RtlIpv4StringToAddressExW@16
000591DC 00059257 _RtlLargeIntegerDivide@20
0005925C 0005933B _RtlNtStatusToDosErrorNoTeb@4
000593FE 00059444 _RtlRandomEx@4
0005944A 000594BF _ElapsedDaysToYears@4
0005951A 00059555 _DaysAndFractionToTime@12
