000068F0 0000691A _MapPredefinedHandle@8
00023F57 00023FC9 ?ScCreateDispatchTableW@@YGKPBU_SERVICE_TABLE_ENTRYW@@PAPAU_INTERNAL_DISPATCH_ENTRY@@@Z
00023FCE 000240F1 ?ScConnectServiceController@@YGKPAPAX@Z
0002415F 00024165 __itow
0002418D 00024432 _LocalConvertStringSidToSid@12
00024437 0002449E _ConvertStringSidToSidW@8
000244E6 0002457E _L32FindLogonSid@4
00024583 000245B1 _LogonUserExW@40
000245B6 0002475D _LogonUserCommonW@44
00024762 00024926 _L32pLogonUser@48
00024946 0002494C _LsaLogonUser@56
000249DD 00024A15 _ControlService@12
00024A29 00024A4B _RControlService@12
00024A81 00024AF0 ?ScConvertToUnicode@@YGHPAPAGPBD@Z
00024B75 00024B92 _SystemFunction030@8
00024B97 00024B9F _SystemFunction027@12
00024BA4 00024BF7 _SystemFunction025@12
00024BFC 00024C31 _KeysFromIndex@8
00024C36 00024C76 _OpenServiceA@12
00024C89 00024CAB _ROpenServiceA@16
00024CB0 00024D11 _RegFlushKey@4
00024D16 00024D49 _LocalBaseRegFlushKey@4
00024D4E 00024DBD ?SetErrorChecks@@YGKW4_SE_OBJECT_TYPE@@KPAX1PAU_ACL@@21@Z
00024DC2 00024E13 _SetSecurityInfo@28
00024E18 00024E59 _GetSecurityInfo@32
00024E5E 00024E84 _SetSecurityDescriptorSacl@16
00024E96 00024ECD _RegisterServiceCtrlHandlerA@8
00024EFB 00024F4F _I_ScSendTSMessage@16
00024F61 00024F83 _RI_ScSendTSMessage@20
0002516D 00025279 _CreateWellKnownSid@16
0002527E 000252F5 _SystemFunction007@8
000252FA 00025330 _UseOutsideStringToKey@20
00025335 00025352 _CheckForOutsideStringToKey@0
00025357 000253E1 _SystemFunction006@8
000253E6 00025430 _SystemFunction003@8
0002548D 000254A9 _CloseEventLog@4
000254AE 000254D6 _ElfCloseEventLog@4
000254E9 0002550B _ElfrCloseEL@4
00025510 00025518 _SystemFunction009@12
0002551D 000255BA _SystemFunction008@12
000255BF 000255C7 _SystemFunction011@12
000255CC 00025615 _SystemFunction010@12
0002561A 00025658 _WmipGetGuidInCookie@8
0002565D 000256A8 _WmipLookupCookie@16
000256AD 0002578D _UnregisterTraceGuids@8
000257A1 00025810 _WmiUnregisterGuids@12
00025815 0002585C _WmipFreeCookie@4
00025861 000258C1 _WmipFindCookie@12
0002591E 0002595C ?ScRemoveDispatchEntry@@YGKPAUSC_HANDLE__@@PAPAX1@Z
00025A20 00025A57 _WmipMarkPendingCloseNotifyee@4
00025ADA 00025B00 _EnumTableUpdateRootState@16
00025B05 00025BD7 _EnumStateCopy@8
00025BEA 00025C10 _EnumTableGetRootState@8
00025C6C 00025C9D _ReadEventLogA@28
00025CA7 00025D15 _ElfReadEventLogA@28
00025D29 00025D4B _ElfrReadELA@28
00025D50 00025D56 __stricmp
00025D5B 00025D7A _GetNumberOfEventLogRecords@8
00025D7F 00025DB3 _ElfNumberOfRecords@8
00025DC9 00025DEB _ElfrNumberOfRecords@8
00025DF0 00025E0F _GetOldestEventLogRecord@8
00025E14 00025E48 _ElfOldestRecord@8
00025E59 00025E7B _ElfrOldestRecord@8
00025E80 00025EC2 _OpenEventLogA@8
00025EC7 00025F6A _ElfOpenEventLogA@12
00025F89 00025FAB _ElfrOpenELA@24
00026083 000260F5 _CodeAuthzpSidInWildcardList@20
000260FA 00026184 _CodeAuthzpCompareWildcardSidWithSid@8
00026189 00026438 ___CodeAuthzpCompareCodeAuthzLevelWithToken@12
0002643D 000265E5 _CodeAuthzpInvertAndAddSids@32
000265EA 000266BA _CodeAuthzpSidInSidAndAttributes@24
000266BF 0002688E _CodeAuthzpExpandWildcardList@24
00026893 00026979 _SaferiCompareTokenLevels@12
0002697E 000269CA _OpenSCManagerA@12
000269E1 00026A03 _ROpenSCManagerA@16
00026A08 00026A3E _SVCCTL_HANDLEA_bind@4
00026ACF 00026B12 _LocalOpenCurrentConfig@12
00026B17 00026B98 _EnumServicesStatusA@32
00026BA9 00026BCB _REnumServicesStatusA@32
00026BD0 00026BF0 ?ScConvertOffsetsW@@YGXPAU_ENUM_SERVICE_STATUSW@@K@Z
00026CC1 00026D6B _BaseRegMapClassRegistrationKey@28
00026D70 00026E6B _BaseRegOpenClassKeyRoot@16
00026E70 00026EA9 _I_ScPnPGetServiceName@12
00026EAE 00026EF0 _CredUnmarshalCredentialW@12
00026F3B 00026F5D _RQueryServiceConfigW@16
00026F62 00026FDF _QueryServiceConfigW@16
00026FE4 0002702F _SystemFunction040@12
0002787B 0002791C _IsWellKnownSid@8
00027921 0002797D _EVENTLOG_HANDLE_W_bind@4
000279A3 000279BF _DeregisterEventSource@4
000279C4 000279EC _ElfDeregisterEventSource@4
00027A01 00027A23 _ElfrDeregisterEventSource@4
00027A35 00027A82 _EVENTLOG_HANDLE_A_bind@4
00027A87 00027ACD _EVENTLOG_HANDLE_A_unbind@8
00027B25 00027B2B _wcscmp
00027B30 00027B72 _RegisterEventSourceA@8
00027B77 00027BE5 _ElfRegisterEventSourceA@12
00027BF9 00027C1B _ElfrRegisterEventSourceA@24
00027C20 00027C33 _TmpGetComputerNameA@0
00027C38 00027C7D _InitAnsiString@8
00027C82 00027DA0 _ReportEventA@36
00027DA5 00027E0E _ElfReportEventA@48
00027E21 00027E43 _ElfrReportEventA@56
00027E48 00027E6E _GetAclInformation@16
00027E73 00027E9C _AddAce@20
00027EA1 00027EE2 _MakeAbsoluteSD@44
00027EE7 00027F04 _IsValidAcl@4
0002800C 0002804E _RegisterEventSourceW@8
00028053 000280BD _ElfRegisterEventSourceW@12
000280D1 000280F3 _ElfrRegisterEventSourceW@24
0002811F 00028145 _AddAccessDeniedAce@16
0002814A 0002818B _RegConnectRegistryW@12
00028190 000281DF _LocalOpenPredefHandle@8
000281E4 0002824B _w_GetComputerName@0
00028250 000282BE _ElfpGetComputerName@8
0002834B 0002835D _RegDisablePredefinedCache@0
00028362 00028395 _DisablePredefinedHandleTable@4
000283B3 000283E0 _WmiFreeBuffer@4
000283E5 00028455 _WmipClosePendingHandles@0
0002845A 00028632 _WmipEventPump@4
00028637 0002873A _WmipBuildReceiveNotification@20
000287C9 0002886E _WmipBuildGuidObjectAttributes@16
000288FC 00028A02 _WmipAddToGNList@20
00028A07 00028A54 _WmipAddHandleToEventPump@20
00028A59 00028AB3 _WmipEstablishEventPump@0
00028ADD 00028B1F _WmipCreateHeap@0
00028C7C 00028C9E _WmiNotificationRegistrationW@20
00028CA3 00028DA6 _WmipNotificationRegistration@32
00028DB9 00028E2E _WmipOpenKernelGuid@16
00028E33 00028EE2 _WmiOpenBlock@12
00028FC1 000290E0 _WmipRegisterGuids@28
000291BD 00029254 _WmipAllocateCookie@12
00029259 000294C3 _RegisterTraceGuidsW@32
000294C8 00029513 _WmipCopyStringToCountedUnicode@16
00029571 00029625 _RegisterTraceGuidsA@32
0002962A 00029656 _AnsiToUnicode@8
0002968D 000297BC _IsTSAppCompatEnabled@4
0002987B 000298C1 _SaferiIsExecutableFileType@8
000298C6 000298E7 _CodeAuthzIsExecutableFileType@12
000298EC 0002999F ___CodeAuthzIsExecutableFileTypeHelper@16
000299AD 000299D5 _SaferGetPolicyInformation@24
000299DA 00029A05 _CodeAuthzpGetInformationCodeAuthzPolicy@20
00029A0A 00029B3D _CodeAuthzPol_GetInfoRegistry_TransparentEnabled@16
00029B8F 00029D08 _RegEnumValueA@32
00029DC0 00029E69 _WmipRemoveFromGNList@8
00029E6E 00029EA9 _WmipDereferenceGNEntry@4
00029EA9 0002B148 _SHATransformP3@8
0002B14D 0002B19C _A_SHAInit@4
0002B1A1 0002B1F8 _A_SHAUpdate@12
0002B1FD 0002B2AF _A_SHAFinal@8
0002B2B4 0002B2DB _DWORDToBigEndian@12
0002B35E 0002B397 _EnterProviderCritSec@4
0002B3A9 0002B3BF _LeaveProviderCritSec@4
0002B3C4 0002B420 _CryptGenRandom@12
0002B431 0002B607 _RegOpenUserClassesRoot@16
0002B60C 0002B765 _InitSecurityAcls@4
0002B76A 0002B7E8 _LocalOpenClassesRoot@12
0002B7ED 0002B8AA _OpenCombinedClassesRoot@8
0002B8AF 0002B948 _LookupPrivilegeValueW@12
0002B94D 0002B98C _LsaLookupPrivilegeValue@12
0002B9A1 0002B9C3 _LsarLookupPrivilegeValue@12
0002BA25 0002BA48 _RegCreateKeyW@12
0002BA79 0002BA7F __wcsnicmp
0002BA84 0002BAB1 _PrivilegeCheck@12
0002BB5D 0002BC37 _RegQueryValueA@16
0002BC3C 0002BCBE _AccessCheckAndAuditAlarmW@44
0002BCC3 0002BD00 _RegCreateKeyA@12
0002BD05 0002BD23 _IsTextUnicode@12
0002BD4B 0002BD63 _AreAllAccessesGranted@8
0002BD83 0002BDE1 ?LoadUser32Funcs@@YGHXZ
0002BDE6 0002BF39 _CommandLineFromMsiDescriptor@12
0002BFD3 0002C094 _GetFileSecurityW@20
0002C099 0002C0BE _QuerySecurityAccessMask@8
0002C132 0002C158 _WmipCloseNotifyee@8
0002C15D 0002C203 _ConvertSidToStringSidA@8
0002C208 0002C294 _LookupPrivilegeValueA@12
0002C40B 0002C504 ??0CLoadMsi@@QAE@AAK@Z
0002C76E 0002C80C _RegSetValueA@20
0002C811 0002C86F _CryptVerifySignatureA@24
0002C881 0002C954 _SaferiSearchMatchingHashRules@24
0002C9B0 0002CA1E _LookupAceFlagsInTable@12
0002CA35 0002CAE6 _WmipQueryLogger@8
0002CAEB 0002CBBC _WmipSendUmLogRequest@8
0002CBC1 0002CCB8 _QueryAllTracesW@12
0002CCBD 0002CEFF _ControlTraceW@20
0002CF1D 0002CF3E _WmipInitString@12
0002CF43 0002CFCD _LsapCrEncryptValue@12
0002CFD2 0002D00A _LsapCrUnicodeToClearValue@8
0002D00F 0002D0C2 _LsaStorePrivateData@12
0002D0E5 0002D107 _LsarStorePrivateData@12
0002D24D 0002D265 _AreAnyAccessesGranted@8
0002D26A 0002D28A _DeleteAce@8
0002D322 0002D346 _ValStateGetPhysicalIndexFromLogical@20
0002D34B 0002D387 _BaseRegGetClassKeyValueState@12
0002D38C 0002D3A4 _ValStateSetPhysicalIndexFromLogical@8
0002D3A9 0002D3BD _KeyStateGetValueState@8
0002D3C2 0002D40B _ValStateInitialize@8
0002D410 0002D41E _PREGISTRY_SERVER_NAME_bind@4
0002D423 0002D426 _PREGISTRY_SERVER_NAME_unbind@8
0002D42B 0002D482 _AbortSystemShutdownW@4
0002D487 0002D4DD _BaseBindToMachineShutdownInterface@16
0002D50B 0002D57B _EndpointConn_np@12
0002D580 0002D5B1 _wRegConn_bind@8
0002D5B6 0002D5EE _NewAbortShutdownCallback@12
0002D601 0002D623 _BaseAbortShutdown@4
0002D71D 0002E274 _SHATransform@8
0002E274 0002EDB9 _SHATransformNS@8
0002EDC1 0002EE6B __alldiv
0002EEB1 0002EEE5 __allmul
0003C20B 0003C230 _NotifyChangeEventLog@8
0003C235 0003C34F _ClearEventLogW@8
0003C354 0003C45B _BackupEventLogW@8
0003C460 0003C58A _OpenBackupEventLogW@8
0003C58F 0003C61D _TestSid@12
0003C622 0003C679 _StringCheck@16
0003C67E 0003C7EE _CheckEventLogBuffer@16
0003C7F3 0003C842 _ReadEventLogW@28
0003C847 0003C8AB _ClearEventLogA@8
0003C8B0 0003C914 _BackupEventLogA@8
0003C919 0003C9C5 _OpenBackupEventLogA@8
0003C9CA 0003CA2C _UnicodeToMultiByte@8
0003CA31 0003CB1D _GetCurrentHwProfileA@4
0003CB31 0003CB9A _AccessCheckByTypeResultList@44
0003CB9F 0003CBCB _SetTokenInformation@16
0003CBD0 0003CC02 _AdjustTokenGroups@24
0003CC07 0003CCAD _AccessCheckByTypeAndAuditAlarmW@64
0003CCB2 0003CD5F _AccessCheckByTypeResultListAndAuditAlarmW@64
0003CD64 0003CE14 _AccessCheckByTypeResultListAndAuditAlarmByHandleW@68
0003CE19 0003CEFA _AccessCheckAndAuditAlarmA@44
0003CEFF 0003CFEF _AccessCheckByTypeAndAuditAlarmA@64
0003CFF4 0003D0E4 _AccessCheckByTypeResultListAndAuditAlarmA@64
0003D0E9 0003D1DC _AccessCheckByTypeResultListAndAuditAlarmByHandleA@68
0003D1E1 0003D223 _ObjectPrivilegeAuditAlarmW@24
0003D228 0003D261 _ObjectDeleteAuditAlarmW@12
0003D266 0003D2B4 _PrivilegedServiceAuditAlarmW@20
0003D2B9 0003D2D9 _EqualPrefixSid@8
0003D2DE 0003D30A _SetAclInformation@16
0003D30F 0003D352 _AddAccessDeniedAceEx@20
0003D357 0003D389 _AddAuditAccessAce@24
0003D38E 0003D3D7 _AddAuditAccessAceEx@28
0003D3DC 0003D425 _AddAccessAllowedObjectAce@28
0003D42A 0003D473 _AddAccessDeniedObjectAce@28
0003D478 0003D4C7 _AddAuditAccessObjectAce@36
0003D4CC 0003D4F7 _FindFirstFreeAce@8
0003D4FC 0003D53C _GetSecurityDescriptorSacl@16
0003D541 0003D573 _CreatePrivateObjectSecurity@24
0003D578 0003D5A9 _ConvertToAutoInheritPrivateObjectSecurity@24
0003D5AE 0003D5E9 _CreatePrivateObjectSecurityWithMultipleInheritance@36
0003D5EE 0003D61D _SetPrivateObjectSecurity@20
0003D622 0003D654 _SetPrivateObjectSecurityEx@24
0003D659 0003D688 _GetPrivateObjectSecurity@20
0003D68D 0003D6EE _SetFileSecurityA@12
0003D6F3 0003D75A _GetFileSecurityA@20
0003D75F 0003D8B7 _LookupAccountNameA@28
0003D8BC 0003DA36 _LookupAccountSidA@28
0003DA3B 0003DB3A _LookupPrivilegeNameW@16
0003DB3F 0003DC57 _LookupPrivilegeDisplayNameW@20
0003DC5C 0003DD80 _CreateRestrictedToken@36
0003DD85 0003DDAB _MakeAbsoluteSD2@8
0003DDB0 0003DDD0 _GetSecurityDescriptorRMControl@8
0003DDD5 0003DDEC _SetSecurityDescriptorRMControl@8
0003DDF1 0003DED4 _GetWindowsAccountDomainSid@12
0003DED9 0003E0A1 _EqualDomainSid@12
0003E0A6 0003E18A _ObjectOpenAuditAlarmA@48
0003E18F 0003E1E7 _ObjectPrivilegeAuditAlarmA@24
0003E1EC 0003E23B _ObjectCloseAuditAlarmA@12
0003E240 0003E28F _ObjectDeleteAuditAlarmA@12
0003E294 0003E319 _PrivilegedServiceAuditAlarmA@20
0003E31E 0003E437 _LookupPrivilegeNameA@16
0003E43C 0003E5B2 _LookupPrivilegeDisplayNameA@20
0003E5B7 0003E5FD _SnapShotWin31IniFileKey@20
0003E602 0003E676 _SnapShotWin31IniFileSection@16
0003E67B 0003E6EA _SnapShotWin31IniFileSections@12
0003E6EF 0003E7A9 _WaitForEventLogToStart@0
0003E7BA 0003E84B _ReportWin31IOEvent
0003E867 0003E88E _Win31IOExceptionHandler@12
0003E893 0003EC5B _ConvertWindows31GroupsToRegistry@28
0003EC87 0003EDE6 _SnapShotWin31GroupsToRegistry@4
0003EE89 0003F043 _SynchronizeWindows31FilesAndWindowsNTRegistry@16
0003F0A1 0003F1C5 _QueryNumberOfPersonalGroupNames@12
0003F2F5 0003F37C _NewPersonalGroupName@12
0003F381 0003F444 _DoesExistGroup@8
0003F449 0003F501 _SaveGroup@12
0003F506 0003F58B _DeleteGroup@8
0003F590 0003F5A9 _UnloadGroup@4
0003F5AE 0003F636 _ExtendGroup@12
0003F63B 0003F6D0 _AddDataToGroup@12
0003F6D5 0003F757 _AddTagToGroup@20
0003F75C 0003F937 _ConvertIconBits@4
0003F93C 0003F97C _CopyIconBits@16
0003F981 0003FE6A _CreateGroupFromGroup16@8
0003FE82 0003FE8E _UnloadRegistry16@4
0003FE93 0003FF69 _L32GetDefaultDomainName@4
0003FF6E 00040040 _L32pNotifyMpr@8
000400CD 000400F4 _LogonUserW@24
000400F9 000401F1 _L32SetProcessToken@20
000401F6 000402AA _L32RevertOpenProcess@12
000402AF 0004053E _L32CommonCreate@12
00040543 00040574 _SaferiReplaceProcessThreadTokens@12
00040579 000405BE _MarshallString@20
000405C3 000409E6 _CreateRemoteSessionProcessW@52
00040A75 00040A77 CreateProcessAsUserSecure
00040A77 00040A78 _CreateProcessAsUserSecure@0
00040A7D 00040AC0 _ConvertOemToCharW@8
00040AC5 00040B09 _OemToCharW_WithAllocation@8
00040B0E 00040C7B _CreateRemoteSessionProcessA@52
00040C80 00040EB1 _CreateProcessAsUserA@44
00040EB6 00040F9E _LogonUserCommonA@44
00040FA3 00040FCA _LogonUserA@24
00040FCF 00040FFD _LogonUserExA@40
00041002 0004106E _CryptContextAddRef@12
00041081 0004117B _CryptSetProvParam@16
00041191 000413CF _CryptEnumProviderTypesA@24
000413F1 000415B6 _CryptEnumProvidersA@24
000415C9 0004164C _MD5HashData@12
00041661 00041735 _NewVerifyImage@16
0004173A 00041787 _CProvVerifyImage@8
0004178C 000417C6 _CPReturnhWnd@4
000417D9 000418B1 _CryptGenKey@16
000418C9 000419CE _CryptDuplicateKey@16
000419E1 00041A9F _CryptSetKeyParam@16
00041AB1 00041B77 _CryptGetUserKey@12
00041B89 00041C75 _CryptExportKey@24
00041C89 00041DA0 _CryptDuplicateHash@16
00041DB1 00041E8B _CryptHashSessionKey@12
00041EA1 00041F4B _LocalSignHashW@24
00041F61 00041F6C _CryptSignHashW@24
00041F71 0004200E _CryptSignHashA@24
00042021 000420DF _CryptSetHashParam@16
000420F1 000422A2 _CryptSetProviderA@8
000422B9 0004265E _CryptSetProviderExA@16
00042671 0004291E _CryptGetDefaultProviderA@20
00042931 00042A81 _CryptEnumProviderTypesW@24
00042A99 00042BDA _CryptEnumProvidersW@24
00042BF1 00042C6F _CryptSetProviderW@8
00042C81 00042D05 _CryptSetProviderExW@16
00042D19 00042E54 _CryptGetDefaultProviderW@20
00042E69 00042ECD _LoadRegistry16@4
00042ED2 000431D7 _CreateRegistryClassesFromRegistry16@8
000431DC 00043295 _LoadAndInitFeClient@0
00043320 0004335A _EncryptFileW@4
0004335F 0004339D _DecryptFileW@8
000433A2 000433C9 _FileEncryptionStatusW@8
000433CE 000433FB _OpenEncryptedFileRawW@12
00043400 00043411 _ReadEncryptedFileRaw@12
00043416 00043427 _WriteEncryptedFileRaw@12
0004342C 0004343D _CloseEncryptedFileRaw@4
00043442 00043478 _QueryUsersOnEncryptedFile@8
0004347D 00043498 _FreeEncryptionCertificateHashList@4
0004349D 000434D3 _QueryRecoveryAgentsOnEncryptedFile@8
000434D8 0004350E _RemoveUsersFromEncryptedFile@8
00043513 00043549 _AddUsersToEncryptedFile@8
0004354E 00043575 _SetUserFileEncryptionKey@4
0004357A 000435B0 _DuplicateEncryptionInfoFile@20
000435B5 000435DC _EncryptionDisable@8
000435E1 00043617 _EncryptedFileKeyInfo@12
0004361C 00043637 _FreeEncryptedFileKeyInfo@4
0004363C 000436CC _EncryptFileA@4
000436D1 00043764 _DecryptFileA@8
00043769 000437FF _FileEncryptionStatusA@8
00043804 0004389D _OpenEncryptedFileRawA@12
000438A2 00043963 _LocalGetStringForControl@12
00043968 000439FC _LocalGetSDControlForString@16
00043A01 00043C7E _SddlpGetRootDomainSid@0
00043D65 00043DE9 _SddlpAnsiStringToUnicodeString@8
00043DEE 000441F2 _LookupSidInTable@28
000441F7 000442A6 _LocalGetStringForSid@12
000442AB 000448A7 _LocalConvertAclToString@24
000448B3 00044901 _ConvertStringSDToSDRootDomainW@20
00044906 00044959 _ConvertSDToStringSDRootDomainW@24
0004495E 000449D0 _ConvertStringSDToSDDomainW@24
000449D5 00044A67 _ConvertSecurityDescriptorToStringSecurityDescriptorW@20
00044A6C 00044AE5 _ConvertStringSDToSDRootDomainA@20
00044AEA 00044BC3 _ConvertSDToStringSDRootDomainA@24
00044BC8 00044C67 _ConvertStringSDToSDDomainA@24
00044C6C 00044CDC _ConvertStringSidToSidA@8
00044CE1 00044D57 _ConvertStringSecurityDescriptorToSecurityDescriptorA@16
00044D5C 00044E25 _ConvertSecurityDescriptorToStringSecurityDescriptorA@20
00044E2A 00044EA0 _IsSystemLUID@0
00044EA5 000450D9 _GetCompatFlags@0
000451C3 000452A5 _GetRegistryExtensionFlags@4
0004537B 000454E7 _MSChapSrvInitializeChangePasswordFunctions@0
00045593 00045772 _MSChapSrvChangePassword@28
00045777 000457EA _MSChapSrvChangePassword2@28
000457EF 00045802 _SECL_HANDLE_from_xmit@8
00045807 0004580A _SECL_HANDLE_free_inst@4
0004580F 0004583B _SECL_HANDLE_to_xmit@8
00045840 00045855 _SECL_HANDLE_free_xmit@4
0004585A 0004589E _StringCopyWorkerW@12
000458A3 000458DC ?StringLengthWorkerW@@YGJPBGIPAI@Z
000458E1 0004596A ?To_SECL_BLOB_W@@YGKPAXPAU_SECL_BLOB@@@Z
0004596F 000459F2 ?To_SECL_BLOB_A@@YGKPAXPAU_SECL_BLOB@@@Z
000459F7 00045A88 ?StartInfo_To_SECL_STARTUPINFOW@@YGKPAU_STARTUPINFOW@@PAU_SECL_STARTUPINFOW@@@Z
00045A8D 00045B39 ?StartSeclogonService@@YGKXZ
00045B53 00045C6E ?SetupLocalRPCSecurity@@YGKPAX@Z
00045C73 00045C96 ?StringCchLengthW@@YGJPBGIPAI@Z
00045C9B 00045F59 ?c_SeclCreateProcessWithLogonW@@YGKPAU_SECL_SLIEX@@PAU_SECL_SLRI@@@Z
00045FD5 00046C0F _CreateProcessWithLogonW@44
00046D44 00046E3C ___report_gsfailure
00046E41 00046EDB _ItCliUnregisterIdleTask@12
00046EF1 00046F69 _ProcessIdleTasks@0
00046F81 00046F9A _UnregisterIdleTask@12
00046F9F 00046FC1 _ItSrvUnregisterIdleTask@8
00046FC6 00046FE8 _ItSrvProcessIdleTasks@4
00046FED 00047064 _EncryptMemoryInitialize@0
00047069 0004709E _SystemFunction012@12
000470A3 000470D8 _SystemFunction013@12
000470DD 000470E5 _SystemFunction014@12
000470EA 0004711B _SystemFunction016@12
00047120 00047151 _SystemFunction017@12
00047156 0004715E _SystemFunction018@12
00047163 0004716B _SystemFunction019@12
00047170 000471C3 _SystemFunction024@12
000471C8 000471D0 _SystemFunction026@12
000471D5 000471E0 _SystemFunction015@12
000471E5 00047235 _SystemFunction032@8
0004723A 0004728A _DeInitRand@8
0004728F 000472CE _rc4_safe_shutdown@4
000472D3 00047336 _CredpEncodeCredential@4
0004733B 00047371 _CredpDecodeCredential@4
00047376 000473F4 _CredpConvertStringSize@8
000473F9 000474C4 _CredpConvertString@16
000474C9 00047569 _CredpConvertOneCredentialSize@8
0004756E 00047803 _CredpConvertOneCredential@16
00047808 00047897 _CredpConvertCredential@16
000478A9 00047AA3 _CredpConvertTargetInfo@16
00047AB9 00047BC2 _CredpConvertCredentials@20
00047BD9 00047C80 _CredpAllocStrFromStr@16
00047C91 00047D1E _CredWriteA@8
00047D31 00047DBE _CredWriteW@8
00047DD1 00047E94 _CredReadA@16
00047EA9 00047F6C _CredReadW@16
00047F81 0004805E _CredEnumerateA@16
00048071 0004814E _CredEnumerateW@16
00048161 00048220 _CredWriteDomainCredentialsA@12
00048231 000482F0 _CredWriteDomainCredentialsW@12
00048301 000483DD _CredReadDomainCredentialsA@16
000483F1 000484CD _CredReadDomainCredentialsW@16
000484E1 00048576 _CredDeleteA@12
00048589 0004861E _CredDeleteW@12
00048631 000486F3 _CredRenameA@16
00048709 000487CB _CredRenameW@16
000487E1 000488A0 _CredGetTargetInfoA@12
000488B1 00048970 _CredGetTargetInfoW@12
00048981 000489EB _CredGetSessionTypes@8
00048A01 00048B3F _CredpMarshalChar@8
00048B44 00048B6D _CredpMarshalSize@4
00048B72 00048C1C _CredpMarshalBytes@12
00048C21 00048C96 _CredpUnmarshalChar@12
00048C9B 00048D99 _CredpUnmarshalBytes@16
00048D9E 00048E71 _CredMarshalCredentialW@12
00048E76 00048E9F _CredIsMarshaledCredentialW@4
00048EA4 00048EEA _CredMarshalCredentialA@12
00048EEF 00048F53 _CredUnmarshalCredentialA@12
00048F58 00048F81 _CredIsMarshaledCredentialA@4
00048F86 00048FFC _LsapApiBuildSecretName@8
0004900B 000491DC _LsapQueryTrustedDomainInfo@16
000491E1 00049332 _LsapSetTrustedDomainInformation@16
00049337 00049414 _LsapDeleteTrustedDomain@8
00049419 000494AD _LsapStorePrivateData@12
000494B2 000494FB _LsapRetrievePrivateData@12
00049500 0004974C _LsaQueryTrustedDomainInfo@16
0004976D 0004991E _LsaSetTrustedDomainInformation@16
0004993D 000499AF _LsaDeleteTrustedDomain@8
000499C1 00049ADA _LsapApiConvertRightsToPrivileges@20
00049ADF 00049CBA _LsapApiConvertPrivilegesToRights@20
00049CBF 00049D31 _LsaQueryTrustedDomainInfoByName@16
00049D49 00049D8C _LsapRandomFill@8
00049D91 00049F65 _LsapEncryptAuthInfo@12
00049F6A 0004A0C7 _LsaSetTrustedDomainInfoByName@16
0004A0E5 0004A175 _LsaEnumerateTrustedDomainsEx@20
0004A189 0004A27A _LsaCreateTrustedDomainEx@20
0004A29D 0004A306 _LsaQueryDomainInformationPolicy@12
0004A319 0004A388 _LsaSetDomainInformationPolicy@12
0004A399 0004A3F8 _LsaOpenTrustedDomainByName@16
0004A409 0004A467 _LsaQueryForestTrustInformation@12
0004A479 0004A4DD _LsaSetForestTrustInformation@20
0004A4F1 0004A891 _LsapEnumerateAccountsWithUserRight@16
0004A896 0004A93A _LsapEnumerateAccountRights@16
0004A93F 0004A9F4 _LsapAddAccountRights@16
0004A9F9 0004AB0C _LsapRemoveAccountRights@20
0004AB11 0004ABB2 _LsaEnumerateAccountsWithUserRight@16
0004ABC9 0004AC51 _LsaAddAccountRights@16
0004AC69 0004ACF7 _LsaRemoveAccountRights@20
0004AD09 0004ADDB _LsapNeutralizeNt4Emulation@0
0004AE78 0004AF6B _LsaOpenPolicySce@16
0004AF81 0004B02E _LsaSetInformationPolicy@12
0004B041 0004B097 _LsaClearAuditLog@4
0004B0A9 0004B120 _LsaLookupPrivilegeName@12
0004B131 0004B1C3 _LsaLookupPrivilegeDisplayName@16
0004B1D9 0004B283 _LsaDelete@4
0004B2A5 0004B31F _LsaQuerySecurityObject@12
0004B331 0004B3F7 _LsaSetSecurityObject@12
0004B409 0004B468 _LsaCreateAccount@16
0004B479 0004B4FE _LsaEnumerateAccounts@20
0004B511 0004B574 _LsaCreateTrustedDomain@16
0004B589 0004B5E8 _LsaOpenTrustedDomain@16
0004B5F9 0004B683 _LsaQueryInfoTrustedDomain@12
0004B699 0004B809 _LsaSetInformationTrustedDomain@12
0004B82D 0004B8BD _LsaEnumerateTrustedDomains@20
0004B8D1 0004B956 _LsaEnumeratePrivileges@20
0004B969 0004B9EB _LsaCreateSecret@16
0004BA01 0004BA60 _LsaOpenAccount@16
0004BA71 0004BACE _LsaEnumeratePrivilegesOfAccount@8
0004BAE1 0004BB3A _LsaAddPrivilegesToAccount@8
0004BB51 0004BBAD _LsaRemovePrivilegesFromAccount@12
0004BBC1 0004BC1A _LsaGetQuotasForAccount@8
0004BC31 0004BC8A _LsaSetQuotasForAccount@8
0004BCA1 0004BD07 _LsaGetSystemAccessAccount@8
0004BD19 0004BD7F _LsaSetSystemAccessAccount@8
0004BD91 0004BDF0 _LsaOpenSecret@16
0004BE01 0004BF43 _LsaSetSecret@12
0004BF65 0004C10E _LsaQuerySecret@20
0004C12D 0004C237 _LsaGetRemoteUserName@12
0004C249 0004C3C7 _LsaICLookupNamesWithCreds@48
0004C3D9 0004C5AE _LsaICLookupSidsWithCreds@48
0004C5C1 0004C6C9 _LsaLookupNames@20
0004C6CE 0004C736 _PAUTHZ_AUDIT_EVENT_TYPE_OLD_bind@4
0004C77D 0004C7E5 _PSECURITY_SOURCE_NAME_bind@4
0004C835 0004C857 _LsarDelete@4
0004C85C 0004C87E _LsarEnumeratePrivileges@16
